{'curve': 1.9, 'gain': 0.25, 'speed': 1.5, 'cases': 24, 'early': 8, 'late': 7, 'median_peak': 18.153576624081076}
{'curve': 1.9, 'gain': 0.25, 'speed': 3.0, 'cases': 24, 'early': 5, 'late': 9, 'median_peak': 6.848974320677394}
{'curve': 1.9, 'gain': 0.25, 'speed': 6.0, 'cases': 24, 'early': 5, 'late': 11, 'median_peak': 8.350235067654268}
{'curve': 1.9, 'gain': 0.462, 'speed': 1.5, 'cases': 24, 'early': 4, 'late': 3, 'median_peak': 8.618417576920828}
{'curve': 1.9, 'gain': 0.462, 'speed': 3.0, 'cases': 24, 'early': 4, 'late': 0, 'median_peak': 5.962952942647259}
{'curve': 1.9, 'gain': 0.462, 'speed': 6.0, 'cases': 24, 'early': 5, 'late': 1, 'median_peak': 6.783731047452411}
{'curve': 1.9, 'gain': 0.6, 'speed': 1.5, 'cases': 24, 'early': 4, 'late': 1, 'median_peak': 6.48896274256186}
{'curve': 1.9, 'gain': 0.6, 'speed': 3.0, 'cases': 24, 'early': 4, 'late': 2, 'median_peak': 4.9884177563598655}
{'curve': 1.9, 'gain': 0.6, 'speed': 6.0, 'cases': 24, 'early': 5, 'late': 1, 'median_peak': 6.183400892981165}
{'curve': 3.0, 'gain': 0.25, 'speed': 1.5, 'cases': 24, 'early': 8, 'late': 8, 'median_peak': 11.286504310588011}
{'curve': 3.0, 'gain': 0.25, 'speed': 3.0, 'cases': 24, 'early': 7, 'late': 6, 'median_peak': 6.652104440320793}
{'curve': 3.0, 'gain': 0.25, 'speed': 6.0, 'cases': 24, 'early': 11, 'late': 9, 'median_peak': 25.755302120823437}
{'curve': 3.0, 'gain': 0.462, 'speed': 1.5, 'cases': 24, 'early': 6, 'late': 1, 'median_peak': 6.734063769112509}
{'curve': 3.0, 'gain': 0.462, 'speed': 3.0, 'cases': 24, 'early': 4, 'late': 5, 'median_peak': 6.117711079135672}
{'curve': 3.0, 'gain': 0.462, 'speed': 6.0, 'cases': 24, 'early': 9, 'late': 5, 'median_peak': 19.481983291985287}
{'curve': 3.0, 'gain': 0.6, 'speed': 1.5, 'cases': 24, 'early': 5, 'late': 2, 'median_peak': 4.748459575201301}
{'curve': 3.0, 'gain': 0.6, 'speed': 3.0, 'cases': 24, 'early': 4, 'late': 2, 'median_peak': 4.868611106029208}
{'curve': 3.0, 'gain': 0.6, 'speed': 6.0, 'cases': 24, 'early': 8, 'late': 6, 'median_peak': 16.271828716984498}
