time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,committed,wheel_rad_s,setpoint,wheel_request,supported
0.0,84.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,84.62,0.0,0.0
0.02,84.620000129475,1.0851159222620526e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.547133018533858e-06,84.62000274658203,0.0,0.0
0.04,84.62000042522362,1.7248100335733074e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.441787309021048e-06,84.62000274658203,0.0,0.0
0.06,84.62000080492982,1.988036408570303e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.772513093739713e-06,84.62000274658203,0.0,0.0
0.08,84.62000120519303,1.9824327028134108e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.688879356818865e-06,84.62000274658203,0.0,0.0
0.1,84.62000158464267,1.8162090305196328e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.3454185594685067e-06,84.62000274658203,0.0,0.0
0.12,84.62000192156958,1.5782985585340963e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.8716270191725864e-06,84.62000274658203,0.0,0.0
0.14,84.62000220912965,1.3314361803258165e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.3607145564972215e-06,84.62000274658203,0.0,0.0
0.16,84.62000245012851,1.1131679700319897e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.700776373759604e-07,84.62000274658203,0.0,0.0
0.18,84.62000265250734,9.408211613263525e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.278137905608438e-07,84.62000274658203,0.0,0.0
0.2,84.62000282599263,8.176796067630661e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,4.1268441400241717e-08,84.62000274658203,0.0,0.0
0.22,84.62000297994913,7.387167458635048e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2.948332111800262e-07,84.62000274658203,0.0,0.0
0.24,84.62000312224788,6.951000470529344e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-5.918795779952039e-07,84.62000274658203,0.0,0.0
0.26,84.62000325887371,6.772669133306666e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-8.628462740255487e-07,84.62000274658203,0.0,0.0
0.28,84.6200033939991,6.767134780905218e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.1195955149883118e-06,84.62000274658203,0.0,0.0
0.3,84.6200035302988,6.867924717564938e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.3716061756103804e-06,84.62000274658203,0.0,0.0
0.32,84.62000366934413,7.028466987351767e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.6256807506024693e-06,84.62000274658203,0.0,0.0
0.34,84.62000381197734,7.21964545026194e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.8862224742367436e-06,84.62000274658203,0.0,0.0
0.36,84.62000395861632,7.425736621858468e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2.1557703372226698e-06,84.62000274658203,0.0,0.0
0.38,84.62000410947375,7.640150307563321e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2.4355827628612393e-06,84.62000274658203,0.0,0.0
0.4,84.62000426469726,7.86176258238152e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-2.726150823849517e-06,84.62000274658203,0.0,0.0
0.42,84.62000442444604,8.092160049249054e-06,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-3.027589831546969e-06,84.62000274658203,0.0,0.0
0.44,84.62000422927045,-2.1808295505899968e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-7.637494173523605e-06,84.6199951171875,0.0,0.0
0.46,84.62000357720389,-3.932235493336238e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,-1.044587388892146e-05,84.6199951171875,0.0,0.0
0.48,84.6200026971937,-4.636372227874312e-05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,-1.1698854652709115e-05,84.6199951171875,0.0,0.0
0.5,84.62000176566931,-4.592136406298621e-05,0.0,0.0,-0.07999999821186066,0.07999999821186066,0.0,0.0,2,0.0,-1.1812184788736292e-05,84.6199951171875,0.0,0.0
0.52,84.64677127152898,0.9723083973207625,-0.03226244137222077,0.03226244137222077,-0.1599999964237213,0.1599999964237213,0.1406253550721354,-0.1406253550721354,2,0.0,-0.013046661287682044,84.6199951171875,0.0,0.0
0.54,84.68478507145362,1.2441529688385629,-0.08377650978464816,0.08377650978464816,-0.23999999463558197,0.23999999463558197,0.2293652550886311,-0.2293652550886311,2,0.0,-0.05358352625363214,84.62000274658203,0.0,0.0
0.56,84.72227935664314,1.0155165741384344,-0.14677839895494102,0.14677839895494102,-0.3199999928474426,0.3199999928474426,0.28710144041983243,-0.28710144041983243,2,0.0,-0.11490832424926756,84.62000274658203,0.0,0.0
0.58,84.75088801835005,0.49392428294060314,-0.21597261917997743,0.21597261917997743,-0.3999999761581421,0.3999999761581421,0.32804471808132923,-0.32804471808132923,2,0.0,-0.18217181149888872,84.62000274658203,0.0,0.0
0.6,84.76611936237012,-0.16480285122083532,-0.28845391349287625,0.28845391349287625,-0.47999995946884155,0.47999995946884155,0.3599571316480002,-0.3599571316480002,2,0.0,-0.24057910469783675,84.62000274658203,0.0,0.0
0.62,84.76639381253074,-0.8673322550911076,-0.3629342463106805,0.3629342463106805,-0.559999942779541,0.559999942779541,0.386239747122447,-0.386239747122447,2,0.0,-0.2792083577535634,84.62000274658203,0.0,0.0
