time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,supported,wheel_rad_s
0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
0.02,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.04,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.06,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.08,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.1,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.12,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.14,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.16,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.18,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.2,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.22,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.24,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.26,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.28,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.3,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.32,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.34,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.36,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.38,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.4,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.42,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.44,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.46,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1,0.0,0
0.48,87.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2,0.0,0
0.5,87.5,0.0,0.0,0.0,-0.004999999888241291,0.004999999888241291,0.0,-0.0,2,0.0,0
0.52,87.50000906839296,0.0010522999901047775,-0.00112150057622148,0.00112150057622148,-0.009999999776482582,0.009999999776482582,0.0002018700614023929,-0.0002018700614023929,2,0.0,0
