t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
388,1,-5.12,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.01,0.01,0.411,-0.231,0.425,-0.217,0.00,0.00,0
391,1,-5.12,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.04,-0.01,0.411,-0.231,0.439,-0.203,0.00,0.00,0
1418,1,-5.08,0.12,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.04,-0.01,0.411,-0.231,0.453,-0.189,0.00,0.00,0
1971,1,-5.13,0.00,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.04,-0.01,0.411,-0.231,0.467,-0.175,0.00,0.00,0
1974,1,-5.13,0.00,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.01,0.02,0.411,-0.231,0.481,-0.161,0.00,0.00,0
2635,1,-5.07,0.18,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.01,0.02,0.411,-0.231,0.495,-0.147,0.00,0.00,0
2637,1,-5.07,0.18,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.02,0.04,0.411,-0.231,0.509,-0.133,0.00,0.00,0
3668,1,-5.08,0.18,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.02,0.04,0.411,-0.231,0.523,-0.119,0.00,0.00,0
4676,1,-5.09,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.00,-0.02,0.411,-0.231,0.537,-0.105,0.00,0.00,0
5690,1,-5.14,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.01,0.00,0.411,-0.231,0.551,-0.091,0.00,0.00,0
5767,1,-5.14,0.02,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.02,0.00,0.411,-0.231,0.565,-0.077,0.00,0.00,0
5770,1,-5.14,0.02,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.02,0.00,0.411,-0.231,0.579,-0.063,0.00,0.00,0
6803,1,-4.92,0.31,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,-0.02,0.00,0.411,-0.231,0.593,-0.049,0.00,0.00,0
7813,1,-4.98,0.18,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.70,0.02,-0.00,0.411,-0.231,0.607,-0.035,0.00,0.00,0
8826,1,-5.14,0.00,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.03,-0.02,0.411,-0.231,0.621,-0.021,0.00,0.00,0
9836,1,-5.15,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.03,0.411,-0.231,0.635,-0.007,0.00,0.00,0
10845,1,-5.10,0.12,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.03,-0.00,0.411,-0.231,0.649,0.007,0.00,0.00,0
11853,1,-5.15,0.00,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.06,0.00,0.411,-0.231,0.663,0.021,0.00,0.00,0
12853,1,-5.17,0.00,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,0.03,0.411,-0.231,0.677,0.035,0.00,0.00,0
13509,1,-5.20,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.03,0.411,-0.231,0.691,0.049,0.00,0.00,0
13513,1,-5.20,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.03,0.411,-0.231,0.705,0.063,0.00,0.00,0
13536,1,-5.20,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.03,0.411,-0.231,0.719,0.077,0.00,0.00,0
13559,1,-5.20,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.733,0.091,0.00,0.00,0
13575,1,-5.20,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.747,0.105,0.00,0.00,0
13599,1,-5.20,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.761,0.119,0.00,0.00,0
13617,1,-5.20,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.775,0.133,0.00,0.00,0
13638,1,-5.20,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.789,0.147,0.00,0.00,0
13658,1,-5.19,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.803,0.161,0.00,0.00,0
13678,1,-5.19,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.817,0.175,0.00,0.00,0
13697,1,-5.19,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.831,0.189,0.00,0.00,0
13718,1,-5.19,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.02,0.411,-0.231,0.845,0.203,0.00,0.00,0
13738,1,-5.19,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.05,-0.02,0.411,-0.231,0.859,0.217,0.00,0.00,0
13756,1,-5.19,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.05,-0.02,0.411,-0.231,0.873,0.231,0.00,0.00,0
13779,1,-5.18,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.05,-0.02,0.411,-0.231,0.887,0.245,0.00,0.00,0
13797,1,-5.18,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,0.01,0.411,-0.231,0.901,0.259,0.00,0.00,0
13818,1,-5.18,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,0.01,0.411,-0.231,0.915,0.273,0.00,0.00,0
13837,1,-5.18,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,0.01,0.411,-0.231,0.929,0.286,0.00,0.00,0
13858,1,-5.18,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,0.01,0.411,-0.231,0.943,0.300,0.00,0.00,0
13878,1,-5.18,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.02,-0.00,0.411,-0.231,0.957,0.313,0.00,0.00,0
13898,1,-5.18,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,0.971,0.326,0.00,0.00,0
13918,1,-5.17,0.12,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,0.985,0.340,0.00,0.00,0
13937,1,-5.17,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,0.999,0.352,0.00,0.00,0
13955,1,-5.17,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,1.013,0.365,0.00,0.00,0
13979,1,-5.17,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,1.027,0.378,0.00,0.00,0
13997,1,-5.17,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,1.041,0.391,0.00,0.00,0
14018,1,-5.17,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.00,0.411,-0.231,1.055,0.403,0.00,0.00,0
14038,1,-5.17,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,-0.01,0.411,-0.231,1.069,0.416,0.00,0.00,0
14058,1,-5.17,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.083,0.428,0.00,0.00,0
14078,1,-5.16,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.097,0.440,0.00,0.00,0
14097,1,-5.16,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.111,0.452,0.00,0.00,0
14118,1,-5.16,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.125,0.464,0.00,0.00,0
14138,1,-5.16,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.139,0.476,0.00,0.00,0
14158,1,-5.16,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.153,0.487,0.00,0.00,0
14178,1,-5.16,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,0.00,0.411,-0.231,1.167,0.499,0.00,0.00,0
14198,1,-5.16,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.03,-0.01,0.411,-0.231,1.181,0.510,0.00,0.00,0
14217,1,-5.16,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.195,0.522,0.00,0.00,0
14238,1,-5.16,0.06,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.209,0.533,0.00,0.00,0
14258,1,-5.16,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.223,0.544,0.00,0.00,0
14278,1,-5.16,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.237,0.555,0.00,0.00,0
14298,1,-5.16,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.251,0.566,0.00,0.00,0
14318,1,-5.16,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.04,0.411,-0.231,1.264,0.577,0.00,0.00,0
14337,1,-5.15,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.04,0.411,-0.231,1.278,0.588,0.00,0.00,0
14358,1,-5.15,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.03,0.411,-0.231,1.291,0.599,0.00,0.00,0
14378,1,-5.15,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.304,0.609,0.00,0.00,0
14398,1,-5.15,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.318,0.620,0.00,0.00,0
14418,1,-5.15,0.12,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.331,0.630,0.00,0.00,0
14438,1,-5.15,0.13,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.343,0.640,0.00,0.00,0
14458,1,-5.15,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.356,0.650,0.00,0.00,0
14477,1,-5.15,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.369,0.660,0.00,0.00,0
14498,1,-5.15,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.03,0.411,-0.231,1.381,0.670,0.00,0.00,0
14518,1,-5.15,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,-0.04,0.411,-0.231,1.394,0.680,0.00,0.00,0
14538,1,-5.15,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.00,-0.04,0.411,-0.231,1.406,0.690,0.00,0.00,0
14557,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.00,-0.04,0.411,-0.231,1.418,0.700,0.00,0.00,0
14578,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.06,0.411,-0.231,1.430,0.709,0.00,0.00,0
14597,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.06,0.411,-0.231,1.442,0.719,0.00,0.00,0
14618,1,-5.14,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.06,0.411,-0.231,1.454,0.728,0.00,0.00,0
14638,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.06,0.411,-0.231,1.466,0.738,0.00,0.00,0
14658,1,-5.14,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,0.06,0.411,-0.231,1.477,0.747,0.00,0.00,0
14678,1,-5.14,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,-0.01,-0.01,0.411,-0.231,1.489,0.756,0.00,0.00,0
14698,1,-5.14,0.11,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.500,0.765,0.00,0.00,0
14718,1,-5.14,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.512,0.774,0.00,0.00,0
14737,1,-5.14,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.523,0.783,0.00,0.00,0
14757,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.534,0.792,0.00,0.00,0
14778,1,-5.14,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.545,0.801,0.00,0.00,0
14798,1,-5.14,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.556,0.809,0.00,0.00,0
14818,1,-5.14,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.00,-0.01,0.411,-0.231,1.566,0.818,0.00,0.00,0
14838,1,-5.14,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,0.04,0.411,-0.231,1.577,0.826,0.00,0.00,0
14857,1,-5.14,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.588,0.835,0.00,0.00,0
14878,1,-5.14,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.598,0.843,0.00,0.00,0
14898,1,-5.14,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.609,0.851,0.00,0.00,0
14918,1,-5.14,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.619,0.860,0.00,0.00,0
14938,1,-5.13,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.629,0.868,0.00,0.00,0
14958,1,-5.13,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.639,0.876,0.00,0.00,0
14977,1,-5.13,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.04,0.411,-0.231,1.649,0.884,0.00,0.00,0
14998,1,-5.13,0.07,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.09,0.02,0.411,-0.231,1.659,0.892,0.00,0.00,0
15018,1,-5.13,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.02,0.411,-0.231,1.669,0.900,0.00,0.00,0
15038,1,-5.13,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.02,0.411,-0.231,1.679,0.907,0.00,0.00,0
15058,1,-5.13,0.09,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.02,0.411,-0.231,1.688,0.915,0.00,0.00,0
15078,1,-5.13,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.01,0.02,0.411,-0.231,1.698,0.923,0.00,0.00,0
15098,1,-5.13,0.08,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,0.01,0.411,-0.231,1.707,0.930,0.00,0.00,0
15117,1,-5.13,0.10,0.00,0.00,0.00,0.0000,0.0000,-4.24,-0.71,0.02,0.01,0.411,-0.231,1.717,0.938,0.00,0.00,0
