file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
200hz_balanced_16s.csv,4b3fa9de82786dc6df735c25ef73a75f733946d96d9a806033d6917f71d19c32,1251,817,legacy/unspecified,unknown,False,16.318,24.0,nan,77.84577723378213,,,,,,,
200hz_base87_close_run.csv,854b69aa5ca593d08b62c6243f4bdd724341850aefa80ce97a8032ed53a6b605,1470,1036,legacy/unspecified,unknown,False,20.7,24.0,nan,35.32818532818533,,,,,,,
200hz_feedforward_test.csv,b4160ff7dabd24356479a6efdb12e934fc61ff009ae7ee5833f19413be3d33a1,463,463,legacy/unspecified,unknown,False,10.061,852.0,nan,0.0,,,,,,,
bal_20260409_220324.csv,eaee00f8df5c1113b5e8724cc9997d8672b07b7877da6119f631c164c6e9fba5,580,146,legacy/unspecified,unknown,False,2.904,23.0,26.97,50.0,,,,,,,
bal_20260409_221043.csv,7649316e2dcd86b810fa2214cfd546685bae5bd8155cb309f2ddecf37a2930b8,574,140,legacy/unspecified,unknown,False,2.779,22.0,23.48,39.285714285714285,,,,,,,
bal_20260409_221845.csv,a6b437cf50dbefb7b7823b512c9f16bcf4949bc70a7abbacc1c6b5a8362bc747,583,149,legacy/unspecified,unknown,False,2.959,23.0,29.64,47.651006711409394,,,,,,,
bal_20260409_222714.csv,151594bfed9ef4228e96c06a20b0e15f65306d0840358cf304336b5051f1a375,568,134,legacy/unspecified,unknown,False,2.66,23.0,22.38,51.492537313432834,,,,,,,
bal_20260409_223214.csv,064759126d49767d90741b3ef92dbebd1d6663dc2e95d142b3b0d7da49cb5dec,1500,1066,legacy/unspecified,unknown,False,21.299,24.0,7.92,86.39774859287054,,,,,,,
bal_20260409_224632.csv,4aa806cae81e6d65f6198bd526c1504003070ee433de3edadd518105f2c1fa88,1500,1066,legacy/unspecified,unknown,False,21.299,23.0,5.68,87.5234521575985,,,,,,,
bal_20260409_225509.csv,38f1728ce5f5cc1d3b4734d2999dc2816689be59cd8701bf63cb57bc26480f35,1499,1065,legacy/unspecified,unknown,False,21.279,23.0,2.74,90.4225352112676,,,,,,,
bal_20260409_225753.csv,fd523e1e62044a07e41acc5ac2a8519edcb56af74ab0d418c27f908ce4e19eff,960,526,legacy/unspecified,unknown,False,10.499,24.0,12.19,74.52471482889734,,,,,,,
bal_20260409_230538.csv,02a86ae89cd7de641723a2adccdb55491a0ae7ca21c997c1a79e363613239302,1327,893,legacy/unspecified,unknown,False,17.842,24.0,6.97,73.01231802911533,,,,,,,
bal_20260409_230938.csv,1aac571a6f060f6c5aefd444a7fe6c398bc0c9434326936b48a8a37f416c5ef7,2135,1701,legacy/unspecified,unknown,False,34.001,23.0,8.5,70.95825984714874,,,,,,,
bal_20260409_231344.csv,06564dd62cc1ff5c0aa8941554a8bc8a66894f17b5d95358ed1eb9cdaac69c73,2873,2439,legacy/unspecified,unknown,False,48.93,203.0,5.79,97.0479704797048,,,,,,,
