t_s,left,right,left_velocity,right_velocity,ready
0.02,1.21593e-05,1.21593e-05,0.000607967,0.000607967,0
0.04,9.63211e-05,9.63211e-05,0.00420809,0.00420809,0
0.06,0.000321627,0.000321627,0.0112653,0.0112653,0
0.08,0.000753641,0.000753641,0.0216007,0.0216007,0
0.1,0.00145435,0.00145435,0.0350356,0.0350356,0
0.12,0.00248337,0.00248337,0.0514507,0.0514507,0
0.14,0.00389647,0.00389647,0.0706553,0.0706553,0
0.16,0.00574684,0.00574684,0.0925183,0.0925183,0
0.18,0.0080843,0.0080843,0.116873,0.116873,0
0.2,0.0109556,0.0109556,0.143564,0.143564,0
0.22,0.0144045,0.0144045,0.172448,0.172448,0
0.24,0.0184727,0.0184727,0.203407,0.203407,0
0.26,0.0231977,0.0231977,0.236249,0.236249,0
0.28,0.028615,0.028615,0.270867,0.270867,0
0.3,0.0347579,0.0347579,0.307143,0.307143,0
0.32,0.0416558,0.0416558,0.344896,0.344896,0
0.34,0.0493364,0.0493364,0.384033,0.384033,0
0.36,0.0578244,0.0578244,0.424397,0.424397,0
0.38,0.067142,0.067142,0.465882,0.465882,0
0.4,0.0773091,0.0773091,0.508356,0.508356,0
0.42,0.0883431,0.0883431,0.551701,0.551701,0
0.44,0.100259,0.100259,0.595796,0.595796,0
0.46,0.11307,0.11307,0.640535,0.640535,0
0.48,0.126786,0.126786,0.685787,0.685787,0
0.5,0.141415,0.141415,0.731456,0.731456,0
0.52,0.156963,0.156963,0.777435,0.777435,0
0.54,0.173435,0.173435,0.823605,0.823605,0
0.56,0.190833,0.190833,0.86987,0.86987,0
0.58,0.209156,0.209156,0.916135,0.916135,0
0.6,0.228402,0.228402,0.962317,0.962317,0
0.62,0.248568,0.248568,1.00828,1.00828,0
0.64,0.269647,0.269647,1.05398,1.05398,0
0.66,0.291633,0.291633,1.09929,1.09929,0
0.68,0.314516,0.314516,1.14413,1.14413,0
0.7,0.338284,0.338284,1.18845,1.18845,0
0.72,0.362927,0.362927,1.23212,1.23212,0
0.74,0.388429,0.388429,1.27509,1.27509,0
0.76,0.414774,0.414774,1.31729,1.31729,0
0.78,0.441947,0.441947,1.3586,1.3586,0
0.8,0.469927,0.469894,1.39902,1.39738,0
0.82,0.498695,0.498201,1.43843,1.41532,0
0.84,0.528231,0.526702,1.47676,1.42508,0
0.86,0.55851,0.555345,1.51398,1.43216,0
0.88,0.589511,0.584077,1.55003,1.4366,0
0.9,0.621207,0.612847,1.58483,1.43849,0
0.92,0.653574,0.641604,1.61833,1.43785,0
0.94,0.686583,0.6703,1.65046,1.4348,0
0.96,0.720207,0.698888,1.6812,1.42942,0
0.98,0.754418,0.727325,1.71052,1.42183,0
1,0.789184,0.755567,1.73832,1.41209,0
1.02,0.824476,0.783574,1.76459,1.40035,0
1.04,0.860262,0.811308,1.7893,1.38671,0
1.06,0.896509,0.838733,1.81238,1.37127,0
1.08,0.933186,0.865817,1.83381,1.35418,0
1.1,0.970258,0.892528,1.8536,1.33554,0
1.12,1.00769,0.918837,1.87165,1.31548,0
1.14,1.04545,0.944719,1.88798,1.2941,0
1.16,1.0835,0.970151,1.90256,1.27156,0
1.18,1.12181,0.995109,1.91536,1.24794,0
1.2,1.16034,1.01958,1.92636,1.22337,0
1.22,1.19905,1.04354,1.93557,1.19798,0
1.24,1.23791,1.06713,1.94293,1.17966,0
1.26,1.27688,1.09077,1.94848,1.18182,0
1.28,1.31592,1.11445,1.95216,1.18405,0
1.3,1.355,1.13815,1.95401,1.18517,0
1.32,1.39408,1.16185,1.95402,1.18517,0
1.34,1.43312,1.18553,1.95218,1.18405,0
1.36,1.47209,1.20917,1.94846,1.18181,0
1.38,1.51095,1.23274,1.94294,1.17845,0
1.4,1.54966,1.25622,1.93555,1.17397,0
1.42,1.58819,1.27959,1.92637,1.16841,0
1.44,1.6265,1.30282,1.91536,1.16173,0
1.46,1.66455,1.3259,1.90257,1.15396,0
1.48,1.70231,1.3488,1.88798,1.14512,0
1.5,1.73974,1.37151,1.87165,1.13521,0
1.52,1.77681,1.39399,1.8536,1.12427,0
1.54,1.81349,1.41624,1.83383,1.11226,0
1.56,1.84974,1.43822,1.81239,1.09926,0
1.58,1.88552,1.45993,1.7893,1.08527,0
1.6,1.92081,1.48133,1.76458,1.07027,0
1.62,1.95558,1.50242,1.73832,1.05433,0
1.64,1.98979,1.52317,1.71053,1.03749,0
1.66,2.02341,1.54356,1.6812,1.0197,0
1.68,2.05642,1.56359,1.65048,1.00107,0
1.7,2.08879,1.58322,1.61833,0.981563,0
1.72,2.12049,1.60244,1.58483,0.961244,0
1.74,2.15149,1.62125,1.55003,0.940144,0
1.76,2.18177,1.63961,1.51398,0.918275,0
1.78,2.2113,1.65752,1.47676,0.895703,0
1.8,2.24007,1.67497,1.43844,0.872457,0
1.82,2.26805,1.69194,1.39899,0.848532,0
1.84,2.29522,1.70843,1.35863,0.824046,0
1.86,2.32157,1.72441,1.31727,0.798976,0
1.88,2.34707,1.73987,1.27511,0.773388,0
1.9,2.37171,1.75482,1.23212,0.747323,0
1.92,2.39548,1.76924,1.18842,0.720817,0
1.94,2.41837,1.78311,1.14416,0.693959,0
1.96,2.44035,1.79645,1.09929,0.666755,0
1.98,2.46143,1.80924,1.054,0.639284,0
2,2.4816,1.82147,1.0083,0.611562,0
2.02,2.50084,1.83314,0.962305,0.583673,0
2.04,2.51917,1.84425,0.916111,0.555646,0
2.06,2.53656,1.85481,0.869894,0.527614,0
2.08,2.55304,1.8648,0.823629,0.499558,0
2.1,2.56858,1.87423,0.777435,0.471544,0
2.12,2.58321,1.8831,0.731456,0.443643,0
2.14,2.59693,1.89142,0.685763,0.415939,0
2.16,2.60974,1.89919,0.640523,0.388503,0
2.18,2.62166,1.90642,0.595844,0.361395,0
2.2,2.63269,1.91311,0.551665,0.334597,0
2.22,2.64286,1.91928,0.508356,0.308335,0
2.24,2.65217,1.92493,0.465894,0.28258,0
2.26,2.66066,1.93008,0.424421,0.257427,0
2.28,2.66834,1.93473,0.384033,0.232929,0
2.3,2.67524,1.93892,0.344861,0.209171,0
2.32,2.68138,1.94264,0.307143,0.186288,0
2.34,2.6868,1.94593,0.270915,0.164318,0
2.36,2.69153,1.9488,0.236249,0.14329,0
2.38,2.69559,1.95126,0.203347,0.123334,0
2.4,2.69904,1.95335,0.172484,0.104618,0
2.42,2.70192,1.9551,0.143576,0.0870824,0
2.44,2.70425,1.95651,0.116909,0.0709116,0
2.46,2.7061,1.95764,0.0925183,0.0561118,0
2.48,2.70752,1.95849,0.0705838,0.042814,0
2.5,2.70855,1.95912,0.0514984,0.0312388,0
2.52,2.70925,1.95954,0.0350356,0.0212491,0
2.54,2.70968,1.95981,0.0216484,0.0131309,0
2.56,2.7099,1.95994,0.0111818,0.00677705,0
2.58,2.70999,1.95999,0.00420809,0.00255704,0
2.6,2.71,1.96,0.00064373,0.00038743,0
2.62,2.71,1.96,0,0,0
2.64,2.71,1.96,0,0,0
2.66,2.71,1.96,0,0,0
2.68,2.71,1.96,0,0,0
2.7,2.71,1.96,0,0,0
2.72,2.71,1.96,0,0,0
2.74,2.71,1.96,0,0,1
2.76,2.71,1.96,0,0,1
2.78,2.71,1.96,0,0,1
2.8,2.71,1.96,0,0,1
2.82,2.71,1.96,0,0,1
2.84,2.71,1.96,0,0,1
2.86,2.71,1.96,0,0,1
2.88,2.71,1.96,0,0,1
2.9,2.71,1.96,0,0,1
2.92,2.71,1.96,0,0,1
2.94,2.71,1.96,0,0,1
2.96,2.71,1.96,0,0,1
2.98,2.71,1.96,0,0,1
3,2.71,1.96,0,0,1
