t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r
18,1,-0.02,-0.10,85.00,0.00,0.00,0.000,111.39,119.96,0.06,-0.03,-2.36,3.56
38,1,-0.03,-0.15,85.00,0.00,0.00,0.000,111.39,119.96,0.06,-0.00,-2.36,3.56
57,1,-0.01,0.10,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.35,3.57
79,1,0.03,0.68,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.34,3.58
99,1,0.16,2.32,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.33,3.59
119,1,0.30,3.74,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.32,3.60
138,1,0.42,4.31,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.30,3.61
158,1,0.54,4.94,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.29,3.62
177,1,0.64,5.30,85.00,0.00,0.00,0.000,111.39,119.96,-0.02,-0.00,-2.28,3.63
199,1,0.81,6.01,85.00,0.00,0.00,0.000,111.39,119.97,-0.02,0.06,-2.26,3.64
218,1,0.95,6.35,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.25,3.65
238,1,1.17,7.79,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.24,3.66
258,1,1.47,10.06,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.22,3.67
278,1,1.86,13.08,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.21,3.68
298,1,2.28,15.78,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.20,3.69
318,1,2.73,17.81,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.18,3.70
338,1,3.18,18.99,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.06,-2.17,3.71
358,1,3.62,19.76,85.00,0.00,0.00,0.000,111.39,119.97,-0.03,0.04,-2.15,3.72
378,1,4.05,20.21,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.14,3.73
399,1,4.48,20.54,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.13,3.75
418,1,4.91,20.81,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.11,3.76
437,1,5.25,21.35,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.10,3.77
459,1,5.85,22.41,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.09,3.78
479,1,6.34,23.02,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.07,3.80
499,1,6.85,23.69,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.06,3.81
519,1,7.35,24.00,85.00,0.00,0.00,0.000,111.39,119.97,-0.01,0.04,-2.04,3.82
538,1,7.83,24.00,85.00,0.00,0.00,0.000,111.39,119.97,0.02,0.04,-2.03,3.83
