t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r
18,1,0.57,-0.09,87.00,0.00,0.00,0.000,25.94,40.09,-0.05,0.00,3.95,3.55
38,1,0.57,-0.11,87.00,0.00,0.00,0.000,25.94,40.09,-0.05,0.00,3.95,3.55
59,1,0.59,0.15,87.00,0.00,0.00,0.000,25.94,40.09,-0.05,0.00,3.95,3.55
78,1,0.61,0.35,87.00,0.00,0.00,0.000,25.94,40.09,-0.05,0.00,3.96,3.56
98,1,0.66,1.08,87.00,0.00,0.00,0.000,25.94,40.09,-0.05,-0.06,3.97,3.57
118,1,0.74,2.04,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,3.98,3.58
138,1,0.87,3.37,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.00,3.59
159,1,1.01,4.27,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.01,3.60
178,1,1.13,4.80,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.02,3.61
198,1,1.27,5.45,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.04,3.62
218,1,1.44,6.56,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.05,3.63
238,1,1.67,8.17,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.06,4.06,3.64
259,1,2.00,10.80,87.00,0.00,0.00,0.000,25.94,40.09,0.03,-0.02,4.08,3.65
278,1,2.39,13.61,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.09,3.66
298,1,2.86,16.52,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.11,3.68
318,1,3.34,18.44,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.12,3.69
338,1,3.78,19.22,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.13,3.70
359,1,4.19,19.63,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.15,3.71
378,1,4.61,20.03,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.16,3.72
398,1,5.03,20.52,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.02,4.18,3.73
418,1,5.48,21.20,87.00,0.00,0.00,0.000,25.94,40.09,-0.02,-0.03,4.19,3.75
438,1,5.94,21.78,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.20,3.76
458,1,6.42,22.27,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.22,3.77
478,1,6.90,22.79,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.23,3.78
498,1,7.38,23.18,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.24,3.80
518,1,7.86,23.51,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.26,3.81
538,1,8.37,23.95,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.27,3.82
559,1,8.88,24.39,87.00,0.00,0.00,0.000,25.94,40.09,0.01,-0.03,4.29,3.84
578,1,9.39,24.65,87.00,0.00,0.00,0.000,25.94,40.09,0.01,0.05,4.30,3.85
598,1,9.90,24.91,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.31,3.86
618,1,10.41,25.02,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.33,3.87
638,1,10.92,25.15,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.34,3.89
659,1,11.44,25.33,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.36,3.90
678,1,11.96,25.64,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.37,3.91
698,1,12.50,25.88,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.38,3.93
718,1,13.04,26.09,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.40,3.94
738,1,13.58,26.46,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,-0.06,4.41,3.96
759,1,14.12,26.63,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.43,3.97
778,1,14.65,26.58,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.44,3.98
798,1,15.19,26.63,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.46,4.00
818,1,15.73,26.69,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.47,4.01
839,1,16.27,26.67,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.48,4.02
858,1,16.82,26.97,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.50,4.04
878,1,17.37,27.14,87.00,0.00,0.00,0.000,25.94,40.09,0.02,-0.06,4.51,4.05
898,1,17.91,27.14,87.00,0.00,0.00,0.000,25.94,40.09,0.02,0.01,4.52,4.06
918,1,18.47,27.35,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.54,4.08
938,1,19.03,27.59,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.55,4.09
959,1,19.59,27.61,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.57,4.11
978,1,20.15,27.64,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.58,4.12
998,1,20.71,27.81,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.59,4.13
1018,1,21.28,28.02,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.61,4.15
1038,1,21.85,28.17,87.00,0.00,0.00,0.000,25.94,40.09,0.05,0.01,4.62,4.16
1059,1,22.43,28.41,87.00,0.00,0.00,0.000,25.94,40.09,0.05,-0.00,4.64,4.18
1078,1,23.01,28.58,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.65,4.19
1098,1,23.59,28.47,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.67,4.20
1118,1,24.17,28.55,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.68,4.22
1138,1,24.75,28.52,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.69,4.23
1159,1,25.32,28.55,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.71,4.25
1178,1,25.92,28.94,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.72,4.26
1198,1,26.51,29.17,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,-0.00,4.73,4.27
1218,1,27.11,29.19,87.00,0.00,0.00,0.000,25.94,40.09,-0.00,0.01,4.75,4.29
1238,1,27.70,29.32,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.76,4.30
1258,1,28.29,29.36,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.78,4.32
1278,1,28.88,29.19,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.79,4.33
1298,1,29.46,28.90,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.81,4.34
1318,1,30.01,28.33,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.82,4.35
1338,1,30.53,27.36,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.83,4.37
1358,1,31.01,25.87,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.01,4.85,4.38
1378,1,31.43,24.27,87.00,0.00,0.00,0.000,25.94,40.09,-0.01,0.05,4.86,4.39
1398,1,31.82,22.77,87.00,0.00,0.00,0.000,25.94,40.09,0.03,0.05,4.88,4.40
1418,1,32.19,21.37,87.00,0.00,0.00,0.000,25.94,40.09,0.03,0.05,4.89,4.40
1438,1,32.55,20.49,87.00,0.00,0.00,0.000,25.94,40.09,0.03,0.05,4.91,4.41
1459,1,32.96,20.50,87.00,0.00,0.00,0.000,25.94,40.09,0.03,0.05,4.92,4.42
