[Balance] --- Log dump (53244 bytes, 580 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
18,1,-0.18,-0.00,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,0.01,3.94,3.54,0.00,0.00,1.47,0
40,1,-0.18,-0.02,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,0.01,3.94,3.54,0.00,0.00,1.47,0
58,1,-0.17,0.01,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,0.01,3.95,3.54,0.00,0.00,1.47,0
80,1,-0.16,0.10,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,0.01,3.96,3.55,0.00,0.00,1.47,0
97,1,-0.15,0.15,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,0.01,3.97,3.56,0.00,0.00,1.47,0
120,1,-0.12,0.45,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.02,3.98,3.57,0.00,0.00,1.47,0
138,1,-0.02,1.82,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.00,3.58,0.00,0.00,1.47,0
160,1,0.08,2.68,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.01,3.59,0.00,0.00,1.47,0
178,1,0.18,3.18,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.02,3.60,0.00,0.00,1.47,0
200,1,0.26,3.34,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.03,3.61,0.00,0.00,1.47,0
217,1,0.35,3.92,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.05,3.62,0.00,0.00,1.47,0
240,1,0.52,4.61,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.06,3.63,0.00,0.00,1.47,0
258,1,0.71,6.07,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.08,3.64,0.00,0.00,1.47,0
280,1,0.99,8.59,88.50,0.00,0.00,-5.000,5.88,11.76,-0.03,-0.02,4.09,3.65,0.00,0.00,1.47,0
298,1,1.41,12.38,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.10,3.66,0.00,0.00,1.47,0
320,1,1.86,15.38,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.12,3.67,0.00,0.00,1.47,0
337,1,2.21,17.17,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.13,3.68,0.00,0.00,1.47,0
360,1,2.76,18.85,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.14,3.69,0.00,0.00,1.47,0
378,1,3.19,19.33,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.16,3.70,0.00,0.00,1.47,0
400,1,3.59,19.48,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.17,3.71,0.00,0.00,1.47,0
418,1,4.04,20.35,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.19,3.73,0.00,0.00,1.47,0
440,1,4.50,20.97,88.50,0.00,0.00,-5.000,5.88,11.76,0.02,-0.02,4.20,3.74,0.00,0.00,1.47,0
458,1,4.95,21.48,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.21,3.75,0.00,0.00,1.47,0
478,1,5.45,22.21,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.23,3.76,0.00,0.00,1.47,0
498,1,6.04,23.00,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.24,3.78,0.00,0.00,1.47,0
520,1,6.54,22.92,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.25,3.79,0.00,0.00,1.47,0
538,1,6.98,22.66,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.27,3.80,0.00,0.00,1.47,0
560,1,7.46,23.04,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.28,3.81,0.00,0.00,1.47,0
578,1,8.01,23.77,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.02,4.30,3.83,0.00,0.00,1.47,0
598,1,8.56,24.51,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,0.06,4.31,3.84,0.00,0.00,1.47,0
618,1,9.13,25.37,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.32,3.85,0.00,0.00,1.47,0
640,1,9.75,26.14,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.34,3.87,0.00,0.00,1.47,0
658,1,10.38,26.21,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.35,3.88,0.00,0.00,1.47,0
680,1,11.01,26.47,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.37,3.89,0.00,0.00,1.47,0
698,1,11.65,26.62,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.38,3.91,0.00,0.00,1.47,0
720,1,12.26,26.54,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.39,3.92,0.00,0.00,1.47,0
737,1,12.74,26.60,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.06,4.41,3.93,0.00,0.00,1.47,0
760,1,13.50,26.50,88.50,0.00,0.00,-5.000,5.88,11.76,-0.00,0.01,4.42,3.95,0.00,0.00,1.47,0
778,1,14.04,26.34,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.44,3.96,0.00,0.00,1.47,0
800,1,14.54,26.12,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.45,3.97,0.00,0.00,1.47,0
818,1,15.05,26.00,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.46,3.99,0.00,0.00,1.47,0
840,1,15.57,26.23,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.48,4.00,0.00,0.00,1.47,0
857,1,15.99,26.55,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.49,4.02,0.00,0.00,1.47,0
880,1,16.69,27.10,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.50,4.03,0.00,0.00,1.47,0
898,1,17.25,27.42,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,0.01,4.52,4.04,0.00,0.00,1.47,0
920,1,17.76,27.09,88.50,0.00,0.00,-5.000,5.89,11.76,0.01,-0.01,4.53,4.06,0.00,0.00,1.47,0
938,1,18.23,26.83,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.55,4.07,0.00,0.00,1.47,0
960,1,18.65,26.51,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.56,4.08,0.00,0.00,1.47,0
977,1,18.96,26.40,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.58,4.10,0.00,0.00,1.47,0
1000,1,19.46,26.39,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.59,4.11,0.00,0.00,1.47,0
1018,1,19.86,26.74,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.60,4.13,0.00,0.00,1.47,0
1040,1,20.23,26.73,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.62,4.14,0.00,0.00,1.47,0
1058,1,20.59,25.99,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,-0.01,4.63,4.15,0.00,0.00,1.47,0
1080,1,20.95,24.87,88.50,0.00,0.00,-5.000,5.90,11.76,0.01,0.03,4.65,4.16,0.00,0.00,1.47,0
1098,1,21.47,25.60,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.66,4.18,0.00,0.00,1.47,0
1118,1,22.15,28.26,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.67,4.19,0.00,0.00,1.47,0
1138,1,22.88,30.77,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.69,4.21,0.00,0.00,1.47,0
1160,1,23.56,31.67,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.70,4.22,0.00,0.00,1.47,0
1178,1,24.23,31.58,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.72,4.24,0.00,0.00,1.47,0
1200,1,24.84,30.76,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.73,4.25,0.00,0.00,1.47,0
1218,1,25.41,29.91,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.03,4.75,4.26,0.00,0.00,1.47,0
1238,1,25.96,29.16,88.50,0.00,0.00,-5.000,5.89,11.76,-0.35,0.01,4.76,4.28,0.00,0.00,1.47,0
1258,1,26.51,28.73,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.77,4.29,0.00,0.00,1.47,0
1280,1,27.09,28.79,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.79,4.31,0.00,0.00,1.47,0
1298,1,27.69,29.10,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.80,4.32,0.00,0.00,1.47,0
1320,1,28.31,29.63,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.82,4.33,0.00,0.00,1.47,0
1338,1,28.92,29.80,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.83,4.35,0.00,0.00,1.47,0
1360,1,29.52,29.67,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.84,4.36,0.00,0.00,1.47,0
1378,1,30.08,28.87,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,0.01,4.86,4.37,0.00,0.00,1.47,0
1400,1,30.62,27.67,88.50,0.00,0.00,-5.000,5.88,11.76,0.06,-0.04,4.87,4.38,0.00,0.00,1.47,0
1418,1,31.06,25.61,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.89,4.39,0.00,0.00,1.47,0
1440,1,31.47,23.67,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.90,4.40,0.00,0.00,1.47,0
1458,1,31.83,21.94,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.92,4.41,0.00,0.00,1.47,0
1480,1,32.19,20.69,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.93,4.42,0.00,0.00,1.47,0
1497,1,32.48,20.51,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.94,4.43,0.00,0.00,1.47,0
1520,1,33.00,20.57,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.96,4.44,0.00,0.00,1.47,0
1538,1,33.42,20.69,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.04,4.97,4.45,0.00,0.00,1.47,0
1560,1,33.84,20.49,88.50,0.00,0.00,-5.000,5.88,11.76,0.01,-0.03,4.99,4.46,0.00,0.00,1.47,0
1578,1,34.25,20.40,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.00,4.47,0.00,0.00,1.47,0
1600,1,34.67,20.27,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.01,4.48,0.00,0.00,1.47,0
1617,1,34.97,20.09,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.03,4.49,0.00,0.00,1.47,0
1640,1,35.46,19.77,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.04,4.49,0.00,0.00,1.47,0
1658,1,35.84,19.40,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.06,4.50,0.00,0.00,1.47,0
1680,1,36.22,19.05,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.07,4.51,0.00,0.00,1.47,0
1698,1,36.59,18.94,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.03,5.09,4.52,0.00,0.00,1.47,0
1720,1,36.98,19.01,88.50,0.00,0.00,-5.000,5.88,11.76,0.09,-0.01,5.10,4.53,0.00,0.00,1.47,0
1738,1,37.36,18.84,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.11,4.54,0.00,0.00,1.47,0
1758,1,37.75,18.93,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.13,4.55,0.00,0.00,1.47,0
1779,1,38.12,18.62,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.14,4.55,0.00,0.00,1.47,0
1798,1,38.50,18.44,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.15,4.56,0.00,0.00,1.47,0
1818,1,38.85,18.05,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.17,4.57,0.00,0.00,1.47,0
1840,1,39.21,17.94,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.18,4.58,0.00,0.00,1.47,0
1858,1,39.55,17.56,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.01,5.19,4.59,0.00,0.00,1.47,0
1879,1,39.91,17.38,88.50,0.00,0.00,-5.000,5.88,11.76,-0.01,-0.05,5.20,4.59,0.00,0.00,1.47,0
1898,1,40.25,17.36,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.22,4.60,0.00,0.00,1.47,0
1920,1,40.62,17.58,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.23,4.61,0.00,0.00,1.47,0
1938,1,40.98,17.63,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.24,4.62,0.00,0.00,1.47,0
1960,1,41.34,17.53,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.25,4.62,0.00,0.00,1.47,0
1978,1,41.69,17.35,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.27,4.63,0.00,0.00,1.47,0
2000,1,42.03,16.98,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.28,4.64,0.00,0.00,1.47,0
2017,1,42.27,16.76,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.05,5.29,4.65,0.00,0.00,1.47,0
2040,1,42.68,16.45,88.50,0.00,0.00,-5.000,5.88,11.76,-0.02,-0.04,5.30,4.65,0.00,0.00,1.47,0
2058,1,43.00,16.42,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.31,4.66,0.00,0.00,1.47,0
2080,1,43.34,16.52,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.32,4.67,0.00,0.00,1.47,0
2098,1,43.68,16.37,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.34,4.68,0.00,0.00,1.47,0
2120,1,44.01,16.18,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.35,4.68,0.00,0.00,1.47,0
2137,1,44.24,15.97,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.36,4.69,0.00,0.00,1.47,0
2160,1,44.64,15.86,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.37,4.70,0.00,0.00,1.47,0
2178,1,44.96,15.87,88.50,0.00,0.00,-5.000,5.88,11.76,0.04,-0.04,5.38,4.70,0.00,0.00,1.47,0
