0.00 Nm | tmp=28.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.39 (raw=  3.39 off=  0.00) | vel=  -0.0 rad/s (   -0 RPM) | trq=-0.00 Nm | tmp=29.0C | err=0x00
[VBUS] 23.8V  [Current] 0.47A
[Drive] --- Per-Motor Status ---
[Drive] M0 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.1 rad/s (   -1 RPM) | spd_err=+0.1 | tgt_pos=   3.74 | act_pos=   3.74 | pos_err=-0.00
[Drive] M1 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos= 120.91 | act_pos= 122.25 | pos_err=-1.34
[Drive] M2 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos= 115.71 | act_pos= 117.04 | pos_err=-1.33
[Drive] M3 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos=  -0.57 | act_pos=  -0.57 | pos_err=+0.00
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=2811 arb_lost=11585 bus_err=0
[CAN] our_tx_ok=37422 our_tx_fail=0 our_rx=34602
==================================================
[Balance] --- Log dump (51225 bytes, 568 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
21,1,-0.48,-0.08,0.00,0.00,0.00,0.00,92.32,97.54,-0.02,0.02,3.94,3.54,0.00,0.00,0.00,0
41,1,-0.49,-0.12,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.94,3.54,0.00,0.00,0.00,0
60,1,-0.49,-0.15,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.94,3.55,0.00,0.00,0.00,0
81,1,-0.48,-0.04,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.95,3.56,0.00,0.00,0.00,0
101,1,-0.47,0.10,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.96,3.57,0.00,0.00,0.00,0
120,1,-0.41,0.99,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.97,3.58,0.00,0.00,0.00,0
140,1,-0.30,2.30,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,3.99,3.59,0.00,0.00,0.00,0
161,1,-0.20,2.84,0.00,0.00,0.00,0.00,92.32,97.54,0.02,0.02,4.00,3.60,0.00,0.00,0.00,0
181,1,-0.13,3.26,0.00,0.00,0.00,0.00,92.32,97.54,0.02,-0.01,4.01,3.61,0.00,0.00,0.00,0
200,1,-0.01,3.94,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.03,3.62,0.00,0.00,0.00,0
221,1,0.11,4.55,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.04,3.62,0.00,0.00,0.00,0
240,1,0.28,5.80,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.05,3.64,0.00,0.00,0.00,0
261,1,0.53,7.91,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.07,3.64,0.00,0.00,0.00,0
280,1,0.87,10.83,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.08,3.66,0.00,0.00,0.00,0
301,1,1.29,13.88,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.09,3.67,0.00,0.00,0.00,0
320,1,1.76,16.69,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,-0.01,4.11,3.68,0.00,0.00,0.00,0
341,1,2.21,18.35,0.00,0.00,0.00,0.00,92.32,97.54,-0.05,0.06,4.12,3.69,0.00,0.00,0.00,0
361,1,2.64,19.03,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.14,3.70,0.00,0.00,0.00,0
380,1,3.05,19.46,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.15,3.71,0.00,0.00,0.00,0
400,1,3.47,19.91,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.16,3.72,0.00,0.00,0.00,0
421,1,3.90,20.45,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.18,3.74,0.00,0.00,0.00,0
440,1,4.36,21.25,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.19,3.75,0.00,0.00,0.00,0
461,1,4.95,22.09,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.20,3.76,0.00,0.00,0.00,0
480,1,5.31,22.53,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.06,4.22,3.77,0.00,0.00,0.00,0
501,1,5.80,23.12,0.00,0.00,0.00,0.00,92.32,97.54,0.04,0.04,4.23,3.79,0.00,0.00,0.00,0
519,1,6.30,23.58,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.24,3.80,0.00,0.00,0.00,0
541,1,6.79,23.80,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.26,3.81,0.00,0.00,0.00,0
561,1,7.27,23.95,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.27,3.82,0.00,0.00,0.00,0
580,1,7.77,24.19,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.29,3.84,0.00,0.00,0.00,0
601,1,8.27,24.49,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.30,3.85,0.00,0.00,0.00,0
621,1,8.79,24.88,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.31,3.86,0.00,0.00,0.00,0
639,1,9.30,25.10,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.04,4.33,3.88,0.00,0.00,0.00,0
661,1,9.95,25.32,0.00,0.00,0.00,0.00,92.32,97.54,-0.01,0.03,4.34,3.89,0.00,0.00,0.00,0
680,1,10.34,25.48,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.36,3.90,0.00,0.00,0.00,0
701,1,10.86,25.76,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.37,3.91,0.00,0.00,0.00,0
720,1,11.40,26.01,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.38,3.93,0.00,0.00,0.00,0
741,1,11.93,26.23,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.40,3.94,0.00,0.00,0.00,0
761,1,12.48,26.59,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.41,3.96,0.00,0.00,0.00,0
779,1,13.02,26.85,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.42,3.97,0.00,0.00,0.00,0
801,1,13.58,26.95,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.03,4.44,3.98,0.00,0.00,0.00,0
821,1,14.13,27.14,0.00,0.00,0.00,0.00,92.32,97.54,0.03,0.02,4.45,4.00,0.00,0.00,0.00,0
840,1,14.69,27.32,0.00,0.00,0.00,0.00,92.32,97.54,-0.02,0.02,4.47,4.01,0.00,0.00,0.00,0
861,1,15.37,27.33,0.00,0.00,0.00,0.00,92.32,97.54,-0.02,0.02,4.48,4.02,0.00,0.00,0.00,0
880,1,15.79,27.36,0.00,0.00,0.00,0.00,92.32,97.54,-0.02,0.02,4.49,4.04,0.00,0.00,0.00,0
900,1,16.34,27.41,0.00,0.00,0.00,0.00,92.32,97.54,-0.02,0.02,4.51,4.05,0.00,0.00,0.00,0
