[Balance] --- Log dump (141210 bytes, 1500 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
18,1,-0.21,-0.02,0.00,0.00,0.00,0.00,117.05,122.25,0.00,0.00,3.93,3.54,0.00,0.00,0.00,0
38,1,-0.21,-0.03,0.00,0.00,0.00,0.00,117.05,122.25,0.00,0.00,3.93,3.54,0.00,0.00,0.00,0
58,1,-0.21,-0.02,0.00,0.00,0.00,0.00,117.05,122.25,0.00,-0.01,3.93,3.55,0.00,0.00,0.00,0
78,1,-0.20,0.11,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,3.94,3.56,0.00,0.00,0.00,0
99,1,-0.19,0.30,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,3.95,3.57,0.00,0.00,0.00,0
118,1,-0.13,1.10,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,3.97,3.58,0.00,0.00,0.00,0
138,1,0.00,2.80,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,3.98,3.59,0.00,0.00,0.00,0
158,1,0.10,3.47,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,3.99,3.60,0.00,0.00,0.00,0
178,1,0.19,3.73,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,4.00,3.61,0.00,0.00,0.00,0
199,1,0.30,4.24,0.00,0.00,0.00,0.00,117.05,122.25,-0.01,-0.01,4.02,3.62,0.00,0.00,0.00,0
218,1,0.38,4.56,0.00,0.00,0.00,0.00,117.05,122.26,-0.01,0.02,4.03,3.63,0.00,0.00,0.00,0
238,1,0.53,5.51,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.04,3.64,0.00,0.00,0.00,0
258,1,0.85,8.45,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.06,3.65,0.00,0.00,0.00,0
278,1,1.24,11.82,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.07,3.66,0.00,0.00,0.00,0
299,1,1.69,15.09,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.09,3.67,0.00,0.00,0.00,0
318,1,2.15,17.49,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.10,3.68,0.00,0.00,0.00,0
338,1,2.60,18.87,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.11,3.69,0.00,0.00,0.00,0
358,1,2.92,19.30,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.02,4.13,3.70,0.00,0.00,0.00,0
378,1,3.44,19.76,0.00,0.00,0.00,0.00,117.05,122.26,-0.07,0.08,4.14,3.71,0.00,0.00,0.00,0
399,1,3.87,20.34,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.15,3.73,0.00,0.00,0.00,0
418,1,4.21,20.82,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.17,3.74,0.00,0.00,0.00,0
438,1,4.80,21.81,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.18,3.75,0.00,0.00,0.00,0
458,1,5.28,22.45,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.20,3.76,0.00,0.00,0.00,0
478,1,5.76,22.99,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.21,3.77,0.00,0.00,0.00,0
498,1,6.13,23.37,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.22,3.79,0.00,0.00,0.00,0
518,1,6.75,23.98,0.00,0.00,0.00,0.00,117.04,122.26,0.00,0.08,4.24,3.80,0.00,0.00,0.00,0
