Nm | tmp=25.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.55 (raw=  3.55 off=  0.00) | vel=   0.1 rad/s (    1 RPM) | trq=-0.00 Nm | tmp=26.0C | err=0x00
[VBUS] 22.9V  [Current] 0.00A
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=24097 arb_lost=16577 bus_err=0
[CAN] our_tx_ok=53858 our_tx_fail=0 our_rx=29760
==================================================
[Balance] --- Log dump (147278 bytes, 1582 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
20,1,-1.98,-0.13,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.02,3.91,3.55,0.00,0.00,0.00,0
39,1,-1.98,-0.15,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.02,3.91,3.55,0.00,0.00,0.00,0
59,1,-1.98,-0.14,0.00,0.00,0.00,0.00,0.08,4.66,0.03,-0.03,3.92,3.55,0.00,0.00,0.00,0
80,1,-1.98,-0.07,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.93,3.56,0.00,0.00,0.00,0
100,1,-1.96,0.18,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.94,3.57,0.00,0.00,0.00,0
118,1,-1.90,1.00,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.95,3.58,0.00,0.00,0.00,0
140,1,-1.81,2.17,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.96,3.59,0.00,0.00,0.00,0
159,1,-1.70,2.92,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.98,3.60,0.00,0.00,0.00,0
180,1,-1.59,3.57,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,3.99,3.61,0.00,0.00,0.00,0
199,1,-1.47,4.17,0.00,0.00,0.00,0.00,0.08,4.66,0.05,-0.03,4.01,3.62,0.00,0.00,0.00,0
220,1,-1.36,4.74,0.00,0.00,0.00,0.00,0.08,4.66,0.05,0.00,4.02,3.63,0.00,0.00,0.00,0
238,1,-1.18,6.06,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.00,4.03,3.64,0.00,0.00,0.00,0
260,1,-0.91,8.32,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.00,4.05,3.65,0.00,0.00,0.00,0
279,1,-0.52,11.78,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.00,4.06,3.66,0.00,0.00,0.00,0
300,1,-0.07,15.05,0.00,0.00,0.00,0.00,0.08,4.66,0.03,0.00,4.07,3.67,0.00,0.00,0.00,0
