m | tmp=25.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.55 (raw=  3.55 off=  0.00) | vel=  -0.0 rad/s (   -0 RPM) | trq=-0.00 Nm | tmp=26.0C | err=0x00
[VBUS] 22.9V  [Current] 0.00A
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=5961 arb_lost=4448 bus_err=0
[CAN] our_tx_ok=17906 our_tx_fail=0 our_rx=11944
==================================================
[Balance] --- Log dump (65903 bytes, 718 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
21,1,-4.73,-0.03,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,-0.01,3.91,3.55,0.00,0.00,0.00,0
40,1,-4.73,-0.02,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.91,3.55,0.00,0.00,0.00,0
60,1,-4.73,-0.04,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.92,3.55,0.00,0.00,0.00,0
81,1,-4.72,0.10,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.93,3.56,0.00,0.00,0.00,0
100,1,-4.70,0.38,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.94,3.57,0.00,0.00,0.00,0
119,1,-4.63,1.22,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.95,3.58,0.00,0.00,0.00,0
141,1,-4.51,2.63,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.96,3.59,0.00,0.00,0.00,0
160,1,-4.42,3.24,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,-0.01,3.98,3.60,0.00,0.00,0.00,0
181,1,-4.31,3.93,0.00,0.00,0.00,0.00,-2.02,2.55,0.09,0.03,3.99,3.61,0.00,0.00,0.00,0
200,1,-4.20,4.28,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.01,3.62,0.00,0.00,0.00,0
220,1,-4.04,5.36,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.02,3.63,0.00,0.00,0.00,0
240,1,-3.80,7.19,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.03,3.64,0.00,0.00,0.00,0
259,1,-3.55,9.45,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.05,3.65,0.00,0.00,0.00,0
281,1,-3.04,13.61,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.06,3.66,0.00,0.00,0.00,0
301,1,-2.61,16.23,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.07,3.67,0.00,0.00,0.00,0
320,1,-2.17,17.92,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,0.03,4.09,3.68,0.00,0.00,0.00,0
340,1,-1.72,19.07,0.00,0.00,0.00,0.00,-2.02,2.55,-0.01,-0.01,4.10,3.70,0.00,0.00,0.00,0
360,1,-1.29,19.73,0.00,0.00,0.00,0.00,-2.02,2.55,0.00,-0.01,4.11,3.71,0.00,0.00,0.00,0
380,1,-0.97,20.08,0.00,0.00,0.00,0.00,-2.02,2.55,0.00,-0.01,4.13,3.72,0.00,0.00,0.00,0
