.07 Nm | tmp=26.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.55 (raw=  3.55 off=  0.00) | vel=   0.1 rad/s (    1 RPM) | trq=-0.01 Nm | tmp=27.0C | err=0x00
[VBUS] 23.8V  [Current] 0.56A
[Drive] --- Per-Motor Status ---
[Drive] M0 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos=   0.08 | act_pos=   0.08 | pos_err=-0.00
[Drive] M1 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos= -18.73 | act_pos= -18.94 | pos_err=+0.22
[Drive] M2 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos=  -1.79 | act_pos=  -2.01 | pos_err=+0.22
[Drive] M3 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos=  -5.08 | act_pos=  -5.09 | pos_err=+0.01
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=24895 arb_lost=51150 bus_err=384584
[CAN] our_tx_ok=173065 our_tx_fail=39 our_rx=148152
==================================================
[Balance] --- Log dump (153064 bytes, 1620 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
20,1,-4.99,-0.11,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.91,3.55,0.00,0.00,0.00,0
41,1,-4.99,-0.12,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.91,3.55,0.00,0.00,0.00,0
61,1,-4.99,-0.07,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.92,3.56,0.00,0.00,0.00,0
80,1,-4.98,0.03,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.93,3.57,0.00,0.00,0.00,0
101,1,-4.95,0.36,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.94,3.58,0.00,0.00,0.00,0
120,1,-4.90,1.15,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.95,3.59,0.00,0.00,0.00,0
141,1,-4.84,1.85,0.00,0.00,0.00,0.00,0.00,-16.95,0.00,-0.02,3.96,3.60,0.00,0.00,0.00,0
160,1,-4.74,2.66,0.00,0.00,0.00,0.00,0.00,-16.94,0.00,0.02,3.98,3.61,0.00,0.00,0.00,0
181,1,-4.65,3.28,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,3.99,3.62,0.00,0.00,0.00,0
200,1,-4.54,3.79,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.00,3.63,0.00,0.00,0.00,0
221,1,-4.42,4.48,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.02,3.63,0.00,0.00,0.00,0
241,1,-4.22,6.23,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.03,3.64,0.00,0.00,0.00,0
259,1,-3.93,8.96,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.04,3.65,0.00,0.00,0.00,0
281,1,-3.50,12.61,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.06,3.67,0.00,0.00,0.00,0
301,1,-3.04,15.70,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.02,4.07,3.68,0.00,0.00,0.00,0
320,1,-2.57,17.93,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,-0.03,4.09,3.69,0.00,0.00,0.00,0
341,1,-2.12,19.07,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.10,3.70,0.00,0.00,0.00,0
360,1,-1.70,19.47,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.11,3.71,0.00,0.00,0.00,0
381,1,-1.29,19.73,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.13,3.72,0.00,0.00,0.00,0
399,1,-0.87,20.25,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.14,3.74,0.00,0.00,0.00,0
421,1,-0.45,20.59,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.15,3.75,0.00,0.00,0.00,0
441,1,0.00,21.21,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.17,3.76,0.00,0.00,0.00,0
460,1,0.45,21.77,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.03,4.18,3.77,0.00,0.00,0.00,0
480,1,0.95,22.61,0.00,0.00,0.00,0.00,0.00,-16.94,-0.02,-0.02,4.20,3.78,0.00,0.00,0.00,0
501,1,1.44,23.25,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.21,3.80,0.00,0.00,0.00,0
519,1,1.93,23.71,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.22,3.81,0.00,0.00,0.00,0
541,1,2.42,23.97,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.24,3.82,0.00,0.00,0.00,0
560,1,2.92,24.32,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.25,3.84,0.00,0.00,0.00,0
581,1,3.43,24.63,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.27,3.85,0.00,0.00,0.00,0
600,1,3.94,24.91,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.28,3.86,0.00,0.00,0.00,0
621,1,4.45,25.13,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,-0.02,4.29,3.88,0.00,0.00,0.00,0
640,1,4.96,25.24,0.00,0.00,0.00,0.00,0.00,-16.94,0.03,0.03,4.31,3.89,0.00,0.00,0.00,0
660,1,5.48,25.41,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.03,4.32,3.90,0.00,0.00,0.00,0
681,1,6.02,25.89,0.00,0.00,0.00,0.00,0.00,-16.94,0.01,0.03,4.34,3.92,0.00,0.00,0.00,0
