20 Nm | tmp=26.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.51 (raw=  3.51 off=  0.00) | vel=  -0.0 rad/s (   -0 RPM) | trq=-0.01 Nm | tmp=27.0C | err=0x00
[VBUS] 24.9V  [Current] 0.53A
[Drive] --- Per-Motor Status ---
[Drive] M0 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.1 rad/s (    1 RPM) | spd_err=-0.1 | tgt_pos=  10.28 | act_pos=  10.28 | pos_err=-0.00
[Drive] M1 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.1 rad/s (    1 RPM) | spd_err=-0.1 | tgt_pos=  -7.54 | act_pos=  -7.53 | pos_err=-0.01
[Drive] M2 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos= -12.98 | act_pos= -12.98 | pos_err=-0.00
[Drive] M3 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos=  -3.93 | act_pos=  -3.94 | pos_err=+0.00
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=36557 arb_lost=33815 bus_err=0
[CAN] our_tx_ok=108448 our_tx_fail=0 our_rx=71878
==================================================
[Balance] --- Log dump (203526 bytes, 2154 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
18,1,-3.15,-0.14,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.02,-0.02,3.93,3.51,0.00,0.00,0.00,0
38,1,-3.15,-0.12,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.02,0.03,3.93,3.51,0.00,0.00,0.00,0
58,1,-3.15,-0.13,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,3.94,3.52,0.00,0.00,0.00,0
79,1,-3.15,-0.11,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,3.95,3.53,0.00,0.00,0.00,0
98,1,-3.14,-0.06,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,3.96,3.54,0.00,0.00,0.00,0
118,1,-3.14,-0.07,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,3.97,3.55,0.00,0.00,0.00,0
138,1,-3.13,-0.05,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,3.98,3.56,0.00,0.00,0.00,0
159,1,-3.11,0.28,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,4.00,3.57,0.00,0.00,0.00,0
178,1,-3.01,1.54,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.03,4.01,3.58,0.00,0.00,0.00,0
197,1,-2.91,2.57,0.00,0.00,0.00,0.00,-7.99,-2.55,-0.01,0.05,4.02,3.59,0.00,0.00,0.00,0
219,1,-2.81,3.15,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.04,3.60,0.00,0.00,0.00,0
239,1,-2.70,3.75,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.05,3.61,0.00,0.00,0.00,0
259,1,-2.57,4.50,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.07,3.62,0.00,0.00,0.00,0
278,1,-2.39,5.80,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.08,3.63,0.00,0.00,0.00,0
298,1,-2.09,8.72,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.09,3.64,0.00,0.00,0.00,0
317,1,-1.73,11.56,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.11,3.65,0.00,0.00,0.00,0
339,1,-1.29,14.57,0.00,0.00,0.00,0.00,-7.99,-2.55,0.02,0.05,4.12,3.66,0.00,0.00,0.00,0
359,1,-0.84,16.82,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.00,4.14,3.67,0.00,0.00,0.00,0
378,1,-0.40,18.29,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.15,3.68,0.00,0.00,0.00,0
398,1,0.03,19.03,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.16,3.69,0.00,0.00,0.00,0
418,1,0.44,19.35,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.18,3.71,0.00,0.00,0.00,0
438,1,0.86,19.85,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.19,3.72,0.00,0.00,0.00,0
459,1,1.32,20.63,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.20,3.73,0.00,0.00,0.00,0
478,1,1.78,21.45,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.22,3.74,0.00,0.00,0.00,0
498,1,2.26,22.25,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,-0.00,4.23,3.76,0.00,0.00,0.00,0
518,1,2.74,22.85,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.02,0.04,4.25,3.77,0.00,0.00,0.00,0
538,1,3.22,23.18,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.26,3.78,0.00,0.00,0.00,0
559,1,3.71,23.50,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.27,3.79,0.00,0.00,0.00,0
577,1,4.21,23.85,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.29,3.81,0.00,0.00,0.00,0
599,1,4.70,24.00,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.30,3.82,0.00,0.00,0.00,0
618,1,5.20,24.29,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.32,3.83,0.00,0.00,0.00,0
638,1,5.70,24.49,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.33,3.84,0.00,0.00,0.00,0
659,1,6.22,24.82,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.04,4.34,3.86,0.00,0.00,0.00,0
678,1,6.73,25.05,0.00,0.00,0.00,0.00,-7.99,-2.54,0.01,0.01,4.36,3.87,0.00,0.00,0.00,0
697,1,7.25,25.37,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.37,3.88,0.00,0.00,0.00,0
719,1,7.78,25.59,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.39,3.90,0.00,0.00,0.00,0
738,1,8.31,25.85,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.40,3.91,0.00,0.00,0.00,0
759,1,8.84,26.12,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.42,3.92,0.00,0.00,0.00,0
778,1,9.38,26.20,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.43,3.94,0.00,0.00,0.00,0
798,1,9.91,26.32,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.44,3.95,0.00,0.00,0.00,0
818,1,10.45,26.53,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,0.01,4.46,3.96,0.00,0.00,0.00,0
837,1,10.99,26.76,0.00,0.00,0.00,0.00,-7.99,-2.54,0.05,-0.05,4.47,3.98,0.00,0.00,0.00,0
859,1,11.54,26.74,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.49,3.99,0.00,0.00,0.00,0
879,1,12.07,26.75,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.50,4.01,0.00,0.00,0.00,0
898,1,12.62,26.84,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.51,4.02,0.00,0.00,0.00,0
918,1,13.17,26.95,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.53,4.03,0.00,0.00,0.00,0
938,1,13.72,27.15,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.54,4.05,0.00,0.00,0.00,0
958,1,14.27,27.30,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.56,4.06,0.00,0.00,0.00,0
979,1,14.83,27.43,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.05,4.57,4.07,0.00,0.00,0.00,0
999,1,15.39,27.58,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.06,4.58,4.09,0.00,0.00,0.00,0
1018,1,15.95,27.78,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.60,4.10,0.00,0.00,0.00,0
1038,1,16.52,27.95,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.61,4.12,0.00,0.00,0.00,0
1059,1,17.10,28.23,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.63,4.13,0.00,0.00,0.00,0
1078,1,17.68,28.40,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.64,4.14,0.00,0.00,0.00,0
1098,1,18.26,28.66,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.65,4.16,0.00,0.00,0.00,0
1118,1,18.84,28.69,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.67,4.17,0.00,0.00,0.00,0
1138,1,19.42,28.84,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.06,4.68,4.19,0.00,0.00,0.00,0
1159,1,20.00,28.92,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.00,-0.01,4.70,4.20,0.00,0.00,0.00,0
1178,1,20.59,28.98,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.71,4.21,0.00,0.00,0.00,0
1198,1,21.17,28.97,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.73,4.23,0.00,0.00,0.00,0
1217,1,21.75,28.95,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.74,4.24,0.00,0.00,0.00,0
1239,1,22.34,29.03,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.75,4.26,0.00,0.00,0.00,0
1259,1,22.94,29.06,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.77,4.27,0.00,0.00,0.00,0
1279,1,23.52,29.01,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.78,4.28,0.00,0.00,0.00,0
1298,1,24.10,28.81,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.80,4.30,0.00,0.00,0.00,0
1318,1,24.68,28.83,0.00,0.00,0.00,0.00,-7.99,-2.54,0.04,-0.01,4.81,4.31,0.00,0.00,0.00,0
1337,1,25.26,28.65,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.82,4.33,0.00,0.00,0.00,0
1359,1,25.81,28.15,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.84,4.34,0.00,0.00,0.00,0
1378,1,26.32,26.90,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.85,4.35,0.00,0.00,0.00,0
1398,1,26.79,25.49,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.87,4.36,0.00,0.00,0.00,0
1418,1,27.20,23.54,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.88,4.37,0.00,0.00,0.00,0
1438,1,27.57,21.84,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.89,4.38,0.00,0.00,0.00,0
1459,1,27.91,20.52,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.01,4.91,4.39,0.00,0.00,0.00,0
1477,1,28.27,19.75,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.05,4.92,4.40,0.00,0.00,0.00,0
1499,1,28.65,19.67,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,4.94,4.41,0.00,0.00,0.00,0
1519,1,29.05,19.82,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,4.95,4.42,0.00,0.00,0.00,0
1538,1,29.47,20.07,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,4.97,4.43,0.00,0.00,0.00,0
1559,1,29.88,20.00,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,4.98,4.43,0.00,0.00,0.00,0
1578,1,30.28,19.83,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,4.99,4.44,0.00,0.00,0.00,0
1597,1,30.66,19.48,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,5.01,4.45,0.00,0.00,0.00,0
1619,1,31.04,19.19,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,0.05,5.02,4.46,0.00,0.00,0.00,0
1639,1,31.41,18.90,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.02,5.04,4.47,0.00,0.00,0.00,0
1659,1,31.78,18.74,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.05,4.48,0.00,0.00,0.00,0
1678,1,32.15,18.54,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.06,4.49,0.00,0.00,0.00,0
1698,1,32.53,18.60,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.08,4.50,0.00,0.00,0.00,0
1718,1,32.91,18.57,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.09,4.50,0.00,0.00,0.00,0
1738,1,33.29,18.56,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.10,4.51,0.00,0.00,0.00,0
1759,1,33.66,18.41,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.12,4.52,0.00,0.00,0.00,0
1778,1,34.03,18.43,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,-0.02,5.13,4.53,0.00,0.00,0.00,0
1798,1,34.39,18.20,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.03,0.01,5.14,4.54,0.00,0.00,0.00,0
1818,1,34.75,18.01,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.16,4.55,0.00,0.00,0.00,0
1838,1,35.10,17.74,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.17,4.55,0.00,0.00,0.00,0
1857,1,35.44,17.52,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.18,4.56,0.00,0.00,0.00,0
1879,1,35.79,17.26,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.20,4.57,0.00,0.00,0.00,0
1898,1,36.14,17.23,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.21,4.58,0.00,0.00,0.00,0
1918,1,36.48,17.17,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.22,4.58,0.00,0.00,0.00,0
1938,1,36.83,17.25,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,0.01,5.23,4.59,0.00,0.00,0.00,0
1958,1,37.18,17.19,0.00,0.00,0.00,0.00,-7.99,-2.54,0.02,-0.02,5.25,4.60,0.00,0.00,0.00,0
1979,1,37.54,17.20,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.02,5.26,4.61,0.00,0.00,0.00,0
1998,1,37.89,17.12,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.02,5.27,4.62,0.00,0.00,0.00,0
2018,1,38.23,16.88,0.00,0.00,0.00,0.00,-7.99,-2.54,-0.01,-0.02,5.28,4.62,0.00,0.00,0.00,0
