.01 Nm | tmp=26.0C | err=0x00
[Motor] ID= 2 ON  | pos=   3.48 (raw=  3.48 off=  0.00) | vel=   0.0 rad/s (    0 RPM) | trq=-0.01 Nm | tmp=27.0C | err=0x00
[VBUS] 24.1V  [Current] 0.65A
[Drive] --- Per-Motor Status ---
[Drive] M0 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos=   5.64 | act_pos=   5.64 | pos_err=+0.00
[Drive] M1 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos=   8.22 | act_pos=   8.60 | pos_err=-0.38
[Drive] M2 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=   0.0 rad/s (    0 RPM) | spd_err=-0.0 | tgt_pos=  -2.01 | act_pos=  -1.62 | pos_err=-0.39
[Drive] M3 IDLE | cmd=   0.0 rad/s (    0 RPM) | act=  -0.0 rad/s (   -0 RPM) | spd_err=+0.0 | tgt_pos=   1.16 | act_pos=   1.16 | pos_err=+0.01
[CAN] state=1 tx_err=0 rx_err=0 hw_tx_fail=0 rx_miss=21640 arb_lost=28291 bus_err=0
[CAN] our_tx_ok=95996 our_tx_fail=0 our_rx=74343
==================================================
[Balance] --- Log dump (136145 bytes, 1465 samples) ---
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
20,1,-2.29,-0.10,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.01,3.48,0.00,0.00,0.00,0
39,1,-2.29,-0.11,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.01,3.48,0.00,0.00,0.00,0
58,1,-2.29,-0.09,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.01,3.49,0.00,0.00,0.00,0
79,1,-2.29,-0.09,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.02,3.50,0.00,0.00,0.00,0
99,1,-2.29,-0.07,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,-0.05,4.03,3.51,0.00,0.00,0.00,0
120,1,-2.29,-0.10,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.05,3.52,0.00,0.00,0.00,0
139,1,-2.29,-0.03,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.06,3.54,0.00,0.00,0.00,0
159,1,-2.28,0.08,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.07,3.55,0.00,0.00,0.00,0
179,1,-2.26,0.31,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.09,3.56,0.00,0.00,0.00,0
199,1,-2.22,0.68,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.10,3.57,0.00,0.00,0.00,0
220,1,-2.16,1.40,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.11,3.58,0.00,0.00,0.00,0
239,1,-2.06,2.39,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,-0.05,4.13,3.59,0.00,0.00,0.00,0
259,1,-1.96,3.10,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.02,4.14,3.60,0.00,0.00,0.00,0
279,1,-1.83,3.86,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.15,3.61,0.00,0.00,0.00,0
299,1,-1.71,4.39,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.17,3.62,0.00,0.00,0.00,0
319,1,-1.56,5.23,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.18,3.63,0.00,0.00,0.00,0
339,1,-1.36,6.75,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.20,3.64,0.00,0.00,0.00,0
359,1,-1.02,9.80,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.21,3.65,0.00,0.00,0.00,0
379,1,-0.62,12.96,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.22,3.66,0.00,0.00,0.00,0
399,1,-0.15,16.02,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,0.02,4.24,3.67,0.00,0.00,0.00,0
420,1,0.29,17.87,0.00,0.00,0.00,0.00,-3.39,6.85,-0.02,-0.05,4.25,3.68,0.00,0.00,0.00,0
438,1,0.68,18.46,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.27,3.70,0.00,0.00,0.00,0
460,1,1.06,18.84,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.28,3.71,0.00,0.00,0.00,0
479,1,1.48,19.43,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.29,3.72,0.00,0.00,0.00,0
499,1,1.92,20.16,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.31,3.73,0.00,0.00,0.00,0
520,1,2.38,21.12,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.32,3.74,0.00,0.00,0.00,0
539,1,2.85,21.85,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.34,3.75,0.00,0.00,0.00,0
558,1,3.31,22.31,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,-0.05,4.35,3.77,0.00,0.00,0.00,0
580,1,3.79,22.78,0.00,0.00,0.00,0.00,-3.39,6.85,-0.03,0.00,4.36,3.78,0.00,0.00,0.00,0
599,1,4.27,23.17,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.00,4.38,3.79,0.00,0.00,0.00,0
620,1,4.75,23.45,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.00,4.39,3.80,0.00,0.00,0.00,0
639,1,5.23,23.64,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.00,4.41,3.82,0.00,0.00,0.00,0
659,1,5.72,23.90,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.00,4.42,3.83,0.00,0.00,0.00,0
679,1,6.22,24.27,0.00,0.00,0.00,0.00,-3.39,6.85,0.00,0.00,4.43,3.84,0.00,0.00,0.00,0
