# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# pos_kp=0.2500
# pos_ki=0.1000
# pos_kd=0.0500
# pos_shift_max=3.00
# pos_deadband=0.15
# pos_gate_err=8.00
# vel_kp=0.8000
# vel_kd=0.1500
# vel_max=5.00
# vel_rate_max=3.00
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_rate_max=10.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_origin_reset=true
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,vel_offset,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,pos_gate,flags
21,1,-0.68,0.01,0.00,0.00,0.00,0.00,-1.10,2.27,-0.02,-0.02,3.93,3.54,0.00,0.00,0.00,0.00,0
41,1,-0.68,0.01,0.00,0.00,0.00,0.00,-1.10,2.27,-0.02,-0.02,3.93,3.53,0.00,0.00,0.00,0.00,0
60,1,-0.68,0.03,0.00,0.00,0.00,0.00,-1.10,2.27,-0.02,-0.02,3.93,3.54,0.00,0.00,0.00,0.00,0
81,1,-0.67,0.12,0.00,0.00,0.00,0.00,-1.10,2.27,-0.02,-0.03,3.94,3.55,0.00,0.00,0.00,0.00,0
100,1,-0.66,0.30,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,3.95,3.56,0.00,0.00,0.00,0.00,0
121,1,-0.63,0.72,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,3.97,3.57,0.00,0.00,0.00,0.00,0
140,1,-0.56,1.63,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,3.98,3.58,0.00,0.00,0.00,0.00,0
161,1,-0.41,3.03,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,3.99,3.59,0.00,0.00,0.00,0.00,0
181,1,-0.32,3.49,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,4.01,3.60,0.00,0.00,0.00,0.00,0
201,1,-0.21,4.22,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,4.02,3.61,0.00,0.00,0.00,0.00,0
219,1,-0.12,4.59,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.03,4.03,3.62,0.00,0.00,0.00,0.00,0
241,1,0.14,6.76,0.00,0.00,0.00,0.00,-1.10,2.27,-0.06,-0.05,4.05,3.62,0.00,0.00,0.00,0.00,0
260,1,0.38,9.08,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.06,3.64,0.00,0.00,0.00,0.00,0
281,1,0.86,12.95,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.07,3.65,0.00,0.00,0.00,0.00,0
300,1,1.18,14.93,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.09,3.66,0.00,0.00,0.00,0.00,0
321,1,1.72,17.31,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.10,3.67,0.00,0.00,0.00,0.00,0
339,1,2.04,18.21,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.11,3.68,0.00,0.00,0.00,0.00,0
361,1,2.57,19.14,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.13,3.69,0.00,0.00,0.00,0.00,0
381,1,2.98,19.55,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.05,4.14,3.70,0.00,0.00,0.00,0.00,0
401,1,3.40,20.12,0.00,0.00,0.00,0.00,-1.09,2.27,-0.05,-0.02,4.16,3.71,0.00,0.00,0.00,0.00,0
420,1,3.74,20.69,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.17,3.73,0.00,0.00,0.00,0.00,0
441,1,4.32,21.79,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.18,3.74,0.00,0.00,0.00,0.00,0
459,1,4.68,22.24,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.20,3.75,0.00,0.00,0.00,0.00,0
481,1,5.27,22.67,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.21,3.76,0.00,0.00,0.00,0.00,0
500,1,5.63,22.99,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.23,3.78,0.00,0.00,0.00,0.00,0
521,1,6.23,23.46,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.24,3.79,0.00,0.00,0.00,0.00,0
540,1,6.60,23.79,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,-0.02,4.25,3.80,0.00,0.00,0.00,0.00,0
561,1,7.22,24.21,0.00,0.00,0.00,0.00,-1.09,2.27,-0.06,0.00,4.27,3.81,0.00,0.00,0.00,0.00,0
581,1,7.72,24.56,0.00,0.00,0.00,0.00,-1.09,2.27,-0.02,0.00,4.28,3.83,0.00,0.00,0.00,0.00,0
599,1,8.10,24.79,0.00,0.00,0.00,0.00,-1.09,2.27,-0.02,0.00,4.30,3.84,0.00,0.00,0.00,0.00,0
