# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# pos_kp=0.4000
# pos_ki=0.1500
# pos_kd=0.0500
# pos_shift_max=5.00
# pos_deadband=0.15
# pos_gate_err=8.00
# origin_leak=0.1500
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_rate_max=10.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_origin_reset=true
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,origin_drift,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,pos_gate,flags
19,1,-0.86,-0.09,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
39,1,-0.86,-0.09,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
59,1,-0.86,-0.06,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
79,1,-0.84,0.15,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,0.03,3.94,3.55,0.00,0.00,0.00,0.00,0
99,1,-0.81,0.46,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,0.03,3.95,3.56,0.00,0.00,0.00,0.00,0
119,1,-0.77,1.03,0.00,0.00,0.00,0.00,-0.77,2.67,-0.04,-0.05,3.97,3.57,0.00,0.00,0.00,0.00,0
139,1,-0.68,2.05,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,3.98,3.58,0.00,0.00,0.00,0.00,0
159,1,-0.59,2.86,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,3.99,3.59,0.00,0.00,0.00,0.00,0
179,1,-0.49,3.39,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,4.00,3.60,0.00,0.00,0.00,0.00,0
200,1,-0.39,3.89,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,4.02,3.61,0.00,0.00,0.00,0.00,0
218,1,-0.28,4.35,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,4.03,3.62,0.00,0.00,0.00,0.00,0
240,1,-0.06,5.94,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,4.04,3.63,0.00,0.00,0.00,0.00,0
259,1,0.15,8.06,0.00,0.00,0.00,0.00,-0.77,2.67,-0.03,-0.05,4.06,3.64,0.00,0.00,0.00,0.00,0
279,1,0.53,11.35,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.02,4.07,3.65,0.00,0.00,0.00,0.00,0
300,1,0.97,14.68,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.09,3.66,0.00,0.00,0.00,0.00,0
319,1,1.43,17.05,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.10,3.67,0.00,0.00,0.00,0.00,0
339,1,1.87,18.45,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.11,3.68,0.00,0.00,0.00,0.00,0
358,1,2.31,19.26,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.13,3.69,0.00,0.00,0.00,0.00,0
380,1,2.83,19.79,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.14,3.71,0.00,0.00,0.00,0.00,0
400,1,3.25,20.38,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.16,3.72,0.00,0.00,0.00,0.00,0
419,1,3.59,20.81,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,-0.02,4.17,3.73,0.00,0.00,0.00,0.00,0
439,1,4.06,21.58,0.00,0.00,0.00,0.00,-0.77,2.68,0.05,0.00,4.18,3.74,0.00,0.00,0.00,0.00,0
459,1,4.53,22.20,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.20,3.76,0.00,0.00,0.00,0.00,0
478,1,5.02,22.71,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.21,3.77,0.00,0.00,0.00,0.00,0
500,1,5.63,23.38,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.23,3.78,0.00,0.00,0.00,0.00,0
520,1,6.13,23.77,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.24,3.79,0.00,0.00,0.00,0.00,0
539,1,6.51,24.01,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.25,3.81,0.00,0.00,0.00,0.00,0
560,1,7.00,24.23,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.27,3.82,0.00,0.00,0.00,0.00,0
579,1,7.50,24.46,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.00,4.28,3.83,0.00,0.00,0.00,0.00,0
599,1,8.00,24.65,0.00,0.00,0.00,0.00,-0.77,2.68,-0.06,0.01,4.30,3.84,0.00,0.00,0.00,0.00,0
619,1,8.51,24.90,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.31,3.86,0.00,0.00,0.00,0.00,0
639,1,9.03,25.18,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.32,3.87,0.00,0.00,0.00,0.00,0
659,1,9.55,25.47,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.34,3.88,0.00,0.00,0.00,0.00,0
679,1,10.08,25.73,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.35,3.90,0.00,0.00,0.00,0.00,0
700,1,10.62,26.12,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.37,3.91,0.00,0.00,0.00,0.00,0
720,1,11.15,26.41,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.38,3.92,0.00,0.00,0.00,0.00,0
738,1,11.69,26.48,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.01,4.40,3.94,0.00,0.00,0.00,0.00,0
760,1,12.36,26.73,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.02,4.41,3.95,0.00,0.00,0.00,0.00,0
779,1,12.78,26.91,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.42,3.96,0.00,0.00,0.00,0.00,0
800,1,13.32,27.00,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.44,3.98,0.00,0.00,0.00,0.00,0
819,1,13.87,27.05,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.45,3.99,0.00,0.00,0.00,0.00,0
839,1,14.41,27.08,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.46,4.01,0.00,0.00,0.00,0.00,0
858,1,14.95,27.07,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.48,4.02,0.00,0.00,0.00,0.00,0
880,1,15.64,27.23,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.49,4.03,0.00,0.00,0.00,0.00,0
900,1,16.06,27.31,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.02,4.51,4.05,0.00,0.00,0.00,0.00,0
920,1,16.60,27.38,0.00,0.00,0.00,0.00,-0.77,2.68,0.03,-0.05,4.52,4.06,0.00,0.00,0.00,0.00,0
939,1,17.16,27.55,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.54,4.07,0.00,0.00,0.00,0.00,0
959,1,17.72,27.74,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.55,4.09,0.00,0.00,0.00,0.00,0
979,1,18.29,27.81,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.56,4.10,0.00,0.00,0.00,0.00,0
999,1,18.85,27.89,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.58,4.12,0.00,0.00,0.00,0.00,0
1019,1,19.42,28.02,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.59,4.13,0.00,0.00,0.00,0.00,0
1039,1,19.99,28.17,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.61,4.14,0.00,0.00,0.00,0.00,0
1059,1,20.56,28.17,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.05,4.62,4.16,0.00,0.00,0.00,0.00,0
1079,1,21.13,28.15,0.00,0.00,0.00,0.00,-0.77,2.68,-0.03,-0.00,4.63,4.17,0.00,0.00,0.00,0.00,0
1100,1,21.70,28.20,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.65,4.18,0.00,0.00,0.00,0.00,0
1118,1,22.27,28.37,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.66,4.20,0.00,0.00,0.00,0.00,0
1140,1,23.00,28.62,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.68,4.21,0.00,0.00,0.00,0.00,0
1160,1,23.58,28.73,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.69,4.23,0.00,0.00,0.00,0.00,0
1179,1,24.02,28.91,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.71,4.24,0.00,0.00,0.00,0.00,0
1200,1,24.61,29.14,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.72,4.26,0.00,0.00,0.00,0.00,0
1219,1,25.21,29.37,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.00,4.73,4.27,0.00,0.00,0.00,0.00,0
1238,1,25.81,29.32,0.00,0.00,0.00,0.00,-0.77,2.68,0.01,-0.04,4.75,4.28,0.00,0.00,0.00,0.00,0
1260,1,26.54,29.28,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.76,4.30,0.00,0.00,0.00,0.00,0
1280,1,27.13,29.40,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.78,4.31,0.00,0.00,0.00,0.00,0
1300,1,27.58,29.52,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.79,4.33,0.00,0.00,0.00,0.00,0
1319,1,28.18,29.57,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.81,4.34,0.00,0.00,0.00,0.00,0
1339,1,28.77,29.43,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.82,4.35,0.00,0.00,0.00,0.00,0
1360,1,29.32,28.55,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.83,4.36,0.00,0.00,0.00,0.00,0
1378,1,29.82,27.11,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,-0.04,4.85,4.37,0.00,0.00,0.00,0.00,0
1400,1,30.38,24.91,0.00,0.00,0.00,0.00,-0.77,2.68,-0.01,0.03,4.86,4.38,0.00,0.00,0.00,0.00,0
1419,1,30.68,23.63,0.00,0.00,0.00,0.00,-0.77,2.68,0.00,0.03,4.88,4.40,0.00,0.00,0.00,0.00,0
1439,1,31.05,22.03,0.00,0.00,0.00,0.00,-0.77,2.68,0.00,0.03,4.89,4.40,0.00,0.00,0.00,0.00,0
1459,1,31.42,20.93,0.00,0.00,0.00,0.00,-0.77,2.68,0.00,0.03,4.90,4.41,0.00,0.00,0.00,0.00,0
1479,1,31.79,20.39,0.00,0.00,0.00,0.00,-0.77,2.68,0.00,0.03,4.92,4.42,0.00,0.00,0.00,0.00,0
