# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# pos_kp=0.4000
# pos_ki=0.1500
# pos_kd=0.0500
# pos_shift_max=5.00
# pos_deadband=0.15
# pos_gate_err=8.00
# origin_leak_fast=0.1500
# origin_leak_slow=0.0200
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_origin_reset=true
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,origin_drift,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,pos_gate,flags
19,1,0.10,-0.06,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
39,1,0.10,-0.08,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
59,1,0.10,-0.09,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.93,3.54,0.00,0.00,0.00,0.00,0
79,1,0.10,-0.05,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.94,3.55,0.00,0.00,0.00,0.00,0
99,1,0.11,0.09,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.95,3.56,0.00,0.00,0.00,0.00,0
119,1,0.13,0.46,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.97,3.57,0.00,0.00,0.00,0.00,0
138,1,0.21,1.46,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,-0.03,3.98,3.58,0.00,0.00,0.00,0.00,0
160,1,0.29,2.40,0.00,0.00,0.00,0.00,-22.49,-19.78,0.04,0.05,3.99,3.59,0.00,0.00,0.00,0.00,0
179,1,0.36,2.64,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.00,3.60,0.00,0.00,0.00,0.00,0
200,1,0.44,3.06,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.02,3.61,0.00,0.00,0.00,0.00,0
219,1,0.54,3.71,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.03,3.62,0.00,0.00,0.00,0.00,0
239,1,0.70,4.90,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.05,3.63,0.00,0.00,0.00,0.00,0
258,1,0.97,7.54,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.06,3.64,0.00,0.00,0.00,0.00,0
280,1,1.29,10.27,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.07,3.65,0.00,0.00,0.00,0.00,0
300,1,1.72,13.57,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,0.05,4.09,3.66,0.00,0.00,0.00,0.00,0
320,1,2.17,16.15,0.00,0.00,0.00,0.00,-22.49,-19.78,-0.00,-0.05,4.10,3.67,0.00,0.00,0.00,0.00,0
339,1,2.61,17.83,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.11,3.68,0.00,0.00,0.00,0.00,0
359,1,3.03,18.80,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.13,3.69,0.00,0.00,0.00,0.00,0
379,1,3.44,19.19,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.14,3.70,0.00,0.00,0.00,0.00,0
399,1,3.86,19.73,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.16,3.72,0.00,0.00,0.00,0.00,0
419,1,4.30,20.43,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.17,3.73,0.00,0.00,0.00,0.00,0
439,1,4.76,21.15,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.18,3.74,0.00,0.00,0.00,0.00,0
459,1,5.22,21.68,0.00,0.00,0.00,0.00,-22.48,-19.78,0.01,-0.05,4.20,3.75,0.00,0.00,0.00,0.00,0
