# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0400
# arm_bal_ki=0.0150
# arm_bal_kd=0.0100
# arm_bal_max_frac=0.2500
# arm_bal_speed=2.00
# arm_bal_deadband=0.20
# arm_bal_integral_max=0.30
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
21,1,0.18,-0.03,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.93,3.54,0.00,0.00,0.00,0
41,1,0.19,-0.01,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.93,3.54,0.00,0.00,0.00,0
60,1,0.19,-0.01,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.93,3.55,0.00,0.00,0.00,0
81,1,0.19,0.13,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.94,3.56,0.00,0.00,0.00,0
99,1,0.21,0.33,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.95,3.57,0.00,0.00,0.00,0
121,1,0.28,1.20,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.03,3.97,3.58,0.00,0.00,0.00,0
141,1,0.38,2.56,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,3.98,3.59,0.00,0.00,0.00,0
161,1,0.49,3.53,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,3.99,3.60,0.00,0.00,0.00,0
180,1,0.57,3.80,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.01,3.61,0.00,0.00,0.00,0
201,1,0.72,4.50,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.02,3.62,0.00,0.00,0.00,0
219,1,0.81,4.83,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.03,3.63,0.00,0.00,0.00,0
241,1,1.05,6.46,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.04,3.64,0.00,0.00,0.00,0
260,1,1.27,8.54,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.06,3.65,0.00,0.00,0.00,0
281,1,1.75,12.74,0.00,0.00,0.00,0.0000,-3.08,3.54,-0.05,0.04,4.07,3.66,0.00,0.00,0.00,0
300,1,2.09,15.14,0.00,0.00,0.00,0.0000,-3.08,3.55,-0.05,0.01,4.09,3.67,0.00,0.00,0.00,0
321,1,2.67,17.99,0.00,0.00,0.00,0.0000,-3.08,3.55,0.01,0.01,4.10,3.68,0.00,0.00,0.00,0
340,1,3.00,18.82,0.00,0.00,0.00,0.0000,-3.08,3.55,0.01,0.01,4.12,3.69,0.00,0.00,0.00,0
