# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.5000
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.50
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,meas_drift,meas_vel,pos_shift,flags
19,1,0.99,-0.07,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,-0.03,3.92,3.53,0.00,0.00,0.00,0
39,1,0.99,-0.09,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,-0.03,3.92,3.53,0.00,0.00,0.00,0
59,1,0.99,-0.08,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,-0.03,3.92,3.54,0.00,0.00,0.00,0
79,1,0.99,-0.13,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,-0.03,3.93,3.55,0.00,0.00,0.00,0
100,1,1.01,0.09,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,-0.03,3.95,3.56,0.00,0.00,0.00,0
119,1,1.03,0.38,0.00,0.00,0.00,0.0000,-2.50,4.14,-0.01,0.00,3.96,3.57,0.00,0.00,0.00,0
139,1,1.10,1.21,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,3.97,3.58,0.00,0.00,0.00,0
159,1,1.19,2.25,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,3.98,3.59,0.00,0.00,0.00,0
179,1,1.29,3.06,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,4.00,3.60,0.00,0.00,0.00,0
200,1,1.39,3.67,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,4.01,3.61,0.00,0.00,0.00,0
219,1,1.49,4.05,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,4.02,3.62,0.00,0.00,0.00,0
239,1,1.60,4.46,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,4.04,3.63,0.00,0.00,0.00,0
259,1,1.81,6.16,0.00,0.00,0.00,0.0000,-2.50,4.14,0.04,0.00,4.05,3.64,0.00,0.00,0.00,0
279,1,2.09,8.59,0.00,0.00,0.00,0.0000,-2.50,4.15,0.04,0.03,4.07,3.65,0.00,0.00,0.00,0
300,1,2.49,12.17,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.08,3.66,0.00,0.00,0.00,0
320,1,2.92,15.12,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.09,3.67,0.00,0.00,0.00,0
339,1,3.38,17.34,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.11,3.68,0.00,0.00,0.00,0
359,1,3.83,18.68,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.12,3.69,0.00,0.00,0.00,0
379,1,4.26,19.41,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.14,3.70,0.00,0.00,0.00,0
400,1,4.69,19.94,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.15,3.71,0.00,0.00,0.00,0
419,1,5.12,20.37,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,0.03,4.16,3.73,0.00,0.00,0.00,0
439,1,5.56,20.97,0.00,0.00,0.00,0.0000,-2.50,4.15,0.06,-0.03,4.18,3.74,0.00,0.00,0.00,0
459,1,6.02,21.55,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.19,3.75,0.00,0.00,0.00,0
479,1,6.48,22.03,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.21,3.76,0.00,0.00,0.00,0
499,1,6.95,22.51,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.22,3.77,0.00,0.00,0.00,0
519,1,7.44,23.05,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.23,3.79,0.00,0.00,0.00,0
539,1,7.94,23.55,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.25,3.80,0.00,0.00,0.00,0
559,1,8.43,23.92,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.26,3.81,0.00,0.00,0.00,0
579,1,8.93,24.14,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.03,4.28,3.82,0.00,0.00,0.00,0
600,1,9.43,24.48,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.04,-0.01,4.29,3.84,0.00,0.00,0.00,0
619,1,9.94,24.75,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.30,3.85,0.00,0.00,0.00,0
639,1,10.46,25.06,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.32,3.86,0.00,0.00,0.00,0
659,1,10.98,25.23,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.33,3.88,0.00,0.00,0.00,0
679,1,11.50,25.49,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.35,3.89,0.00,0.00,0.00,0
700,1,12.04,25.91,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.36,3.90,0.00,0.00,0.00,0
720,1,12.57,26.18,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.37,3.92,0.00,0.00,0.00,0
739,1,13.11,26.27,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,-0.01,4.39,3.93,0.00,0.00,0.00,0
759,1,13.64,26.29,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.02,0.01,4.40,3.94,0.00,0.00,0.00,0
779,1,14.18,26.52,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.42,3.96,0.00,0.00,0.00,0
800,1,14.72,26.67,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.43,3.97,0.00,0.00,0.00,0
819,1,15.26,26.69,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.44,3.98,0.00,0.00,0.00,0
839,1,15.80,26.72,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.46,4.00,0.00,0.00,0.00,0
859,1,16.34,26.90,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.47,4.01,0.00,0.00,0.00,0
879,1,16.89,27.07,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.49,4.02,0.00,0.00,0.00,0
900,1,17.45,27.40,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.01,4.50,4.04,0.00,0.00,0.00,0
920,1,18.00,27.55,0.00,0.00,0.00,0.0000,-2.50,4.15,0.02,0.04,4.51,4.05,0.00,0.00,0.00,0
939,1,18.56,27.57,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.53,4.07,0.00,0.00,0.00,0
959,1,19.12,27.79,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.54,4.08,0.00,0.00,0.00,0
979,1,19.69,27.85,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.56,4.09,0.00,0.00,0.00,0
1000,1,20.26,27.87,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.57,4.11,0.00,0.00,0.00,0
1019,1,20.82,27.90,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.59,4.12,0.00,0.00,0.00,0
1039,1,21.39,28.04,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.60,4.14,0.00,0.00,0.00,0
1059,1,21.96,28.09,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,0.04,4.61,4.15,0.00,0.00,0.00,0
1079,1,22.53,28.18,0.00,0.00,0.00,0.0000,-2.50,4.15,-0.03,-0.00,4.63,4.16,0.00,0.00,0.00,0
1100,1,23.10,28.19,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.64,4.18,0.00,0.00,0.00,0
1120,1,23.67,28.25,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.66,4.19,0.00,0.00,0.00,0
1139,1,24.25,28.32,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.67,4.21,0.00,0.00,0.00,0
1159,1,24.83,28.44,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.68,4.22,0.00,0.00,0.00,0
1179,1,25.41,28.60,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.70,4.23,0.00,0.00,0.00,0
1200,1,25.99,28.74,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.71,4.25,0.00,0.00,0.00,0
1219,1,26.59,29.05,0.00,0.00,0.00,0.0000,-2.50,4.15,0.03,-0.00,4.73,4.26,0.00,0.00,0.00,0
