# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.5000
# arm_bal_frac_rate=0.3000
# arm_bal_early_frac_rate=0.1500
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.50
# arm_bal_decay=0.9950
# arm_sp_track_rate=0.1500
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,arm_sp_frac,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
18,1,-0.91,-0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.01,-0.02,3.92,3.53,3.93,3.55,0.00,0.00,0
39,1,-0.90,-0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.01,-0.00,3.92,3.53,3.94,3.56,0.00,0.00,0
58,1,-0.90,-0.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.92,3.54,3.96,3.58,0.00,0.00,0
78,1,-0.90,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.93,3.55,3.97,3.59,0.00,0.00,0
97,1,-0.89,-0.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.94,3.56,3.99,3.60,0.00,0.00,0
120,1,-0.84,0.80,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.96,3.57,4.00,3.62,0.00,0.00,0
138,1,-0.74,2.08,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.97,3.58,4.01,3.63,0.00,0.00,0
158,1,-0.64,2.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,3.98,3.59,4.03,3.65,0.00,0.00,0
178,1,-0.53,3.63,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,-0.00,4.00,3.60,4.04,3.66,0.00,0.00,0
199,1,-0.42,4.24,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.02,0.02,4.01,3.61,4.06,3.67,0.00,0.00,0
218,1,-0.30,4.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.02,3.62,4.07,3.69,0.00,0.00,0
238,1,-0.19,4.97,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.04,3.63,4.08,3.70,0.00,0.00,0
258,1,0.00,6.36,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.05,3.64,4.10,3.72,0.00,0.00,0
278,1,0.25,8.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.06,3.65,4.11,3.73,0.00,0.00,0
298,1,0.65,11.84,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.08,3.66,4.13,3.74,0.00,0.00,0
319,1,1.08,14.91,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.09,3.67,4.14,3.76,0.00,0.00,0
338,1,1.56,17.48,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,0.02,4.11,3.68,4.15,3.77,0.00,0.00,0
358,1,2.02,18.95,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,0.02,-0.01,4.12,3.69,4.17,3.79,0.00,0.00,0
378,1,2.45,19.50,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.13,3.70,4.18,3.80,0.00,0.00,0
398,1,2.87,19.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.15,3.72,4.20,3.81,0.00,0.00,0
419,1,3.29,20.24,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.16,3.73,4.21,3.83,0.00,0.00,0
438,1,3.73,20.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.18,3.74,4.22,3.84,0.00,0.00,0
458,1,4.20,21.67,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.19,3.75,4.24,3.86,0.00,0.00,0
478,1,4.67,22.37,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.20,3.77,4.25,3.87,0.00,0.00,0
498,1,5.16,22.89,0.00,0.00,0.00,0.0000,0.0000,0.0000,-5.63,1.50,-0.01,-0.01,4.22,3.78,4.27,3.88,0.00,0.00,0
