# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_early_frac_rate=0.1500
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# arm_sp_track_rate=0.1500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,arm_sp_frac,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,0.15,-0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.03,-0.02,3.90,3.56,3.92,3.57,0.00,0.00,0
40,1,0.15,-0.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.03,-0.02,3.90,3.56,3.93,3.58,0.00,0.00,0
61,1,0.15,-0.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.03,-0.02,3.91,3.56,3.95,3.60,0.00,0.00,0
81,1,0.15,0.02,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.03,-0.02,3.92,3.57,3.96,3.61,0.00,0.00,0
100,1,0.20,0.57,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.03,-0.04,3.93,3.58,3.97,3.63,0.00,0.00,0
120,1,0.27,1.71,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,3.94,3.59,3.99,3.64,0.00,0.00,0
141,1,0.38,2.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,3.96,3.60,4.00,3.65,0.00,0.00,0
161,1,0.49,3.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,3.97,3.61,4.02,3.67,0.00,0.00,0
180,1,0.60,4.16,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,3.98,3.62,4.03,3.68,0.00,0.00,0
201,1,0.73,4.88,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,4.00,3.63,4.04,3.70,0.00,0.00,0
220,1,0.87,5.44,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,4.01,3.64,4.06,3.71,0.00,0.00,0
241,1,1.07,6.83,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,-0.04,4.02,3.65,4.07,3.72,0.00,0.00,0
260,1,1.35,9.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.00,4.04,3.66,4.09,3.74,0.00,0.00,0
281,1,1.74,12.32,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.05,3.67,4.10,3.75,0.00,0.00,0
300,1,2.21,15.56,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.06,3.68,4.11,3.77,0.00,0.00,0
321,1,2.65,17.65,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.08,3.69,4.13,3.78,0.00,0.00,0
340,1,3.09,18.74,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.09,3.71,4.14,3.79,0.00,0.00,0
361,1,3.53,19.64,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.11,3.72,4.16,3.81,0.00,0.00,0
379,1,3.98,20.57,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.12,3.73,4.17,3.82,0.00,0.00,0
401,1,4.45,21.42,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.00,4.13,3.74,4.18,3.84,0.00,0.00,0
420,1,4.93,22.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.03,0.02,4.15,3.75,4.20,3.85,0.00,0.00,0
441,1,5.40,22.59,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.16,3.77,4.21,3.86,0.00,0.00,0
460,1,5.88,22.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.18,3.78,4.23,3.88,0.00,0.00,0
481,1,6.37,23.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.19,3.79,4.24,3.89,0.00,0.00,0
500,1,6.87,23.77,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.20,3.80,4.25,3.91,0.00,0.00,0
520,1,7.36,24.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.22,3.82,4.27,3.92,0.00,0.00,0
541,1,7.86,24.40,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.23,3.83,4.28,3.93,0.00,0.00,0
560,1,8.37,24.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.02,4.25,3.84,4.30,3.95,0.00,0.00,0
581,1,8.89,24.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.04,0.03,4.26,3.85,4.31,3.96,0.00,0.00,0
601,1,9.41,25.31,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.28,3.87,4.32,3.98,0.00,0.00,0
620,1,9.93,25.54,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.29,3.88,4.34,3.99,0.00,0.00,0
640,1,10.46,25.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.30,3.89,4.35,4.00,0.00,0.00,0
661,1,10.99,26.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.32,3.91,4.37,4.02,0.00,0.00,0
681,1,11.52,26.27,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.33,3.92,4.38,4.03,0.00,0.00,0
700,1,12.05,26.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.35,3.93,4.39,4.04,0.00,0.00,0
721,1,12.58,26.42,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.03,4.36,3.95,4.41,4.06,0.00,0.00,0
740,1,13.13,26.64,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.01,0.04,4.37,3.96,4.42,4.07,0.00,0.00,0
760,1,13.67,26.81,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.39,3.97,4.44,4.08,0.00,0.00,0
781,1,14.21,26.90,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.40,3.99,4.45,4.10,0.00,0.00,0
801,1,14.76,27.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.42,4.00,4.46,4.11,0.00,0.00,0
820,1,15.30,27.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.43,4.02,4.48,4.12,0.00,0.00,0
841,1,15.85,27.22,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.44,4.03,4.49,4.13,0.00,0.00,0
860,1,16.41,27.32,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.46,4.04,4.51,4.15,0.00,0.00,0
881,1,16.96,27.39,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,0.04,4.47,4.06,4.52,4.16,0.00,0.00,0
899,1,17.50,27.32,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.02,-0.00,4.49,4.07,4.53,4.17,0.00,0.00,0
921,1,18.06,27.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.50,4.08,4.55,4.18,0.00,0.00,0
940,1,18.63,27.74,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.52,4.10,4.56,4.19,0.00,0.00,0
961,1,19.19,27.74,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.53,4.11,4.58,4.21,0.00,0.00,0
980,1,19.76,28.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.54,4.13,4.59,4.22,0.00,0.00,0
1001,1,20.33,28.25,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.56,4.14,4.60,4.23,0.00,0.00,0
1019,1,20.91,28.37,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.57,4.15,4.62,4.24,0.00,0.00,0
1041,1,21.48,28.43,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.00,4.59,4.17,4.63,4.25,0.00,0.00,0
1060,1,22.07,28.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.00,-0.01,4.60,4.18,4.65,4.26,0.00,0.00,0
1081,1,22.65,28.67,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.61,4.20,4.66,4.27,0.00,0.00,0
1100,1,23.24,28.97,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.63,4.21,4.67,4.28,0.00,0.00,0
1121,1,23.83,29.12,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.64,4.22,4.69,4.29,0.00,0.00,0
1140,1,24.41,29.13,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.66,4.24,4.70,4.31,0.00,0.00,0
1160,1,25.00,29.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.67,4.25,4.72,4.32,0.00,0.00,0
1181,1,25.59,29.29,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.68,4.27,4.73,4.33,0.00,0.00,0
1201,1,26.18,29.31,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,-0.01,4.70,4.28,4.74,4.34,0.00,0.00,0
1220,1,26.77,29.30,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,-0.05,0.04,4.71,4.29,4.76,4.35,0.00,0.00,0
1241,1,27.36,29.48,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.73,4.31,4.77,4.36,0.00,0.00,0
1260,1,27.97,29.72,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.74,4.32,4.79,4.37,0.00,0.00,0
1280,1,28.56,29.81,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.75,4.34,4.80,4.38,0.00,0.00,0
1301,1,29.17,29.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.77,4.35,4.81,4.39,0.00,0.00,0
1320,1,29.76,29.76,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.78,4.36,4.83,4.40,0.00,0.00,0
1341,1,30.31,28.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,-134.06,-126.92,0.02,0.04,4.80,4.37,4.84,4.41,0.00,0.00,0
