# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0500
# arm_bal_ki=0.0250
# arm_bal_kd=0.0150
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9800
# vel_trim_gain=0.1000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=92.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=2.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=5.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,0.32,-0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,-0.01,-0.00,3.91,3.51,3.92,3.52,0.00,0.00,0
40,1,0.32,-0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,-0.01,-0.00,3.91,3.51,3.94,3.54,0.00,0.00,0
61,1,0.32,-0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,-0.01,-0.01,3.91,3.52,3.95,3.55,0.00,0.00,0
80,1,0.33,-0.09,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.92,3.53,3.97,3.57,0.00,0.00,0
100,1,0.33,-0.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.94,3.54,3.98,3.58,0.00,0.00,0
121,1,0.34,0.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.95,3.55,3.99,3.59,0.00,0.00,0
141,1,0.35,0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.96,3.56,4.01,3.61,0.00,0.00,0
160,1,0.36,0.33,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.98,3.57,4.02,3.62,0.00,0.00,0
181,1,0.41,0.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,3.99,3.58,4.04,3.64,0.00,0.00,0
200,1,0.49,2.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,-0.01,4.00,3.59,4.05,3.65,0.00,0.00,0
220,1,0.58,2.77,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.01,0.01,4.02,3.60,4.06,3.66,0.00,0.00,0
241,1,0.69,3.59,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.03,3.61,4.08,3.68,0.00,0.00,0
261,1,0.81,4.27,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.04,3.62,4.09,3.69,0.00,0.00,0
280,1,0.93,4.86,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.06,3.63,4.11,3.71,0.00,0.00,0
301,1,1.08,5.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.07,3.64,4.12,3.72,0.00,0.00,0
320,1,1.33,7.77,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.09,3.65,4.13,3.73,0.00,0.00,0
341,1,1.68,10.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.10,3.66,4.15,3.75,0.00,0.00,0
359,1,2.12,14.22,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.15,0.03,0.01,4.11,3.67,4.16,3.76,0.00,0.00,0
381,1,2.58,16.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.03,-0.01,4.13,3.68,4.18,3.78,0.00,0.00,0
400,1,3.05,18.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.14,3.70,4.19,3.79,0.00,0.00,0
421,1,3.49,19.49,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.15,3.71,4.20,3.80,0.00,0.00,0
440,1,3.91,19.77,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.17,3.72,4.22,3.82,0.00,0.00,0
461,1,4.33,20.16,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.18,3.73,4.23,3.83,0.00,0.00,0
479,1,4.77,20.72,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.20,3.74,4.25,3.85,0.00,0.00,0
501,1,5.22,21.34,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.21,3.75,4.26,3.86,0.00,0.00,0
520,1,5.69,22.02,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.01,4.23,3.77,4.27,3.87,0.00,0.00,0
541,1,6.18,22.68,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.02,-0.00,4.24,3.78,4.29,3.89,0.00,0.00,0
560,1,6.67,23.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.25,3.79,4.30,3.90,0.00,0.00,0
581,1,7.17,23.60,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.27,3.80,4.32,3.92,0.00,0.00,0
599,1,7.66,23.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.28,3.82,4.33,3.93,0.00,0.00,0
621,1,8.15,24.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.29,3.83,4.34,3.94,0.00,0.00,0
640,1,8.65,24.32,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.31,3.84,4.36,3.96,0.00,0.00,0
661,1,9.16,24.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.32,3.86,4.37,3.97,0.00,0.00,0
680,1,9.67,24.84,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,-0.00,4.34,3.87,4.39,3.98,0.00,0.00,0
701,1,10.18,25.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,-0.03,0.01,4.35,3.88,4.40,4.00,0.00,0.00,0
720,1,10.71,25.43,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.02,0.01,4.37,3.90,4.41,4.01,0.00,0.00,0
740,1,11.24,25.75,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.02,0.01,4.38,3.91,4.43,4.02,0.00,0.00,0
761,1,11.77,25.88,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.02,0.01,4.39,3.92,4.44,4.04,0.00,0.00,0
781,1,12.29,25.95,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.02,0.01,4.41,3.94,4.46,4.05,0.00,0.00,0
800,1,12.82,26.13,0.00,0.00,0.00,0.0000,0.0000,0.0000,-155.86,-149.14,0.02,0.01,4.42,3.95,4.47,4.06,0.00,0.00,0
