0.04 Nm | tmp=28.0C | err=0x00
# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0300
# arm_bal_ki=0.0200
# arm_bal_kd=0.0050
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.8000
# arm_bal_motor_speed=3.00
# arm_bal_vel_deadband=0.10
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.1000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-0.74,-0.02,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,-0.03,0.00,3.93,3.53,3.94,3.54,0.00,0.00,0
40,1,-0.75,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,-0.03,0.00,3.93,3.53,3.95,3.56,0.00,0.00,0
61,1,-0.74,-0.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,-0.03,0.00,3.93,3.54,3.97,3.57,0.00,0.00,0
80,1,-0.74,0.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,-0.03,0.00,3.94,3.55,3.98,3.59,0.00,0.00,0
101,1,-0.72,0.32,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,-0.03,0.04,3.95,3.56,4.00,3.60,0.00,0.00,0
120,1,-0.69,0.58,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,0.05,0.04,3.96,3.57,4.01,3.61,0.00,0.00,0
141,1,-0.61,1.53,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,0.05,0.04,3.98,3.58,4.02,3.63,0.00,0.00,0
159,1,-0.55,2.25,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,0.05,0.04,3.99,3.59,4.04,3.64,0.00,0.00,0
181,1,-0.44,2.95,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,0.05,0.04,4.00,3.60,4.05,3.66,0.00,0.00,0
200,1,-0.37,3.38,0.00,0.00,0.00,0.0000,0.0000,0.0000,-1.05,5.19,0.05,0.04,4.02,3.61,4.07,3.67,0.00,0.00,0
