# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_bal_kp=0.0250
# arm_bal_ki=0.0200
# arm_bal_kd=0.0000
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.5000
# arm_bal_motor_speed=2.00
# arm_bal_vel_deadband=0.10
# arm_bal_integral_max=0.25
# arm_bal_decay=0.9950
# vel_trim_gain=0.2500
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.50
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,arm_bal_integ,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-0.91,-0.14,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.74,0.03,0.03,3.90,3.56,3.92,3.57,0.00,0.00,0
41,1,-0.91,-0.11,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.74,0.03,0.03,3.90,3.56,3.93,3.59,0.00,0.00,0
60,1,-0.91,-0.12,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.74,0.03,0.03,3.91,3.56,3.94,3.60,0.00,0.00,0
81,1,-0.90,0.06,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.74,0.03,0.03,3.92,3.57,3.96,3.61,0.00,0.00,0
100,1,-0.87,0.53,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.74,0.03,0.03,3.93,3.58,3.97,3.63,0.00,0.00,0
121,1,-0.78,1.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.03,0.06,3.94,3.59,3.99,3.64,0.00,0.00,0
139,1,-0.69,2.82,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,3.95,3.60,4.00,3.66,0.00,0.00,0
161,1,-0.52,3.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,3.97,3.61,4.01,3.67,0.00,0.00,0
181,1,-0.43,4.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,3.98,3.62,4.03,3.68,0.00,0.00,0
201,1,-0.27,5.20,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,3.99,3.63,4.04,3.70,0.00,0.00,0
220,1,-0.11,6.26,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,4.01,3.64,4.06,3.71,0.00,0.00,0
241,1,0.24,9.21,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,4.02,3.65,4.07,3.73,0.00,0.00,0
259,1,0.52,11.37,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.06,4.04,3.66,4.08,3.74,0.00,0.00,0
281,1,1.06,15.16,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,0.00,0.03,4.05,3.67,4.10,3.75,0.00,0.00,0
300,1,1.42,16.97,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.06,3.69,4.11,3.77,0.00,0.00,0
321,1,1.97,18.70,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.07,3.70,4.13,3.78,0.00,0.00,0
340,1,2.27,19.04,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.09,3.71,4.14,3.80,0.00,0.00,0
361,1,2.78,19.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.10,3.72,4.15,3.81,0.00,0.00,0
381,1,3.20,20.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.12,3.73,4.17,3.82,0.00,0.00,0
399,1,3.52,20.55,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.13,3.74,4.18,3.84,0.00,0.00,0
422,1,4.10,21.46,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,0.03,4.14,3.75,4.20,3.85,0.00,0.00,0
440,1,4.45,22.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.04,-0.01,4.16,3.77,4.21,3.87,0.00,0.00,0
461,1,5.05,22.81,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.00,-0.01,4.17,3.78,4.22,3.88,0.00,0.00,0
481,1,5.55,23.39,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.00,-0.01,4.19,3.79,4.24,3.89,0.00,0.00,0
500,1,5.92,23.63,0.00,0.00,0.00,0.0000,0.0000,0.0000,-261.21,-254.73,-0.00,-0.01,4.20,3.81,4.25,3.91,0.00,0.00,0
