# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# vel_trim_gate=2.00
# vel_trim_stuck_rate=0.50
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
19,1,-2.65,-0.05,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.01,3.92,3.55,3.93,3.57,0.00,0.00,0
40,1,-2.65,-0.10,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,-0.02,3.92,3.55,3.95,3.58,0.00,0.00,0
59,1,-2.66,-0.14,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.93,3.56,3.96,3.60,0.00,0.00,0
79,1,-2.65,-0.08,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.94,3.57,3.98,3.61,0.00,0.00,0
100,1,-2.62,0.47,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.95,3.58,3.99,3.62,0.00,0.00,0
119,1,-2.54,1.62,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.96,3.59,4.00,3.64,0.00,0.00,0
140,1,-2.43,2.69,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.97,3.60,4.02,3.65,0.00,0.00,0
159,1,-2.31,3.47,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,3.99,3.61,4.03,3.67,0.00,0.00,0
180,1,-2.19,4.13,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,-0.02,4.00,3.62,4.05,3.68,0.00,0.00,0
198,1,-2.06,4.82,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.04,0.01,4.01,3.63,4.06,3.69,0.00,0.00,0
220,1,-1.91,5.55,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.02,3.64,4.07,3.71,0.00,0.00,0
239,1,-1.71,6.90,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.04,3.65,4.09,3.72,0.00,0.00,0
260,1,-1.42,9.41,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.05,3.66,4.10,3.74,0.00,0.00,0
279,1,-1.00,12.91,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.07,3.67,4.12,3.75,0.00,0.00,0
300,1,-0.53,16.06,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.08,3.68,4.13,3.76,0.00,0.00,0
318,1,-0.06,18.34,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.10,3.69,4.14,3.78,0.00,0.00,0
340,1,0.39,19.54,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,0.01,4.11,3.71,4.16,3.79,0.00,0.00,0
360,1,0.83,20.06,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.02,-0.00,4.12,3.72,4.17,3.81,0.00,0.00,0
379,1,1.26,20.52,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.14,3.73,4.19,3.82,0.00,0.00,0
399,1,1.69,20.97,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.15,3.74,4.20,3.83,0.00,0.00,0
420,1,2.14,21.41,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.17,3.75,4.21,3.85,0.00,0.00,0
438,1,2.61,21.99,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.18,3.77,4.23,3.86,0.00,0.00,0
460,1,3.09,22.65,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.19,3.78,4.24,3.88,0.00,0.00,0
479,1,3.58,23.19,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.21,3.79,4.26,3.89,0.00,0.00,0
500,1,4.07,23.63,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.00,4.22,3.80,4.27,3.90,0.00,0.00,0
519,1,4.58,24.06,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,0.00,4.24,3.82,4.28,3.92,0.00,0.00,0
540,1,5.08,24.31,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.25,3.83,4.30,3.93,0.00,0.00,0
560,1,5.58,24.53,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.26,3.84,4.31,3.95,0.00,0.00,0
578,1,6.08,24.75,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.28,3.86,4.33,3.96,0.00,0.00,0
600,1,6.60,24.99,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.29,3.87,4.34,3.97,0.00,0.00,0
620,1,7.10,25.11,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.31,3.88,4.35,3.99,0.00,0.00,0
639,1,7.63,25.48,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.32,3.90,4.37,4.00,0.00,0.00,0
660,1,8.15,25.82,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,0.00,4.33,3.91,4.38,4.02,0.00,0.00,0
679,1,8.69,26.10,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,0.01,-0.04,4.35,3.92,4.40,4.03,0.00,0.00,0
699,1,9.23,26.37,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.04,4.36,3.94,4.41,4.04,0.00,0.00,0
720,1,9.78,26.68,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.04,4.38,3.95,4.42,4.06,0.00,0.00,0
740,1,10.33,26.81,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.04,4.39,3.96,4.44,4.07,0.00,0.00,0
760,1,10.87,26.89,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.04,4.41,3.98,4.45,4.08,0.00,0.00,0
780,1,11.42,27.02,0.00,0.00,0.00,0.0000,0.0000,-158.70,-153.14,-0.01,-0.04,4.42,3.99,4.47,4.09,0.00,0.00,0
