# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=2.00
# vel_trim_filter=0.0500
# vel_trim_gate=2.00
# vel_trim_cmd_gain=0.0500
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=2500
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-2.72,-0.14,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,-0.04,3.99,3.48,4.00,3.50,0.00,0.00,0
39,1,-2.72,-0.13,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,-0.04,3.99,3.48,4.02,3.51,0.00,0.00,0
59,1,-2.72,-0.12,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,-0.04,3.99,3.49,4.03,3.53,0.00,0.00,0
79,1,-2.72,-0.11,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.00,3.50,4.04,3.54,0.00,0.00,0
99,1,-2.72,-0.10,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.01,3.51,4.06,3.55,0.00,0.00,0
120,1,-2.71,-0.02,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.03,3.52,4.07,3.57,0.00,0.00,0
139,1,-2.70,0.07,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.04,3.54,4.09,3.58,0.00,0.00,0
159,1,-2.69,0.19,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.05,3.55,4.10,3.60,0.00,0.00,0
179,1,-2.67,0.20,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.07,3.56,4.11,3.61,0.00,0.00,0
199,1,-2.64,0.46,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.08,3.57,4.13,3.62,0.00,0.00,0
220,1,-2.55,1.51,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.61,-0.01,0.01,4.09,3.58,4.14,3.64,0.00,0.00,0
240,1,-2.43,2.50,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,-0.01,0.11,4.11,3.59,4.16,3.65,0.00,0.00,0
259,1,-2.27,3.60,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.12,3.60,4.17,3.67,0.00,0.00,0
279,1,-2.11,4.32,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.13,3.61,4.18,3.68,0.00,0.00,0
299,1,-1.98,4.59,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.15,3.62,4.20,3.69,0.00,0.00,0
319,1,-1.83,5.10,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.16,3.63,4.21,3.71,0.00,0.00,0
339,1,-1.54,7.02,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.18,3.64,4.23,3.72,0.00,0.00,0
359,1,-1.16,9.60,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.19,3.65,4.24,3.74,0.00,0.00,0
379,1,-0.65,13.27,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.11,4.20,3.66,4.25,3.75,0.00,0.00,0
399,1,-0.15,15.89,0.00,0.00,0.00,0.0000,0.0000,-164.17,-158.60,0.13,0.01,4.22,3.67,4.27,3.76,0.00,0.00,0
419,1,0.31,17.70,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.23,3.68,4.28,3.78,0.00,0.00,0
440,1,0.73,18.63,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.24,3.69,4.30,3.79,0.00,0.00,0
458,1,1.10,18.92,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.26,3.71,4.31,3.81,0.00,0.00,0
480,1,1.46,19.29,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.27,3.72,4.32,3.82,0.00,0.00,0
499,1,1.83,20.00,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.29,3.73,4.34,3.83,0.00,0.00,0
519,1,2.27,21.24,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.30,3.74,4.35,3.85,0.00,0.00,0
540,1,2.77,22.79,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.01,4.31,3.75,4.37,3.86,0.00,0.00,0
560,1,3.23,23.59,0.00,0.00,0.00,0.0000,0.0000,-164.15,-158.60,0.08,0.00,4.33,3.77,4.38,3.88,0.00,0.00,0
579,1,3.60,23.51,0.00,0.00,0.00,0.0000,0.0000,-164.14,-158.60,-0.04,0.00,4.34,3.78,4.39,3.89,0.00,0.00,0
599,1,3.93,23.18,0.00,0.00,0.00,0.0000,0.0000,-164.14,-158.60,-0.04,0.00,4.35,3.79,4.41,3.90,0.00,0.00,0
619,1,4.24,22.88,0.00,0.00,0.00,0.0000,0.0000,-164.14,-158.60,-0.04,0.00,4.37,3.80,4.42,3.92,0.00,0.00,0
640,1,4.56,22.58,0.00,0.00,0.00,0.0000,0.0000,-164.14,-158.60,-0.04,0.00,4.38,3.82,4.44,3.93,0.00,0.00,0
