# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# vel_trim_drift_gain=0.0050
# dither_amplitude=0.20
# dither_freq=0.30
# vel_trim_drift_gain=0.0050
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=5.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-4.40,-0.10,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.91,3.55,3.93,3.56,0.00,0.00,0
40,1,-4.40,-0.10,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.91,3.55,3.94,3.58,0.00,0.00,0
61,1,-4.40,-0.13,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.92,3.55,3.96,3.59,0.00,0.00,0
80,1,-4.40,-0.10,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.93,3.56,3.97,3.60,0.00,0.00,0
101,1,-4.38,0.10,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.94,3.57,3.98,3.62,0.00,0.00,0
119,1,-4.32,0.97,0.00,0.00,0.00,0.0000,0.0000,19.46,24.93,-0.05,0.03,3.95,3.58,4.00,3.63,0.00,0.00,0
141,1,-4.21,2.12,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,-0.05,0.01,3.97,3.59,4.01,3.65,0.00,0.00,0
161,1,-4.13,2.82,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,3.98,3.60,4.03,3.66,0.00,0.00,0
181,1,-4.02,3.55,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,3.99,3.61,4.04,3.67,0.00,0.00,0
200,1,-3.90,4.09,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,4.01,3.62,4.05,3.69,0.00,0.00,0
221,1,-3.77,4.87,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,4.02,3.63,4.07,3.70,0.00,0.00,0
239,1,-3.56,6.50,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,4.04,3.64,4.08,3.72,0.00,0.00,0
261,1,-3.25,9.21,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,4.05,3.65,4.10,3.73,0.00,0.00,0
280,1,-2.85,12.66,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,0.01,4.06,3.66,4.11,3.74,0.00,0.00,0
301,1,-2.43,15.41,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.02,-0.04,4.08,3.67,4.12,3.76,0.00,0.00,0
320,1,-2.00,17.25,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.00,-0.04,4.09,3.68,4.14,3.77,0.00,0.00,0
341,1,-1.57,18.43,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.00,-0.04,4.10,3.69,4.15,3.79,0.00,0.00,0
361,1,-1.15,19.03,0.00,0.00,0.00,0.0000,0.0000,19.46,24.94,0.00,-0.04,4.12,3.71,4.17,3.80,0.00,0.00,0
