0.50 Nm | tmp=28.0C | err=0x00
# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# vel_trim_drift_gain=0.0200
# dither_amplitude=0.20
# dither_freq=0.30
# vel_trim_drift_gain=0.0200
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=5.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-4.66,-0.18,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.88,3.58,3.90,3.59,0.00,0.00,0
40,1,-4.66,-0.20,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.88,3.58,3.91,3.61,0.00,0.00,0
61,1,-4.66,-0.24,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.89,3.58,3.93,3.62,0.00,0.00,0
80,1,-4.66,-0.17,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.90,3.59,3.94,3.63,0.00,0.00,0
101,1,-4.59,1.06,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.91,3.60,3.95,3.65,0.00,0.00,0
120,1,-4.48,2.47,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.05,3.92,3.61,3.97,3.66,0.00,0.00,0
141,1,-4.38,3.16,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.01,0.01,3.93,3.62,3.98,3.68,0.00,0.00,0
160,1,-4.26,3.86,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,3.95,3.63,4.00,3.69,0.00,0.00,0
181,1,-4.14,4.45,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,3.96,3.64,4.01,3.70,0.00,0.00,0
200,1,-4.02,4.90,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,3.97,3.65,4.02,3.72,0.00,0.00,0
220,1,-3.85,6.05,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,3.99,3.66,4.04,3.73,0.00,0.00,0
241,1,-3.51,9.41,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,4.00,3.67,4.05,3.75,0.00,0.00,0
261,1,-3.10,12.83,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,4.01,3.68,4.07,3.76,0.00,0.00,0
280,1,-2.63,15.99,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.01,4.03,3.69,4.08,3.77,0.00,0.00,0
301,1,-2.18,17.83,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,0.05,0.00,4.04,3.70,4.09,3.79,0.00,0.00,0
320,1,-1.77,18.60,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.02,0.00,4.06,3.71,4.11,3.80,0.00,0.00,0
340,1,-1.35,19.22,0.00,0.00,0.00,0.0000,0.0000,-20.35,-14.87,-0.02,0.00,4.07,3.72,4.12,3.82,0.00,0.00,0
