# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# pos_return_kp=0.0800
# pos_return_ki=0.0100
# pos_return_kd=0.0200
# pos_return_max=1.50
# dither_amplitude=0.50
# dither_freq=0.50
# stuck_cmd_threshold=2.00
# stuck_vel_threshold=0.50
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=5.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-4.66,-0.08,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.90,3.54,3.91,3.55,0.00,0.00,0
39,1,-4.66,-0.06,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.90,3.54,3.93,3.56,0.00,0.00,0
59,1,-4.66,-0.05,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.90,3.54,3.94,3.58,0.00,0.00,0
78,1,-4.65,0.05,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.91,3.55,3.96,3.59,0.00,0.00,0
101,1,-4.66,-0.10,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.92,3.56,3.97,3.61,0.00,0.00,0
119,1,-4.65,-0.07,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.05,3.94,3.57,3.98,3.62,0.00,0.00,0
139,1,-4.64,0.10,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.04,-0.08,3.95,3.58,4.00,3.63,0.00,0.00,0
159,1,-4.55,1.42,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,3.96,3.59,4.01,3.65,0.00,0.00,0
179,1,-4.45,2.50,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,3.98,3.60,4.03,3.66,0.00,0.00,0
200,1,-4.35,3.10,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,3.99,3.61,4.04,3.68,0.00,0.00,0
219,1,-4.25,3.69,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,4.00,3.62,4.05,3.69,0.00,0.00,0
239,1,-4.10,4.63,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,4.02,3.63,4.07,3.70,0.00,0.00,0
259,1,-3.93,5.83,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,4.03,3.64,4.08,3.72,0.00,0.00,0
279,1,-3.68,8.04,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.73,0.02,-0.08,4.04,3.65,4.10,3.73,0.00,0.00,0
300,1,-3.35,10.81,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.03,4.06,3.66,4.11,3.75,0.00,0.00,0
319,1,-2.89,14.30,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.07,3.67,4.12,3.76,0.00,0.00,0
339,1,-2.43,16.86,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.08,3.68,4.14,3.77,0.00,0.00,0
359,1,-1.97,18.40,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.10,3.69,4.15,3.79,0.00,0.00,0
379,1,-1.55,19.05,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.11,3.70,4.17,3.80,0.00,0.00,0
400,1,-1.14,19.36,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.13,3.72,4.18,3.82,0.00,0.00,0
419,1,-0.73,19.86,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.14,3.73,4.19,3.83,0.00,0.00,0
439,1,-0.27,20.72,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.15,3.74,4.21,3.84,0.00,0.00,0
459,1,0.18,21.31,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.17,3.75,4.22,3.86,0.00,0.00,0
479,1,0.66,22.23,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.18,3.76,4.24,3.87,0.00,0.00,0
500,1,1.15,22.91,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.19,3.78,4.25,3.89,0.00,0.00,0
519,1,1.64,23.41,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.21,3.79,4.26,3.90,0.00,0.00,0
539,1,2.13,23.73,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.22,3.80,4.28,3.91,0.00,0.00,0
559,1,2.62,24.06,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.23,3.82,4.29,3.93,0.00,0.00,0
579,1,3.11,24.20,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.25,3.83,4.31,3.94,0.00,0.00,0
598,1,3.61,24.39,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.03,4.26,3.84,4.32,3.96,0.00,0.00,0
621,1,4.12,24.81,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,4.28,3.85,4.33,3.97,0.00,0.00,0
639,1,4.64,25.21,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.29,3.87,4.35,3.98,0.00,0.00,0
659,1,5.15,25.30,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.30,3.88,4.36,4.00,0.00,0.00,0
679,1,5.67,25.55,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.32,3.89,4.38,4.01,0.00,0.00,0
700,1,6.19,25.76,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.33,3.91,4.39,4.03,0.00,0.00,0
719,1,6.72,25.98,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.35,3.92,4.40,4.04,0.00,0.00,0
739,1,7.25,26.16,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.36,3.93,4.42,4.05,0.00,0.00,0
759,1,7.78,26.43,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.00,4.37,3.95,4.43,4.07,0.00,0.00,0
779,1,8.32,26.59,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.01,4.39,3.96,4.45,4.08,0.00,0.00,0
799,1,8.86,26.67,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.40,3.97,4.46,4.09,0.00,0.00,0
820,1,9.40,26.78,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.42,3.99,4.47,4.11,0.00,0.00,0
839,1,9.94,26.82,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.43,4.00,4.49,4.12,0.00,0.00,0
859,1,10.48,26.92,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.45,4.01,4.50,4.13,0.00,0.00,0
879,1,11.04,27.22,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.46,4.03,4.52,4.15,0.00,0.00,0
899,1,11.60,27.48,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.47,4.04,4.53,4.16,0.00,0.00,0
920,1,12.15,27.45,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,0.01,4.49,4.06,4.54,4.17,0.00,0.00,0
939,1,12.71,27.62,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.02,-0.01,4.50,4.07,4.56,4.19,0.00,0.00,0
959,1,13.28,27.86,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.52,4.08,4.57,4.20,0.00,0.00,0
979,1,13.85,27.93,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.53,4.10,4.59,4.21,0.00,0.00,0
999,1,14.42,28.08,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.54,4.11,4.60,4.22,0.00,0.00,0
1020,1,14.98,28.17,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.56,4.13,4.61,4.23,0.00,0.00,0
1039,1,15.55,28.21,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.57,4.14,4.63,4.25,0.00,0.00,0
1059,1,16.12,28.32,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.59,4.15,4.64,4.26,0.00,0.00,0
1079,1,16.70,28.50,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.01,4.60,4.17,4.66,4.27,0.00,0.00,0
1099,1,17.27,28.53,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.02,4.61,4.18,4.67,4.28,0.00,0.00,0
1120,1,17.85,28.59,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.63,4.19,4.68,4.29,0.00,0.00,0
1139,1,18.42,28.67,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.64,4.21,4.70,4.30,0.00,0.00,0
1159,1,19.00,28.57,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.66,4.22,4.71,4.32,0.00,0.00,0
1179,1,19.56,28.48,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.67,4.24,4.73,4.33,0.00,0.00,0
1199,1,20.14,28.62,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.68,4.25,4.74,4.34,0.00,0.00,0
1220,1,20.72,28.74,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.70,4.27,4.75,4.35,0.00,0.00,0
1239,1,21.30,28.67,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,-0.02,4.71,4.28,4.77,4.36,0.00,0.00,0
1259,1,21.88,28.79,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.03,0.03,4.73,4.29,4.78,4.37,0.00,0.00,0
1279,1,22.47,29.03,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.74,4.31,4.80,4.38,0.00,0.00,0
1299,1,23.06,29.19,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.75,4.32,4.81,4.39,0.00,0.00,0
1320,1,23.66,29.38,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.77,4.34,4.82,4.40,0.00,0.00,0
1339,1,24.25,29.51,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.78,4.35,4.84,4.41,0.00,0.00,0
1359,1,24.86,29.58,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.80,4.36,4.85,4.42,0.00,0.00,0
1379,1,25.46,29.72,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.81,4.38,4.87,4.43,0.00,0.00,0
1399,1,26.07,29.76,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,0.03,4.82,4.39,4.88,4.44,0.00,0.00,0
1420,1,26.67,29.74,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.84,4.41,4.89,4.45,0.00,0.00,0
1439,1,27.27,29.71,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.85,4.42,4.91,4.46,0.00,0.00,0
1459,1,27.87,29.88,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.87,4.43,4.92,4.47,0.00,0.00,0
1479,1,28.47,29.86,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.88,4.45,4.94,4.48,0.00,0.00,0
1499,1,29.05,29.40,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.90,4.46,4.95,4.49,0.00,0.00,0
1520,1,29.59,28.33,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.91,4.47,4.96,4.50,0.00,0.00,0
1539,1,30.08,26.89,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.92,4.48,4.98,4.51,0.00,0.00,0
1559,1,30.50,24.69,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.02,4.94,4.49,4.99,4.52,0.00,0.00,0
1579,1,30.89,22.94,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.01,-0.00,4.95,4.50,5.01,4.53,0.00,0.00,0
1599,1,31.24,21.39,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,4.97,4.51,5.02,4.54,0.00,0.00,0
1619,1,31.61,20.45,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,4.98,4.52,5.03,4.55,0.00,0.00,0
1639,1,32.02,20.72,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,4.99,4.53,5.05,4.56,0.00,0.00,0
1659,1,32.44,20.95,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,5.01,4.54,5.06,4.57,0.00,0.00,0
1679,1,32.87,20.98,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,5.02,4.55,5.08,4.58,0.00,0.00,0
1699,1,33.30,20.84,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,5.04,4.56,5.09,4.58,0.00,0.00,0
1720,1,33.72,20.68,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,-0.00,5.05,4.57,5.10,4.59,0.00,0.00,0
1739,1,34.12,20.30,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,-0.02,0.00,5.06,4.57,5.12,4.60,0.00,0.00,0
1759,1,34.50,19.86,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.08,4.58,5.13,4.61,0.00,0.00,0
1779,1,34.87,19.42,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.09,4.59,5.15,4.62,0.00,0.00,0
1799,1,35.25,19.17,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.11,4.60,5.16,4.63,0.00,0.00,0
1820,1,35.62,19.07,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.12,4.61,5.17,4.64,0.00,0.00,0
1839,1,36.02,19.29,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.14,4.62,5.19,4.64,0.00,0.00,0
1860,1,36.41,19.22,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.15,4.63,5.20,4.65,0.00,0.00,0
1879,1,36.78,18.80,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.00,5.16,4.63,5.21,4.66,0.00,0.00,0
1899,1,37.14,18.51,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.18,4.64,5.23,4.67,0.00,0.00,0
1920,1,37.51,18.36,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.19,4.65,5.24,4.68,0.00,0.00,0
1939,1,37.87,18.23,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.20,4.66,5.25,4.68,0.00,0.00,0
1959,1,38.24,18.29,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.22,4.67,5.27,4.69,0.00,0.00,0
1979,1,38.61,18.27,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.23,4.67,5.28,4.70,0.00,0.00,0
1999,1,38.97,18.02,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.24,4.68,5.29,4.71,0.00,0.00,0
2020,1,39.32,17.71,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.26,4.69,5.30,4.71,0.00,0.00,0
2039,1,39.68,17.80,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,0.02,5.27,4.70,5.32,4.72,0.00,0.00,0
2059,1,40.03,17.72,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.04,-0.00,5.28,4.71,5.33,4.73,0.00,0.00,0
2079,1,40.39,17.62,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.29,4.71,5.34,4.74,0.00,0.00,0
2099,1,40.74,17.43,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.31,4.72,5.35,4.74,0.00,0.00,0
2120,1,41.07,17.20,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.32,4.73,5.37,4.75,0.00,0.00,0
2139,1,41.40,16.88,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.33,4.73,5.38,4.76,0.00,0.00,0
2159,1,41.73,16.78,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.34,4.74,5.39,4.77,0.00,0.00,0
2179,1,42.07,16.80,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.36,4.75,5.40,4.77,0.00,0.00,0
2199,1,42.42,16.95,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,-0.00,5.37,4.76,5.41,4.78,0.00,0.00,0
2220,1,42.76,16.94,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.06,0.00,5.38,4.76,5.42,4.79,0.00,0.00,0
2239,1,43.10,16.71,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.00,0.00,5.39,4.77,5.44,4.79,0.00,0.00,0
2259,1,43.43,16.43,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.00,0.00,5.40,4.78,5.45,4.80,0.00,0.00,0
2279,1,43.75,16.29,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.00,0.00,5.41,4.78,5.46,4.81,0.00,0.00,0
2299,1,44.07,16.10,0.00,0.00,0.00,0.0000,0.0000,-29.21,-23.72,0.00,0.00,5.43,4.79,5.47,4.81,0.00,0.00,0
