# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=0.2000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# odo_kp=0.3000
# odo_kd=0.1000
# odo_max_vel=2.00
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=5.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-1.72,-0.05,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.01,-0.02,3.93,3.54,3.94,3.55,0.00,0.00,0
40,1,-1.72,-0.07,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.01,-0.02,3.93,3.54,3.95,3.57,0.00,0.00,0
60,1,-1.72,0.01,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.01,-0.02,3.93,3.55,3.97,3.58,0.00,0.00,0
81,1,-1.72,0.02,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.01,0.02,3.94,3.56,3.98,3.60,0.00,0.00,0
100,1,-1.72,-0.03,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,3.95,3.57,4.00,3.61,0.00,0.00,0
121,1,-1.72,0.02,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,3.97,3.58,4.01,3.62,0.00,0.00,0
140,1,-1.69,0.43,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,3.98,3.59,4.02,3.64,0.00,0.00,0
161,1,-1.60,1.74,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,3.99,3.59,4.04,3.65,0.00,0.00,0
180,1,-1.49,2.90,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,4.00,3.61,4.05,3.67,0.00,0.00,0
201,1,-1.38,3.55,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,4.02,3.62,4.07,3.68,0.00,0.00,0
220,1,-1.28,3.96,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,0.02,4.03,3.63,4.08,3.69,0.00,0.00,0
241,1,-1.15,4.71,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.05,-0.05,4.04,3.63,4.09,3.71,0.00,0.00,0
260,1,-1.01,5.45,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.06,3.64,4.11,3.72,0.00,0.00,0
281,1,-0.74,7.62,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.07,3.65,4.12,3.74,0.00,0.00,0
301,1,-0.41,10.46,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.09,3.67,4.14,3.75,0.00,0.00,0
319,1,0.03,14.15,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.10,3.68,4.15,3.76,0.00,0.00,0
341,1,0.49,16.99,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.11,3.69,4.16,3.78,0.00,0.00,0
360,1,0.96,18.63,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.13,3.70,4.18,3.79,0.00,0.00,0
381,1,1.40,19.51,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,-0.05,4.14,3.71,4.19,3.81,0.00,0.00,0
400,1,1.82,20.03,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.00,0.03,4.16,3.72,4.21,3.82,0.00,0.00,0
421,1,2.24,20.36,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.17,3.73,4.22,3.83,0.00,0.00,0
439,1,2.68,20.90,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.19,3.75,4.23,3.85,0.00,0.00,0
461,1,3.12,21.40,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.20,3.76,4.25,3.86,0.00,0.00,0
480,1,3.58,21.94,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.21,3.77,4.26,3.88,0.00,0.00,0
501,1,4.06,22.56,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.23,3.78,4.28,3.89,0.00,0.00,0
520,1,4.55,23.26,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.24,3.80,4.29,3.90,0.00,0.00,0
541,1,5.04,23.69,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,0.03,4.25,3.81,4.30,3.92,0.00,0.00,0
559,1,5.54,23.98,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.02,-0.07,4.27,3.82,4.32,3.93,0.00,0.00,0
581,1,6.03,24.25,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.28,3.83,4.33,3.95,0.00,0.00,0
600,1,6.53,24.55,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.30,3.85,4.35,3.96,0.00,0.00,0
621,1,7.05,24.87,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.31,3.86,4.36,3.97,0.00,0.00,0
640,1,7.55,25.04,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.33,3.87,4.37,3.99,0.00,0.00,0
661,1,8.07,25.36,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.34,3.89,4.39,4.00,0.00,0.00,0
680,1,8.59,25.50,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.35,3.90,4.40,4.01,0.00,0.00,0
700,1,9.12,25.77,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.07,4.37,3.91,4.42,4.03,0.00,0.00,0
721,1,9.65,26.01,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.38,3.93,4.43,4.04,0.00,0.00,0
740,1,10.18,26.12,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.40,3.94,4.44,4.05,0.00,0.00,0
761,1,10.72,26.31,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.41,3.95,4.46,4.07,0.00,0.00,0
781,1,11.25,26.52,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.42,3.97,4.47,4.08,0.00,0.00,0
800,1,11.80,26.65,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.44,3.98,4.49,4.09,0.00,0.00,0
820,1,12.33,26.63,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.45,3.99,4.50,4.10,0.00,0.00,0
841,1,12.87,26.77,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.47,4.01,4.51,4.12,0.00,0.00,0
860,1,13.41,26.94,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.02,4.48,4.02,4.53,4.13,0.00,0.00,0
881,1,13.98,27.31,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,-0.03,-0.01,4.49,4.03,4.54,4.14,0.00,0.00,0
901,1,14.53,27.47,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.06,-0.01,4.51,4.05,4.56,4.15,0.00,0.00,0
920,1,15.09,27.63,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.06,-0.01,4.52,4.06,4.57,4.16,0.00,0.00,0
941,1,15.65,27.68,0.00,0.00,0.00,-0.1320,3.1055,59.00,63.54,0.06,-0.01,4.54,4.07,4.58,4.18,0.00,0.00,0
