0.63 Nm | tmp=30.0C | err=0x00
# === BALANCE CONFIG ===
# inner_kp=2.0000
# inner_kd=0.0800
# arm_vel_gain=0.0200
# arm_drift_gain=0.0300
# arm_bal_max_frac=0.2500
# arm_bal_frac_rate=0.3000
# arm_bal_motor_speed=2.00
# arm_bal_deadband=0.15
# vel_trim_gain=1.0000
# vel_trim_max=4.00
# vel_trim_filter=0.0500
# vel_trim_gate=3.00
# odo_kp=0.3000
# odo_kd=0.1000
# odo_max_vel=2.00
# arm_center_left=1.7683
# arm_center_right=-1.7671
# base_sp_fwd=91.00
# base_sp_tip=86.50
# base_sp_center=83.00
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=10.00
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,arm_bal_frac,vel_trim,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-1.50,-0.04,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.00,0.06,3.91,3.55,3.92,3.57,0.00,0.00,0
39,1,-1.51,-0.03,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.00,0.06,3.91,3.55,3.94,3.58,0.00,0.00,0
59,1,-1.51,-0.05,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.00,0.03,3.91,3.56,3.95,3.59,0.00,0.00,0
79,1,-1.52,-0.04,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.92,3.57,3.97,3.61,0.00,0.00,0
100,1,-1.51,0.20,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.93,3.57,3.98,3.62,0.00,0.00,0
119,1,-1.49,0.60,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.95,3.58,3.99,3.64,0.00,0.00,0
139,1,-1.40,1.90,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.96,3.59,4.01,3.65,0.00,0.00,0
159,1,-1.27,3.21,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.97,3.61,4.02,3.66,0.00,0.00,0
179,1,-1.17,3.83,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,3.99,3.62,4.04,3.68,0.00,0.00,0
199,1,-1.06,4.41,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.03,4.00,3.62,4.05,3.69,0.00,0.00,0
219,1,-0.93,5.06,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,-0.01,0.00,4.01,3.63,4.06,3.71,0.00,0.00,0
239,1,-0.77,5.92,0.00,0.00,0.00,-0.0791,4.0000,23.88,28.43,0.04,0.00,4.03,3.64,4.08,3.72,0.00,0.00,0
