# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=0.8000
# vel_sp_ki=0.0500
# sp_offset_max=4.00
# vel_filter_alpha=0.2000
# speed_acc_rad=100.00
# speed_current_limit=10.00
# sp_curve_0=0.00:91.50
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=91.50
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-0.95,-0.03,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.92,3.51,3.93,3.52,0.00,0.00,0
40,1,-0.95,-0.02,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.92,3.51,3.95,3.54,0.00,0.00,0
59,1,-0.96,-0.17,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.93,3.51,3.96,3.55,0.00,0.00,0
79,1,-0.96,-0.00,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.93,3.52,3.98,3.57,0.00,0.00,0
99,1,-0.94,0.19,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.95,3.54,3.99,3.58,0.00,0.00,0
120,1,-0.92,0.44,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.96,3.55,4.00,3.59,0.00,0.00,0
139,1,-0.90,0.66,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.03,3.97,3.56,4.02,3.61,0.00,0.00,0
159,1,-0.84,1.40,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.05,0.05,3.98,3.57,4.03,3.62,0.00,0.00,0
179,1,-0.72,2.96,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.00,3.58,4.05,3.64,0.00,0.00,0
199,1,-0.61,3.72,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.01,3.59,4.06,3.65,0.00,0.00,0
220,1,-0.49,4.22,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.02,3.60,4.07,3.66,0.00,0.00,0
239,1,-0.38,4.71,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.04,3.61,4.09,3.68,0.00,0.00,0
259,1,-0.26,5.17,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.05,3.62,4.10,3.69,0.00,0.00,0
279,1,-0.14,5.44,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.07,3.63,4.12,3.71,0.00,0.00,0
299,1,0.06,6.61,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.05,-0.04,0.05,4.08,3.64,4.13,3.72,0.00,0.00,0
320,1,0.30,8.30,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,-0.04,-0.02,4.09,3.65,4.14,3.73,0.00,0.00,0
339,1,0.70,11.72,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.11,3.66,4.16,3.75,0.00,0.00,0
359,1,1.13,14.64,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.12,3.67,4.17,3.76,0.00,0.00,0
379,1,1.57,16.96,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.14,3.68,4.19,3.78,0.00,0.00,0
399,1,2.00,18.37,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.15,3.69,4.20,3.79,0.00,0.00,0
420,1,2.39,18.84,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.16,3.70,4.21,3.80,0.00,0.00,0
439,1,2.78,19.22,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.18,3.72,4.23,3.82,0.00,0.00,0
459,1,3.21,19.78,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.02,4.19,3.73,4.24,3.83,0.00,0.00,0
479,1,3.66,20.62,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.02,-0.01,4.21,3.74,4.26,3.85,0.00,0.00,0
499,1,4.14,21.59,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.22,3.75,4.27,3.86,0.00,0.00,0
520,1,4.64,22.50,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.23,3.76,4.28,3.87,0.00,0.00,0
539,1,5.14,23.15,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.25,3.78,4.30,3.89,0.00,0.00,0
559,1,5.63,23.55,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.26,3.79,4.31,3.90,0.00,0.00,0
579,1,6.11,23.74,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.28,3.80,4.33,3.92,0.00,0.00,0
599,1,6.59,23.91,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.29,3.81,4.34,3.93,0.00,0.00,0
619,1,7.08,24.00,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.01,4.30,3.83,4.35,3.94,0.00,0.00,0
639,1,7.57,24.26,0.00,0.00,0.00,0.0000,0.0000,-5.15,7.06,0.00,-0.03,4.32,3.84,4.37,3.96,0.00,0.00,0
659,1,8.08,24.71,0.00,0.00,0.00,0.0000,0.0000,-5.14,7.06,0.02,-0.03,4.33,3.85,4.38,3.97,0.00,0.00,0
679,1,8.59,25.04,0.00,0.00,0.00,0.0000,0.0000,-5.14,7.06,0.02,-0.03,4.35,3.87,4.40,3.99,0.00,0.00,0
699,1,9.11,25.27,0.00,0.00,0.00,0.0000,0.0000,-5.14,7.06,0.02,-0.03,4.36,3.88,4.41,4.00,0.00,0.00,0
720,1,9.62,25.42,0.00,0.00,0.00,0.0000,0.0000,-5.14,7.06,0.02,-0.03,4.37,3.89,4.42,4.01,0.00,0.00,0
739,1,10.14,25.65,0.00,0.00,0.00,0.0000,0.0000,-5.14,7.06,0.02,-0.03,4.39,3.91,4.44,4.03,0.00,0.00,0
