# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=0.8000
# vel_sp_ki=0.1200
# sp_offset_max=4.00
# vel_filter_alpha=0.2000
# stored_trim=-1.7697
# glide_vel_err=0.40
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=10.00
# sp_curve_0=0.00:89.30
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=89.30
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=25.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
19,1,-1.80,-0.02,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.00,3.93,3.54,3.94,3.56,0.00,0.00,0
39,1,-1.80,-0.03,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.00,3.93,3.54,3.96,3.57,0.00,0.00,0
59,1,-1.80,0.05,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.00,3.93,3.55,3.97,3.59,0.00,0.00,0
79,1,-1.78,0.19,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.00,3.94,3.56,3.98,3.60,0.00,0.00,0
100,1,-1.76,0.46,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.00,3.95,3.57,4.00,3.61,0.00,0.00,0
120,1,-1.70,1.31,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,0.03,0.02,3.97,3.58,4.01,3.63,0.00,0.00,0
138,1,-1.59,2.67,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,-0.02,0.02,3.98,3.59,4.03,3.64,0.00,0.00,0
160,1,-1.47,3.54,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,-0.02,0.02,3.99,3.60,4.04,3.66,0.00,0.00,0
179,1,-1.33,4.28,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,-0.02,0.02,4.01,3.61,4.05,3.67,0.00,0.00,0
200,1,-1.20,4.86,0.00,0.00,0.00,0.0000,0.0000,38.02,80.10,-0.02,0.02,4.02,3.62,4.07,3.68,0.00,0.00,0
