# prof_imu_max_us=1396
# prof_ctl_max_us=5563958
# prof_disp_max_us=8299
# prof_ws_max_us=24
# prof_tel_max_us=227
# prof_loopgap_max_us=5571475
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=-1.3804
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:89.30
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=89.30
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-1.67,-0.05,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.03,-0.01,3.92,3.53,3.93,3.55,0.00,0.00,0
40,1,-1.67,-0.03,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.03,-0.01,3.92,3.53,3.95,3.56,0.00,0.00,0
60,1,-1.67,-0.05,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.03,-0.01,3.92,3.54,3.96,3.58,0.00,0.00,0
81,1,-1.65,0.15,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.03,0.05,3.93,3.55,3.97,3.59,0.00,0.00,0
100,1,-1.64,0.28,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,3.94,3.56,3.99,3.60,0.00,0.00,0
121,1,-1.61,0.55,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,3.96,3.57,4.00,3.62,0.00,0.00,0
140,1,-1.52,1.69,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,3.97,3.58,4.02,3.63,0.00,0.00,0
161,1,-1.42,2.94,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,3.98,3.59,4.03,3.65,0.00,0.00,0
181,1,-1.30,3.88,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,4.00,3.60,4.04,3.66,0.00,0.00,0
199,1,-1.20,4.40,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,4.01,3.61,4.06,3.67,0.00,0.00,0
221,1,-1.03,4.97,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,0.05,4.02,3.62,4.07,3.69,0.00,0.00,0
240,1,-0.90,5.32,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.04,-0.06,4.04,3.63,4.09,3.70,0.00,0.00,0
261,1,-0.74,6.06,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.05,3.64,4.10,3.72,0.00,0.00,0
280,1,-0.53,7.66,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.07,3.65,4.11,3.73,0.00,0.00,0
301,1,-0.21,10.33,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.08,3.66,4.13,3.74,0.00,0.00,0
319,1,0.11,12.88,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.09,3.67,4.14,3.76,0.00,0.00,0
341,1,0.69,16.63,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.11,3.68,4.16,3.77,0.00,0.00,0
360,1,1.12,18.48,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.12,3.69,4.17,3.79,0.00,0.00,0
381,1,1.55,19.44,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.06,4.13,3.71,4.18,3.80,0.00,0.00,0
400,1,1.97,19.94,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.09,-0.02,4.15,3.72,4.20,3.81,0.00,0.00,0
421,1,2.42,20.60,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.16,3.73,4.21,3.83,0.00,0.00,0
439,1,2.76,21.03,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.18,3.74,4.23,3.84,0.00,0.00,0
459,1,3.22,21.71,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.19,3.75,4.24,3.86,0.00,0.00,0
481,1,3.80,22.35,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.20,3.76,4.25,3.87,0.00,0.00,0
500,1,4.26,22.62,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.22,3.78,4.27,3.88,0.00,0.00,0
521,1,4.75,23.23,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.23,3.79,4.28,3.90,0.00,0.00,0
540,1,5.25,23.71,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.02,4.25,3.80,4.30,3.91,0.00,0.00,0
561,1,5.74,24.09,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,-0.01,4.26,3.82,4.31,3.93,0.00,0.00,0
580,1,6.24,24.38,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.27,3.83,4.32,3.94,0.00,0.00,0
601,1,6.75,24.74,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.29,3.84,4.34,3.95,0.00,0.00,0
620,1,7.26,24.90,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.30,3.86,4.35,3.97,0.00,0.00,0
641,1,7.76,25.09,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.32,3.87,4.37,3.98,0.00,0.00,0
660,1,8.27,25.11,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.33,3.88,4.38,4.00,0.00,0.00,0
681,1,8.79,25.42,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.34,3.89,4.39,4.01,0.00,0.00,0
699,1,9.19,25.71,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,-0.01,4.36,3.91,4.41,4.02,0.00,0.00,0
721,1,9.86,26.17,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.00,0.04,4.37,3.92,4.42,4.04,0.00,0.00,0
740,1,10.40,26.34,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.39,3.93,4.44,4.05,0.00,0.00,0
761,1,10.93,26.38,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.40,3.95,4.45,4.07,0.00,0.00,0
781,1,11.47,26.52,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.42,3.96,4.46,4.08,0.00,0.00,0
800,1,12.02,26.85,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.43,3.98,4.48,4.09,0.00,0.00,0
821,1,12.56,26.92,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.44,3.99,4.49,4.10,0.00,0.00,0
839,1,12.97,26.96,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.46,4.00,4.51,4.12,0.00,0.00,0
860,1,13.65,27.18,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,0.04,4.47,4.01,4.52,4.13,0.00,0.00,0
880,1,14.20,27.29,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,-0.01,-0.02,4.49,4.03,4.53,4.14,0.00,0.00,0
901,1,14.76,27.50,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.50,4.04,4.55,4.16,0.00,0.00,0
920,1,15.33,27.63,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.52,4.06,4.56,4.17,0.00,0.00,0
941,1,15.90,27.92,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.53,4.07,4.58,4.18,0.00,0.00,0
959,1,16.32,27.97,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.54,4.09,4.59,4.19,0.00,0.00,0
981,1,17.02,27.91,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.56,4.10,4.60,4.21,0.00,0.00,0
1000,1,17.57,27.84,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.57,4.11,4.62,4.22,0.00,0.00,0
1020,1,18.12,27.83,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,-0.02,4.58,4.13,4.63,4.23,0.00,0.00,0
1041,1,18.69,28.06,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.04,0.03,4.60,4.14,4.65,4.24,0.00,0.00,0
1060,1,19.27,28.32,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,0.03,4.61,4.15,4.66,4.25,0.00,0.00,0
1080,1,19.84,28.48,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,0.03,4.63,4.17,4.67,4.26,0.00,0.00,0
1100,1,20.43,28.64,0.00,0.00,0.00,0.0000,0.0000,23.51,30.57,0.00,0.03,4.64,4.18,4.69,4.28,0.00,0.00,0
