# prof_imu_max_us=1344
# prof_ctl_max_us=6573291
# prof_disp_max_us=7923
# prof_ws_max_us=40
# prof_tel_max_us=250
# prof_crsf_max_us=6546986
# prof_can_max_us=2575
# prof_bal_max_us=4363349
# prof_adrv_max_us=24371
# prof_loopgap_max_us=6582036
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=-0.7527
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:89.30
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=89.30
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-1.09,0.03,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.03,0.02,3.94,3.53,3.95,3.55,0.00,0.00,0
38,1,-1.09,0.02,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.03,0.02,3.94,3.53,3.96,3.56,0.00,0.00,0
60,1,-1.09,0.01,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,0.03,0.01,3.94,3.54,3.98,3.57,0.00,0.00,0
79,1,-1.08,0.17,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,3.95,3.55,3.99,3.59,0.00,0.00,0
99,1,-1.06,0.36,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,3.96,3.56,4.01,3.60,0.00,0.00,0
120,1,-1.01,1.00,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,3.97,3.57,4.02,3.62,0.00,0.00,0
139,1,-0.90,2.33,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,3.99,3.58,4.03,3.63,0.00,0.00,0
158,1,-0.78,3.56,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,4.00,3.59,4.05,3.64,0.00,0.00,0
180,1,-0.67,4.20,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,4.01,3.60,4.06,3.66,0.00,0.00,0
199,1,-0.54,4.74,0.00,0.00,0.00,0.0000,0.0000,30.16,37.28,-0.02,0.01,4.03,3.61,4.08,3.67,0.00,0.00,0
220,1,-0.43,5.05,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,-0.02,-0.00,4.04,3.62,4.09,3.69,0.00,0.00,0
239,1,-0.32,5.31,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.06,3.63,4.10,3.70,0.00,0.00,0
259,1,-0.19,5.72,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.07,3.64,4.12,3.71,0.00,0.00,0
279,1,-0.03,6.41,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.08,3.65,4.13,3.73,0.00,0.00,0
298,1,0.21,8.17,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.10,3.66,4.15,3.74,0.00,0.00,0
320,1,0.56,11.09,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.11,3.67,4.16,3.76,0.00,0.00,0
339,1,0.99,14.46,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.12,3.68,4.17,3.77,0.00,0.00,0
359,1,1.45,17.20,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.00,4.14,3.69,4.19,3.78,0.00,0.00,0
379,1,1.91,19.11,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.00,-0.04,4.15,3.70,4.20,3.80,0.00,0.00,0
399,1,2.38,20.21,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.02,-0.04,4.17,3.71,4.22,3.81,0.00,0.00,0
419,1,2.83,20.81,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.02,-0.04,4.18,3.73,4.23,3.83,0.00,0.00,0
439,1,3.26,21.09,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.02,-0.04,4.19,3.74,4.24,3.84,0.00,0.00,0
459,1,3.69,21.25,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.02,-0.04,4.21,3.75,4.26,3.85,0.00,0.00,0
479,1,4.12,21.42,0.00,0.00,0.00,0.0000,0.0000,30.16,37.29,0.02,-0.04,4.22,3.76,4.27,3.87,0.00,0.00,0
