0 Nm | tmp=25.0C | err=0x00
# prof_imu_max_us=1375
# prof_ctl_max_us=9885056
# prof_disp_max_us=8075
# prof_ws_max_us=60
# prof_tel_max_us=259
# prof_crsf_max_us=9884855
# prof_can_max_us=596
# prof_bal_max_us=5609865
# prof_adrv_max_us=1502
# prof_loopgap_max_us=9885125
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=-2.7791
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:89.30
# sp_curve_1=0.15:86.90
# sp_curve_2=0.50:87.30
# sp_curve_3=1.00:86.40
# base_sp_fwd=89.30
# base_sp_tip=86.40
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
18,1,-3.41,-0.05,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,-0.01,3.93,3.54,3.94,3.55,0.00,0.00,0
38,1,-3.40,-0.02,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,-0.01,3.93,3.54,3.96,3.56,0.00,0.00,0
58,1,-3.40,-0.05,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,-0.01,3.93,3.54,3.97,3.58,0.00,0.00,0
78,1,-3.39,0.16,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,-0.01,3.94,3.55,3.98,3.59,0.00,0.00,0
98,1,-3.37,0.41,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,-0.01,3.96,3.56,4.00,3.61,0.00,0.00,0
118,1,-3.29,1.38,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,0.02,0.00,3.97,3.57,4.01,3.62,0.00,0.00,0
138,1,-3.19,2.59,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,-0.02,0.00,3.98,3.58,4.03,3.63,0.00,0.00,0
159,1,-3.08,3.28,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,-0.02,0.00,3.99,3.59,4.04,3.65,0.00,0.00,0
178,1,-2.96,3.79,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,-0.02,0.00,4.01,3.60,4.05,3.66,0.00,0.00,0
198,1,-2.84,4.38,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,-0.02,0.00,4.02,3.61,4.07,3.68,0.00,0.00,0
218,1,-2.74,4.65,0.00,0.00,0.00,0.0000,0.0000,-3.08,5.31,-0.02,0.00,4.03,3.62,4.08,3.69,0.00,0.00,0
