# prof_imu_max_us=1257
# prof_ctl_max_us=2396497
# prof_disp_max_us=7929
# prof_ws_max_us=28
# prof_tel_max_us=261
# prof_crsf_max_us=1359932
# prof_can_max_us=609
# prof_bal_max_us=2388135
# prof_adrv_max_us=2120
# prof_loopgap_max_us=2396567
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=0.7189
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.15:81.60
# sp_curve_2=0.50:82.00
# sp_curve_3=1.00:81.10
# base_sp_fwd=84.00
# base_sp_tip=81.10
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
21,1,-6.36,-0.05,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.04,3.956,3.484,3.970,3.498,0.00,0.00,0
40,1,-6.36,-0.07,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.04,3.957,3.484,3.984,3.512,0.00,0.00,0
61,1,-6.36,-0.10,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.04,3.962,3.489,3.998,3.526,0.00,0.00,0
80,1,-6.36,-0.05,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.04,3.972,3.499,4.012,3.540,0.00,0.00,0
101,1,-6.37,-0.10,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.04,3.984,3.510,4.026,3.554,0.00,0.00,0
120,1,-6.37,-0.05,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.02,-0.03,3.998,3.523,4.040,3.568,0.00,0.00,0
141,1,-6.36,-0.03,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.010,3.535,4.054,3.582,0.00,0.00,0
160,1,-6.36,0.06,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.024,3.547,4.068,3.596,0.00,0.00,0
181,1,-6.35,0.17,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.037,3.558,4.082,3.610,0.00,0.00,0
199,1,-6.32,0.48,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.051,3.568,4.096,3.624,0.00,0.00,0
221,1,-6.24,1.48,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.064,3.578,4.110,3.638,0.00,0.00,0
240,1,-6.13,2.90,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.078,3.589,4.124,3.652,0.00,0.00,0
261,1,-6.01,3.67,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,-0.03,4.092,3.599,4.138,3.666,0.00,0.00,0
280,1,-5.90,4.20,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,0.02,0.02,4.106,3.610,4.152,3.680,0.00,0.00,0
301,1,-5.79,4.58,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.119,3.619,4.166,3.694,0.00,0.00,0
319,1,-5.65,5.11,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.134,3.630,4.180,3.708,0.00,0.00,0
341,1,-5.49,5.69,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.147,3.639,4.194,3.722,0.00,0.00,0
360,1,-5.33,6.47,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.161,3.649,4.208,3.736,0.00,0.00,0
381,1,-5.10,8.18,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.176,3.659,4.222,3.750,0.00,0.00,0
400,1,-4.72,11.46,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.189,3.670,4.236,3.764,0.00,0.00,0
421,1,-4.27,14.88,0.00,0.00,0.00,0.0000,0.0000,12.00,18.79,-0.00,0.02,4.203,3.681,4.250,3.778,0.00,0.00,0
440,1,-3.81,17.44,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.00,0.01,4.217,3.693,4.264,3.792,0.00,0.00,0
460,1,-3.33,19.17,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.231,3.704,4.278,3.806,0.00,0.00,0
481,1,-2.89,19.96,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.245,3.716,4.292,3.820,0.00,0.00,0
500,1,-2.46,20.26,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.259,3.728,4.306,3.834,0.00,0.00,0
521,1,-2.03,20.59,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.272,3.739,4.320,3.848,0.00,0.00,0
540,1,-1.59,21.03,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.287,3.752,4.334,3.862,0.00,0.00,0
561,1,-1.13,21.58,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.300,3.764,4.348,3.876,0.00,0.00,0
580,1,-0.67,22.22,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.01,4.316,3.777,4.362,3.890,0.00,0.00,0
601,1,-0.19,22.82,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,-0.02,0.02,4.329,3.788,4.376,3.904,0.00,0.00,0
620,1,0.31,23.44,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,0.00,0.02,4.343,3.802,4.390,3.918,0.00,0.00,0
641,1,0.79,23.75,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,0.00,0.02,4.357,3.814,4.404,3.932,0.00,0.00,0
661,1,1.29,24.08,0.00,0.00,0.00,0.0000,0.0000,12.00,18.80,0.00,0.02,4.372,3.827,4.418,3.946,0.00,0.00,0
