# prof_imu_max_us=1338
# prof_ctl_max_us=5333298
# prof_disp_max_us=7821
# prof_ws_max_us=41
# prof_tel_max_us=296
# prof_crsf_max_us=5299548
# prof_can_max_us=2494
# prof_bal_max_us=146071
# prof_adrv_max_us=24173
# prof_loopgap_max_us=5341793
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=1.7091
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:82.50
# sp_curve_2=1.00:81.10
# base_sp_fwd=84.00
# base_sp_tip=81.10
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
20,1,-6.07,0.08,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.00,3.905,3.555,3.919,3.569,0.00,0.00,0
40,1,-6.07,0.09,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.00,3.905,3.555,3.933,3.583,0.00,0.00,0
60,1,-6.06,0.07,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.00,3.910,3.561,3.947,3.597,0.00,0.00,0
81,1,-6.06,0.06,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.919,3.569,3.961,3.611,0.00,0.00,0
100,1,-6.02,0.63,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.930,3.580,3.975,3.625,0.00,0.00,0
120,1,-5.94,1.91,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.942,3.589,3.989,3.639,0.00,0.00,0
140,1,-5.83,2.95,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.956,3.600,4.003,3.653,0.00,0.00,0
160,1,-5.72,3.66,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.969,3.610,4.017,3.667,0.00,0.00,0
181,1,-5.57,4.42,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.982,3.620,4.031,3.681,0.00,0.00,0
201,1,-5.47,4.90,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,3.997,3.631,4.045,3.695,0.00,0.00,0
220,1,-5.34,5.41,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,0.02,4.010,3.640,4.059,3.709,0.00,0.00,0
240,1,-5.18,6.24,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.01,-0.00,4.023,3.650,4.073,3.723,0.00,0.00,0
260,1,-4.91,8.38,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.037,3.660,4.087,3.737,0.00,0.00,0
280,1,-4.54,11.61,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.051,3.670,4.101,3.751,0.00,0.00,0
300,1,-4.11,14.82,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.064,3.681,4.115,3.765,0.00,0.00,0
320,1,-3.65,17.37,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.078,3.693,4.129,3.779,0.00,0.00,0
340,1,-3.21,18.83,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.092,3.705,4.143,3.793,0.00,0.00,0
360,1,-2.78,19.79,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.105,3.717,4.157,3.807,0.00,0.00,0
381,1,-2.23,20.54,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,-0.00,4.119,3.728,4.171,3.821,0.00,0.00,0
400,1,-1.90,21.02,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.11,0.02,4.134,3.741,4.185,3.835,0.00,0.00,0
420,1,-1.44,21.57,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.147,3.753,4.199,3.849,0.00,0.00,0
440,1,-0.99,22.09,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.161,3.766,4.213,3.863,0.00,0.00,0
460,1,-0.51,22.63,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.176,3.777,4.227,3.877,0.00,0.00,0
481,1,0.11,23.50,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.189,3.790,4.241,3.891,0.00,0.00,0
500,1,0.48,23.82,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.204,3.804,4.255,3.905,0.00,0.00,0
520,1,0.97,24.06,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.217,3.815,4.269,3.919,0.00,0.00,0
539,1,1.46,24.28,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.232,3.828,4.283,3.933,0.00,0.00,0
560,1,1.95,24.54,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,0.03,0.02,4.245,3.841,4.297,3.947,0.00,0.00,0
581,1,2.59,24.97,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.260,3.854,4.311,3.961,0.00,0.00,0
601,1,2.97,25.24,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.274,3.868,4.325,3.975,0.00,0.00,0
620,1,3.49,25.44,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.287,3.880,4.339,3.989,0.00,0.00,0
640,1,4.00,25.61,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.301,3.894,4.353,4.003,0.00,0.00,0
660,1,4.53,25.84,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.315,3.907,4.367,4.017,0.00,0.00,0
681,1,5.19,26.14,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.329,3.920,4.381,4.031,0.00,0.00,0
700,1,5.59,26.27,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,0.02,4.343,3.934,4.395,4.045,0.00,0.00,0
720,1,6.11,26.25,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.07,-0.02,4.357,3.947,4.409,4.059,0.00,0.00,0
740,1,6.64,26.51,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.371,3.960,4.423,4.073,0.00,0.00,0
760,1,7.18,26.63,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.385,3.974,4.437,4.086,0.00,0.00,0
781,1,7.85,26.80,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.400,3.987,4.451,4.099,0.00,0.00,0
800,1,8.26,27.04,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.414,4.001,4.465,4.113,0.00,0.00,0
820,1,8.83,27.56,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.426,4.014,4.479,4.126,0.00,0.00,0
840,1,9.39,27.72,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.441,4.028,4.493,4.139,0.00,0.00,0
860,1,9.95,27.86,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.02,4.456,4.042,4.507,4.152,0.00,0.00,0
881,1,10.65,27.98,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.02,-0.04,4.469,4.056,4.521,4.164,0.00,0.00,0
900,1,11.07,27.97,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.04,-0.04,4.484,4.070,4.535,4.177,0.00,0.00,0
920,1,11.63,28.10,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.04,-0.04,4.497,4.083,4.549,4.189,0.00,0.00,0
940,1,12.19,28.14,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.04,-0.04,4.510,4.097,4.563,4.202,0.00,0.00,0
960,1,12.75,28.16,0.00,0.00,0.00,0.0000,0.0000,-12.32,-7.34,-0.04,-0.04,4.525,4.111,4.577,4.214,0.00,0.00,0
