# prof_imu_max_us=1825
# prof_ctl_max_us=24124081
# prof_disp_max_us=65978
# prof_ws_max_us=54
# prof_tel_max_us=310
# prof_crsf_max_us=21267715
# prof_can_max_us=2581
# prof_bal_max_us=2853804
# prof_adrv_max_us=1662
# prof_loopgap_max_us=21280268
# prof_ctlgap_max_us=24124173
# stall_events=15
# stall_0=t:44333,gap_us:538997,sentinel_us:10498,sec:none,state:0
# stall_1=t:45299,gap_us:945521,sentinel_us:10497,sec:none,state:0
# stall_2=t:60126,gap_us:106947,sentinel_us:10514,sec:bal,state:1
# stall_3=t:63988,gap_us:3861730,sentinel_us:10182,sec:none,state:1
# stall_4=t:96197,gap_us:432781,sentinel_us:10529,sec:none,state:2
# stall_5=t:120344,gap_us:24124173,sentinel_us:40726,sec:ctl,state:0
# stall_6=t:122673,gap_us:2329243,sentinel_us:10499,sec:none,state:0
# stall_7=t:43771,gap_us:182047,sentinel_us:10003,sec:none,state:0
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=3.4293
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_rate_max=3.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
3862,1,-2.95,0.06,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,0.05,3.919,3.537,3.933,3.551,0.00,0.00,0
3865,1,-2.95,0.06,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,-0.01,3.919,3.538,3.947,3.565,0.00,0.00,0
3892,1,-2.94,0.11,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,-0.01,3.919,3.538,3.961,3.579,0.00,0.00,0
3909,1,-2.93,0.22,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,-0.01,3.934,3.551,3.975,3.593,0.00,0.00,0
3932,1,-2.92,0.38,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,-0.01,3.945,3.560,3.989,3.607,0.00,0.00,0
3950,1,-2.90,0.62,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,-0.01,3.960,3.572,4.003,3.621,0.00,0.00,0
3971,1,-2.82,1.84,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,-0.02,0.08,3.971,3.582,4.017,3.635,0.00,0.00,0
3991,1,-2.70,2.98,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,3.985,3.593,4.031,3.649,0.00,0.00,0
4010,1,-2.57,3.70,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,3.998,3.603,4.045,3.663,0.00,0.00,0
4032,1,-2.46,4.30,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,4.011,3.613,4.059,3.677,0.00,0.00,0
4050,1,-2.35,4.83,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,4.025,3.623,4.073,3.691,0.00,0.00,0
4071,1,-2.21,5.38,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,4.039,3.632,4.087,3.705,0.00,0.00,0
4090,1,-2.03,6.56,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,4.052,3.643,4.101,3.719,0.00,0.00,0
4111,1,-1.76,8.74,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,0.08,4.066,3.652,4.115,3.733,0.00,0.00,0
4130,1,-1.37,12.00,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.01,4.081,3.664,4.129,3.747,0.00,0.00,0
4150,1,-0.93,15.03,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.094,3.675,4.143,3.761,0.00,0.00,0
4171,1,-0.48,17.31,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.107,3.685,4.157,3.775,0.00,0.00,0
4191,1,-0.07,18.35,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.122,3.697,4.171,3.789,0.00,0.00,0
4212,1,0.33,19.01,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.136,3.709,4.185,3.803,0.00,0.00,0
4230,1,0.74,19.59,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.150,3.721,4.199,3.817,0.00,0.00,0
4251,1,1.17,20.37,0.00,0.00,0.00,0.0000,0.0000,-1.05,6.00,0.03,-0.03,4.163,3.732,4.213,3.831,0.00,0.00,0
