# prof_imu_max_us=1770
# prof_ctl_max_us=11689551
# prof_disp_max_us=70476
# prof_ws_max_us=61
# prof_tel_max_us=315
# prof_crsf_max_us=11687910
# prof_can_max_us=569
# prof_bal_max_us=1177029
# prof_adrv_max_us=1652
# prof_loopgap_max_us=11744883
# prof_ctlgap_max_us=11690379
# stall_events=14
# stall_0=t:35342,gap_us:1186955,sentinel_us:40554,sec:bal,state:0
# stall_1=t:51600,gap_us:4569868,sentinel_us:10447,sec:none,state:0
# stall_2=t:55249,gap_us:3629391,sentinel_us:10499,sec:none,state:0
# stall_3=t:67416,gap_us:3546419,sentinel_us:10499,sec:none,state:0
# stall_4=t:76950,gap_us:1504870,sentinel_us:10502,sec:none,state:0
# stall_5=t:89185,gap_us:11690379,sentinel_us:10493,sec:none,state:0
# stall_6=t:22754,gap_us:2029530,sentinel_us:10486,sec:none,state:1
# stall_7=t:23130,gap_us:355507,sentinel_us:10489,sec:none,state:1
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=1.9272
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_rate_max=4.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=2.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
834,1,-2.55,-0.06,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.94,-0.02,-0.02,3.915,2.280,3.929,2.294,0.00,0.00,0
837,1,-2.55,-0.06,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.94,0.00,0.02,3.915,2.280,3.943,2.308,0.00,0.00,0
1242,1,-2.36,0.18,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.94,0.00,0.02,3.916,2.280,3.957,2.322,0.00,0.00,0
1245,1,-2.36,0.18,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.94,-0.01,0.00,3.944,2.306,3.971,2.336,0.00,0.00,0
1718,1,-2.09,0.24,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.94,-0.01,0.00,3.944,2.306,3.985,2.350,0.00,0.00,0
1721,1,-2.09,0.24,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.01,0.01,3.972,2.335,3.999,2.364,0.00,0.00,0
3768,1,-0.66,1.04,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.01,0.01,3.972,2.335,4.013,2.378,0.00,0.00,0
3770,1,-0.66,1.04,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,-0.00,4.000,2.364,4.027,2.392,0.00,0.00,0
4144,1,0.49,4.26,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.02,4.000,2.364,4.041,2.406,0.00,0.00,0
4146,1,0.50,4.26,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.029,2.391,4.055,2.420,0.00,0.00,0
4171,1,0.46,2.84,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.029,2.391,4.069,2.434,0.00,0.00,0
4191,1,0.62,5.06,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.043,2.403,4.083,2.448,0.00,0.00,0
4211,1,0.90,8.00,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.055,2.415,4.097,2.462,0.00,0.00,0
4231,1,1.24,11.18,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.067,2.428,4.111,2.476,0.00,0.00,0
4251,1,1.68,14.86,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.080,2.440,4.125,2.490,0.00,0.00,0
4270,1,2.17,18.38,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.05,4.093,2.454,4.139,2.504,0.00,0.00,0
4291,1,2.69,21.33,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.02,0.00,4.106,2.466,4.153,2.518,0.00,0.00,0
4311,1,3.19,23.18,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.05,0.00,4.120,2.480,4.167,2.532,0.00,0.00,0
4331,1,3.68,24.14,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.05,0.00,4.134,2.494,4.181,2.546,0.00,0.00,0
4351,1,4.16,24.51,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.05,0.00,4.148,2.507,4.195,2.560,0.00,0.00,0
4371,1,4.63,24.81,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.05,0.00,4.161,2.521,4.209,2.574,0.00,0.00,0
4390,1,5.12,25.13,0.00,0.00,0.00,0.0000,0.0000,-3.44,4.95,0.05,0.00,4.176,2.534,4.223,2.588,0.00,0.00,0
