# prof_imu_max_us=1716
# prof_ctl_max_us=31363350
# prof_disp_max_us=70231
# prof_ws_max_us=58
# prof_tel_max_us=234
# prof_crsf_max_us=31361689
# prof_can_max_us=693
# prof_bal_max_us=1156049
# prof_adrv_max_us=1767
# prof_loopgap_max_us=31505886
# prof_ctlgap_max_us=31364363
# stall_events=37
# stall_0=t:196494,gap_us:943210,sentinel_us:10491,sec:none,state:2
# stall_1=t:200831,gap_us:4316054,sentinel_us:44739,sec:none,state:0
# stall_2=t:208761,gap_us:7929387,sentinel_us:10104,sec:none,state:0
# stall_3=t:214143,gap_us:5318384,sentinel_us:10490,sec:none,state:0
# stall_4=t:245529,gap_us:31364363,sentinel_us:10488,sec:ctl,state:0
# stall_5=t:184349,gap_us:8648965,sentinel_us:10501,sec:none,state:1
# stall_6=t:194589,gap_us:213989,sentinel_us:10502,sec:none,state:2
# stall_7=t:195529,gap_us:918092,sentinel_us:10483,sec:none,state:2
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=0.8448
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_rate_max=4.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
905,1,-5.07,-0.00,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,0.03,0.02,3.928,3.531,3.941,3.545,0.00,0.00,0
908,1,-5.07,-0.00,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,0.01,0.01,3.927,3.531,3.955,3.559,0.00,0.00,0
1511,1,-5.01,-0.18,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,0.01,0.01,3.927,3.531,3.969,3.573,0.00,0.00,0
1513,1,-5.01,-0.18,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,0.02,0.00,3.955,3.559,3.983,3.587,0.00,0.00,0
4057,1,-3.70,0.79,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,0.02,0.00,3.955,3.559,3.997,3.601,0.00,0.00,0
4060,1,-3.70,0.79,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,-0.01,-0.04,3.983,3.587,4.011,3.615,0.00,0.00,0
15471,1,-0.62,2.62,0.00,0.00,0.00,0.0000,0.0000,26.52,28.09,-0.01,-0.03,3.983,3.587,4.025,3.629,0.00,0.00,0
15474,1,-0.62,2.62,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.011,3.615,4.039,3.643,0.00,0.00,0
15499,1,-0.71,1.61,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.011,3.615,4.053,3.657,0.00,0.00,0
15517,1,-0.65,3.10,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.025,3.628,4.067,3.671,0.00,0.00,0
15543,1,-0.59,4.53,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.037,3.639,4.081,3.685,0.00,0.00,0
15559,1,-0.52,5.01,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.053,3.654,4.095,3.699,0.00,0.00,0
15581,1,-0.37,6.04,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.063,3.663,4.109,3.713,0.00,0.00,0
15601,1,-0.16,7.99,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.00,-0.01,4.077,3.675,4.123,3.727,0.00,0.00,0
15621,1,0.15,11.43,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.00,-0.00,4.091,3.687,4.137,3.741,0.00,0.00,0
15641,1,0.57,15.35,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.00,4.104,3.699,4.151,3.755,0.00,0.00,0
15661,1,1.04,18.69,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.00,4.118,3.712,4.165,3.769,0.00,0.00,0
15681,1,1.50,21.00,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.00,4.132,3.725,4.179,3.783,0.00,0.00,0
15700,1,1.94,22.19,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.00,4.146,3.737,4.193,3.797,0.00,0.00,0
15722,1,2.37,22.85,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.00,4.159,3.750,4.207,3.811,0.00,0.00,0
15741,1,2.80,23.10,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.175,3.765,4.221,3.825,0.00,0.00,0
15761,1,3.24,23.68,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.187,3.777,4.235,3.839,0.00,0.00,0
15781,1,3.71,24.27,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.201,3.790,4.249,3.853,0.00,0.00,0
15801,1,4.19,24.91,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.215,3.802,4.263,3.867,0.00,0.00,0
15819,1,4.66,25.31,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.229,3.816,4.277,3.881,0.00,0.00,0
15841,1,5.13,25.60,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.242,3.828,4.291,3.895,0.00,0.00,0
15861,1,5.60,25.74,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.256,3.843,4.305,3.909,0.00,0.00,0
15881,1,6.08,25.90,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.271,3.856,4.319,3.923,0.00,0.00,0
15901,1,6.56,26.16,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.285,3.870,4.333,3.937,0.00,0.00,0
15921,1,7.04,26.27,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.01,4.299,3.883,4.347,3.951,0.00,0.00,0
15940,1,7.53,26.53,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,0.04,4.313,3.897,4.361,3.965,0.00,0.00,0
15961,1,8.02,26.73,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.02,0.04,4.326,3.909,4.375,3.979,0.00,0.00,0
15981,1,8.52,26.84,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.02,0.04,4.340,3.924,4.389,3.993,0.00,0.00,0
16001,1,9.01,26.81,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.05,0.01,4.355,3.938,4.403,4.007,0.00,0.00,0
16021,1,9.51,27.00,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.05,0.01,4.369,3.951,4.417,4.021,0.00,0.00,0
16041,1,10.02,27.27,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.05,0.01,4.383,3.965,4.431,4.035,0.00,0.00,0
16061,1,10.55,27.60,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.05,0.01,4.397,3.979,4.445,4.049,0.00,0.00,0
16079,1,11.07,27.76,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.05,0.01,4.412,3.992,4.459,4.062,0.00,0.00,0
16101,1,11.60,27.97,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.05,-0.03,4.424,4.005,4.473,4.075,0.00,0.00,0
16121,1,12.12,27.91,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.440,4.020,4.487,4.089,0.00,0.00,0
16141,1,12.65,28.06,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.453,4.034,4.501,4.102,0.00,0.00,0
16161,1,13.16,27.97,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.467,4.048,4.515,4.115,0.00,0.00,0
16181,1,13.68,27.97,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.481,4.061,4.529,4.128,0.00,0.00,0
16201,1,14.20,28.01,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.495,4.075,4.543,4.140,0.00,0.00,0
16220,1,14.73,28.12,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.509,4.089,4.557,4.153,0.00,0.00,0
16242,1,15.26,28.20,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.03,4.522,4.102,4.571,4.165,0.00,0.00,0
16261,1,15.80,28.32,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.539,4.118,4.585,4.178,0.00,0.00,0
16281,1,16.35,28.57,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.552,4.131,4.599,4.190,0.00,0.00,0
16301,1,16.90,28.71,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.565,4.145,4.613,4.202,0.00,0.00,0
16321,1,17.45,28.86,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.580,4.159,4.627,4.214,0.00,0.00,0
16341,1,18.00,28.92,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.594,4.173,4.641,4.226,0.00,0.00,0
16361,1,18.55,28.98,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.608,4.187,4.655,4.238,0.00,0.00,0
16381,1,19.09,28.85,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.623,4.201,4.669,4.250,0.00,0.00,0
16401,1,19.64,29.03,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.01,4.636,4.215,4.683,4.261,0.00,0.00,0
16421,1,20.19,28.99,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.01,-0.02,4.650,4.229,4.697,4.273,0.00,0.00,0
16441,1,20.74,29.07,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.03,-0.02,4.664,4.243,4.711,4.284,0.00,0.00,0
16460,1,21.28,28.98,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.03,-0.02,4.679,4.256,4.725,4.295,0.00,0.00,0
16481,1,21.81,28.62,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.03,-0.02,4.692,4.268,4.739,4.307,0.00,0.00,0
16501,1,22.30,27.86,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,0.03,-0.02,4.707,4.281,4.753,4.318,0.00,0.00,0
16521,1,22.77,26.81,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.00,-0.03,4.722,4.293,4.767,4.329,0.00,0.00,0
16541,1,23.21,25.85,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.00,-0.03,4.735,4.304,4.781,4.339,0.00,0.00,0
16561,1,23.65,24.98,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.00,-0.03,4.749,4.315,4.795,4.350,0.00,0.00,0
16581,1,24.08,24.39,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.00,0.05,4.763,4.326,4.809,4.361,0.00,0.00,0
16600,1,24.51,23.95,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.777,4.337,4.823,4.371,0.00,0.00,0
16621,1,24.95,23.73,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.789,4.348,4.837,4.382,0.00,0.00,0
16641,1,25.38,23.50,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.806,4.359,4.851,4.392,0.00,0.00,0
16661,1,25.82,23.42,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.819,4.369,4.865,4.402,0.00,0.00,0
16681,1,26.25,23.13,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.833,4.380,4.879,4.413,0.00,0.00,0
16701,1,26.67,22.79,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.848,4.390,4.893,4.423,0.00,0.00,0
16720,1,27.09,22.58,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,0.05,4.861,4.400,4.907,4.433,0.00,0.00,0
16742,1,27.51,22.41,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.03,-0.02,4.875,4.410,4.921,4.442,0.00,0.00,0
16761,1,27.94,22.45,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.04,-0.02,4.890,4.421,4.935,4.452,0.00,0.00,0
16781,1,28.36,22.27,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.904,4.431,4.949,4.462,0.00,0.00,0
16801,1,28.77,21.98,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.918,4.440,4.963,4.472,0.00,0.00,0
16821,1,29.16,21.54,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.932,4.450,4.977,4.481,0.00,0.00,0
16841,1,29.55,21.14,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.945,4.459,4.991,4.491,0.00,0.00,0
16860,1,29.94,20.97,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.960,4.470,5.005,4.500,0.00,0.00,0
16881,1,30.35,21.05,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.01,4.973,4.479,5.019,4.509,0.00,0.00,0
16901,1,30.75,21.08,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,-0.01,-0.03,4.989,4.489,5.033,4.518,0.00,0.00,0
16921,1,31.13,20.95,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.03,5.003,4.498,5.047,4.527,0.00,0.00,0
25587,1,57.88,21.12,0.00,0.00,0.00,0.0000,0.0000,26.53,28.10,0.01,-0.03,5.017,4.507,5.061,4.536,0.00,0.00,0
25590,1,57.87,21.12,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,0.07,5.053,4.527,5.075,4.545,0.00,0.00,0
25615,1,57.34,13.71,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,0.07,5.053,4.527,5.089,4.554,0.00,0.00,0
25637,1,56.95,10.63,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,0.07,5.068,4.534,5.103,4.563,0.00,0.00,0
25654,1,56.76,10.41,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,0.07,5.080,4.542,5.117,4.572,0.00,0.00,0
25676,1,56.60,12.11,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,0.07,5.092,4.549,5.131,4.580,0.00,0.00,0
25696,1,56.64,15.49,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.04,-0.06,5.105,4.558,5.145,4.589,0.00,0.00,0
25716,1,56.73,18.12,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.00,-0.06,5.120,4.568,5.159,4.597,0.00,0.00,0
25736,1,56.80,19.68,0.00,0.00,0.00,0.0000,0.0000,26.53,28.09,-0.00,-0.06,5.133,4.577,5.173,4.605,0.00,0.00,0
