# prof_imu_max_us=1796
# prof_ctl_max_us=5575098
# prof_disp_max_us=72358
# prof_ws_max_us=51
# prof_tel_max_us=692
# prof_crsf_max_us=1014507
# prof_can_max_us=658
# prof_bal_max_us=5566160
# prof_adrv_max_us=1491
# prof_loopgap_max_us=11343482
# prof_ctlgap_max_us=5576000
# stall_events=254
# stall_0=t:866384,gap_us:1009996,sentinel_us:10001,sec:none,state:0
# stall_1=t:867399,gap_us:1015069,sentinel_us:10001,sec:none,state:0
# stall_2=t:868407,gap_us:1007954,sentinel_us:10001,sec:none,state:0
# stall_3=t:869416,gap_us:1008996,sentinel_us:10002,sec:none,state:0
# stall_4=t:870427,gap_us:1011007,sentinel_us:10356,sec:none,state:0
# stall_5=t:870626,gap_us:198846,sentinel_us:10001,sec:none,state:0
# stall_6=t:864365,gap_us:1016010,sentinel_us:10001,sec:none,state:0
# stall_7=t:865374,gap_us:1008976,sentinel_us:10408,sec:none,state:0
# === BALANCE CONFIG ===
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# vel_filter_alpha=0.3500
# stored_trim=0.9672
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_rate_max=4.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_err=1.00
# capture_rate=4.00
# capture_cmd=1.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,sp_offset,target_vel,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r,arm_l_tgt,arm_r_tgt,meas_drift,meas_vel,flags
865,1,-8.73,0.61,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,0.04,-0.06,3.937,3.529,3.951,3.543,0.00,0.00,0
873,1,-8.74,0.54,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.02,-0.01,3.936,3.529,3.965,3.557,0.00,0.00,0
894,1,-8.68,0.37,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.02,-0.00,3.938,3.531,3.979,3.571,0.00,0.00,0
913,1,-8.63,0.29,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,3.950,3.542,3.993,3.585,0.00,0.00,0
934,1,-8.58,0.22,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,3.962,3.552,4.007,3.599,0.00,0.00,0
953,1,-8.53,0.23,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,3.974,3.563,4.021,3.613,0.00,0.00,0
974,1,-8.47,0.33,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,3.987,3.572,4.035,3.627,0.00,0.00,0
994,1,-8.37,1.44,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,4.001,3.583,4.049,3.641,0.00,0.00,0
1012,1,-8.19,2.76,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,4.015,3.593,4.063,3.655,0.00,0.00,0
1034,1,-8.04,3.18,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,4.026,3.602,4.077,3.669,0.00,0.00,0
1053,1,-7.91,3.64,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.04,-0.00,4.042,3.613,4.091,3.683,0.00,0.00,0
1074,1,-7.76,4.27,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.02,-0.00,4.054,3.622,4.105,3.697,0.00,0.00,0
1094,1,-7.60,4.72,0.00,0.00,0.00,0.0000,0.0000,52.33,53.95,-0.02,-0.00,4.068,3.633,4.119,3.711,0.00,0.00,0
