# profile_scope=balance_run
# profile_run_start_uptime_ms=31486
# prof_imu_max_us=969
# prof_ctl_max_us=1211819
# prof_disp_max_us=8742
# prof_ws_max_us=951
# prof_tel_max_us=1315
# prof_crsf_max_us=1210924
# prof_can_max_us=1067
# prof_bal_max_us=71880
# prof_adrv_max_us=1624
# prof_loopgap_max_us=7416496
# prof_ctlgap_max_us=1212030
# stall_events=15
# stall_0=t:7509,uptime_ms:38995,gap_us:1187031,sentinel_us:10003,sec:none,state:1
# stall_1=t:7855,uptime_ms:39341,gap_us:346156,sentinel_us:10002,sec:none,state:1
# stall_2=t:9058,uptime_ms:40544,gap_us:1180658,sentinel_us:10487,sec:none,state:1
# stall_3=t:10208,uptime_ms:41694,gap_us:1150212,sentinel_us:10386,sec:none,state:1
# stall_4=t:11313,uptime_ms:42799,gap_us:1104329,sentinel_us:10173,sec:none,state:1
# stall_5=t:12489,uptime_ms:43975,gap_us:1176867,sentinel_us:10003,sec:none,state:1
# stall_6=t:13642,uptime_ms:45128,gap_us:1152984,sentinel_us:10002,sec:none,state:1
# stall_7=t:14760,uptime_ms:46246,gap_us:1118027,sentinel_us:10002,sec:none,state:1
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=1
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=20
# checksum=0xCD4704EC
# checksum_valid=1
# build_date=Sep 13 2026
# build_time=23:05:27
# run_start_uptime_ms=31486
# run_end_uptime_ms=46762
# run_duration_ms=15276
# end_reason=tip-up timeout / arm tracking
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0500
# drift_max_vel=1.00
# ramp_drift_kp=0.0300
# ramp_drift_max_vel=0.60
# vel_sp_kp=2.2000
# vel_sp_kp_low=0.7000
# vel_sp_knee=0.8000
# vel_sp_ki=0.3500
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=1.0894
# glide_vel_err=0.80
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=2.00
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=1.40
# arm_assist_gain=0.40
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=8.00
# shed_vel_full=14.00
# transport_fnv1a=0x8B58E877
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
427,0,5378,86,0,1,0,0,0,-2.455,0.062,-2.356,0.122,0.9918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.904,-0.652,-0.025,0.009,-0.057,-0.014,508,0,3.939,3.538,3.953,3.552,-0.128,-0.053,-0.108,-0.064,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.27,5
429,2,0,0,0,1,0,0,0,-2.455,0.062,-2.356,0.122,0.9918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.904,-0.652,-0.013,0.019,-0.013,-0.023,0,0,3.939,3.538,3.967,3.566,0.036,-0.008,-0.020,-0.049,0.0002,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.28,0
1657,1228,5489,246,0,1,0,0,0,-2.425,0.009,-2.590,-0.061,0.9942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.904,-0.652,-0.013,0.019,-0.013,-0.023,1228,1228,3.939,3.538,3.981,3.580,0.044,-0.014,0.215,0.236,0.0002,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.21,9
2828,1171,5004,234,0,1,0,0,0,-2.404,0.021,-2.442,0.000,0.9912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.904,-0.652,0.021,-0.009,0.061,-0.016,1,1,3.968,3.566,3.995,3.594,0.027,-0.066,0.111,0.527,0.0122,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.12,0.21,9
4040,1212,5007,242,0,1,0,0,0,-2.342,-0.010,-2.574,0.000,0.9896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.903,-0.651,-0.034,-0.040,0.038,-0.046,1,0,3.982,3.580,4.009,3.608,0.135,0.015,0.034,0.733,0.0183,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,0.21,9
5147,1107,5004,222,0,1,0,0,0,-2.240,-0.023,-2.366,-0.183,0.9877,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.903,-0.650,-0.008,-0.005,0.085,-0.022,0,0,3.996,3.594,4.023,3.622,-0.037,-0.038,0.410,1.053,0.0242,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.03,5
5457,310,5005,62,0,1,0,0,0,-2.103,0.048,-2.415,0.000,0.9850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.902,-0.649,-0.004,-0.038,0.154,-0.053,1,1,4.010,3.608,4.037,3.636,-0.021,-0.013,0.312,1.158,0.0302,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.04,5
5459,2,0,0,0,1,0,0,0,-2.103,0.048,-2.415,0.000,0.9850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.901,-0.647,-0.021,0.028,0.140,-0.118,0,0,4.024,3.608,4.051,3.650,-0.090,-0.013,0.026,1.158,0.0333,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.04,0
6299,840,5489,168,0,1,0,0,0,-1.701,-0.094,-1.740,-0.061,0.9892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.901,-0.647,0.007,0.028,0.144,-0.118,0,840,4.024,3.622,4.065,3.664,-0.039,0.072,0.306,1.502,0.0364,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.03,10
6303,4,5004,1,0,1,0,0,0,-1.701,-0.094,-1.740,-0.061,0.9892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.900,-0.647,-0.005,-0.002,0.129,-0.093,0,0,4.052,3.650,4.079,3.678,0.072,-0.021,0.192,1.556,0.0484,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.39,1.10,5
