# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1164
# prof_ctl_max_us=625
# prof_disp_max_us=8853
# prof_ws_max_us=39
# prof_tel_max_us=318
# prof_crsf_max_us=382
# prof_can_max_us=359
# prof_bal_max_us=126
# prof_adrv_max_us=84
# prof_loopgap_max_us=44962
# prof_ctlgap_max_us=41268
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=7
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=1428
# checksum=0x1D0F7192
# checksum_valid=1
# build_date=Sep 14 2026
# build_time=22:11:28
# run_start_uptime_ms=9845
# run_end_uptime_ms=38676
# run_duration_ms=28831
# end_reason=arms disarmed
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.3112
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x6A821A10
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
2,0,0,0,0,1,0,0,0,-7.663,-0.020,-7.678,0.061,0.9942,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,0.021,-0.053,-0.003,0.019,97,1,3.932,3.533,3.946,3.547,0.004,0.014,0.005,0.002,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.39,0
25,23,5002,5,0,1,0,0,0,-7.659,0.012,-7.512,0.244,0.9954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,0.021,-0.053,-0.003,0.019,120,24,3.932,3.533,3.960,3.561,0.080,-0.073,-0.132,-0.128,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.39,4
50,25,5000,5,0,1,0,0,0,-7.658,0.046,-7.913,0.244,0.9950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,0.021,-0.053,-0.003,0.019,145,49,3.938,3.539,3.974,3.575,0.287,0.188,-0.140,0.149,0.0026,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
70,20,5002,4,0,1,0,0,0,-7.645,0.174,-7.352,0.183,0.9695,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,0.021,-0.053,-0.003,0.019,165,69,3.949,3.549,3.988,3.589,0.253,0.285,0.202,0.454,0.0070,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
90,20,5002,4,0,1,0,0,0,-7.632,0.368,-7.915,0.916,1.0110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,0.021,0.043,-0.003,0.008,185,15,3.959,3.559,4.002,3.603,0.331,0.399,0.392,0.567,0.0113,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
110,20,5002,4,0,1,0,0,0,-7.605,0.702,-7.577,1.404,0.9943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,15,35,3.971,3.568,4.016,3.617,0.420,0.497,0.253,0.821,0.0158,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
130,20,5002,4,0,1,0,0,0,-7.536,1.515,-7.929,4.456,1.0411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,35,55,3.984,3.579,4.030,3.631,0.690,0.552,-0.011,1.060,0.0209,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
150,20,5002,4,0,1,0,0,0,-7.422,2.871,-7.993,6.409,0.9832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,55,75,3.998,3.589,4.044,3.645,0.656,0.520,0.280,1.238,0.0259,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
170,20,5003,4,0,1,0,0,0,-7.313,3.516,-6.914,5.127,1.0019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,75,95,4.010,3.599,4.058,3.659,0.685,0.482,0.284,1.347,0.0307,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,4
190,20,5002,4,0,1,0,0,0,-7.191,4.252,-7.392,6.531,0.9944,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.728,9.687,-0.016,0.043,0.008,0.008,95,115,4.022,3.609,4.072,3.673,0.567,0.483,0.180,1.449,0.0354,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.56,0.42,5
