# profile_scope=balance_run
# profile_run_start_uptime_ms=378934
# prof_imu_max_us=1116
# prof_ctl_max_us=81524
# prof_disp_max_us=9740
# prof_ws_max_us=12
# prof_tel_max_us=223
# prof_crsf_max_us=537
# prof_can_max_us=296
# prof_bal_max_us=1195
# prof_adrv_max_us=1846
# prof_loopgap_max_us=13487
# prof_ctlgap_max_us=5390
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=31
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=2
# sample_size_bytes=220
# sample_count=1203
# checksum=0x29CB8EA4
# checksum_valid=1
# build_date=Sep 14 2026
# build_time=23:18:29
# run_start_uptime_ms=378934
# run_end_uptime_ms=403110
# run_duration_ms=24176
# end_reason=drive disarmed
# test_note=early-wheel-recovery-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.4380
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xA2EED9A2
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms
2,0,0,0,0,1,0,0,0,-1.870,0.028,-2.050,0.183,0.9898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,0.069,0.002,-0.027,0.036,97,1,3.938,3.536,3.953,3.550,-0.076,-0.019,-0.039,0.068,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.08,0
25,23,5004,5,0,1,0,0,0,-1.864,0.064,-1.793,0.549,0.9990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,0.069,0.002,-0.027,0.036,120,24,3.938,3.536,3.967,3.564,0.111,-0.020,-0.028,0.083,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.08,5
45,20,5002,4,0,1,0,0,0,-1.865,0.083,-1.949,0.244,0.9765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,0.069,0.002,-0.027,0.036,140,44,3.945,3.542,3.981,3.578,0.212,0.169,-0.010,0.298,0.0027,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
65,20,5004,4,0,1,0,0,0,-1.854,0.186,-1.746,0.305,0.9856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,0.069,0.002,-0.027,0.036,160,64,3.954,3.551,3.995,3.592,0.414,0.384,0.269,0.495,0.0065,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
85,20,5002,4,0,1,0,0,0,-1.837,0.388,-1.819,0.732,1.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,0.069,-0.008,-0.027,-0.014,180,16,3.965,3.560,4.009,3.606,0.456,0.407,0.283,0.682,0.0110,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
105,20,5004,4,0,1,0,0,0,-1.795,0.913,-1.952,2.380,1.0033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,16,36,3.977,3.570,4.023,3.620,0.459,0.504,0.171,0.875,0.0156,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
125,20,5002,4,0,1,0,0,0,-1.710,1.938,-1.988,5.005,1.0208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,36,56,3.990,3.580,4.037,3.634,0.832,0.486,0.021,1.081,0.0207,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
145,20,5004,4,0,1,0,0,0,-1.597,2.950,-1.322,5.310,0.9844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,56,76,4.003,3.591,4.051,3.648,0.683,0.469,0.327,1.308,0.0257,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
165,20,5002,4,0,1,0,0,0,-1.468,3.882,-1.175,6.348,0.9883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,76,96,4.016,3.601,4.065,3.662,0.614,0.497,0.195,1.376,0.0306,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.76,0.06,5
185,20,5003,4,0,1,0,0,0,-1.368,4.391,-0.702,6.104,0.9967,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.943,21.931,-0.065,-0.008,-0.001,-0.014,96,116,4.030,3.611,4.079,3.676,0.743,0.542,0.008,1.516,0.0356,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.72,0.06,5
