# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1127
# prof_ctl_max_us=749
# prof_disp_max_us=50598
# prof_ws_max_us=22
# prof_tel_max_us=317
# prof_crsf_max_us=503
# prof_can_max_us=361
# prof_bal_max_us=118
# prof_adrv_max_us=22
# prof_loopgap_max_us=53136
# prof_ctlgap_max_us=44494
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=127
# standing_drive=ch1_ch2_velocity_feedforward_v1
# standing_drive_limits=velocity_rad_s:1 turn_rad_s:0.5 accel:0.5 decel:0.75 turn_accel:0.75
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=3
# sample_size_bytes=236
# sample_count=2881
# checksum=0x90FA4B79
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=15:41:55
# run_start_uptime_ms=61344
# run_end_uptime_ms=118949
# run_duration_ms=57605
# end_reason=arms disarmed
# test_note=standing-drive-v1
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.5725
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xED14696F
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags
3,0,5003,1,0,1,0,0,0,-2.054,0.028,-1.853,0.061,0.9895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,100,2,3.930,3.537,3.944,3.551,-0.020,0.084,-0.090,-0.002,0.0001,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.44,5,0.0000,0.0000,0.0000,0
24,21,5000,4,0,1,0,0,0,-2.055,0.071,-2.253,0.549,1.0002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,121,23,3.930,3.537,3.958,3.565,-0.010,0.093,0.114,0.004,0.0002,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.44,5,0.0000,0.0000,0.0000,0
44,20,5004,4,0,1,0,0,0,-2.059,-0.054,-1.904,0.000,0.9924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,141,43,3.936,3.543,3.972,3.579,0.251,0.200,-0.031,0.348,0.0026,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.44,5,0.0000,0.0000,0.0000,0
64,20,5004,4,0,1,0,0,0,-2.044,0.177,-2.070,0.732,0.9802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,161,63,3.946,3.551,3.986,3.593,0.476,0.354,0.121,0.500,0.0065,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.44,5,0.0000,0.0000,0.0000,0
84,20,5004,4,0,1,0,0,0,-2.030,0.335,-2.137,0.732,1.0022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,181,83,3.958,3.561,4.000,3.607,0.404,0.384,0.254,0.794,0.0110,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
104,20,5004,4,0,1,0,0,0,-1.994,0.828,-2.399,2.319,1.0094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.098,0.063,0.014,201,103,3.969,3.571,4.014,3.621,0.539,0.478,0.300,0.981,0.0156,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,4,0.0000,0.0000,0.0000,0
124,20,5004,4,0,1,0,0,0,-1.916,1.903,-2.857,5.493,1.0287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.623,4.215,-0.034,-0.018,0.063,-0.004,221,16,3.982,3.581,4.028,3.635,0.649,0.446,-0.021,1.151,0.0205,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
144,20,5004,4,0,1,0,0,0,-1.787,3.179,-1.516,6.714,0.9878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,16,36,3.996,3.591,4.042,3.649,0.749,0.503,0.152,1.386,0.0256,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
164,20,5004,4,0,1,0,0,0,-1.675,3.829,-1.364,5.615,0.9847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,36,56,4.009,3.601,4.056,3.663,0.578,0.423,0.293,1.508,0.0305,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
184,20,5004,4,0,1,0,0,0,-1.529,4.705,-0.752,7.629,1.0237,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.622,4.215,-0.062,-0.018,0.010,-0.004,56,76,4.021,3.611,4.070,3.677,0.783,0.535,0.201,1.620,0.0354,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.21,0.61,5,0.0000,0.0000,0.0000,0
