# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1165
# prof_ctl_max_us=3085
# prof_disp_max_us=8395
# prof_ws_max_us=26
# prof_tel_max_us=360
# prof_crsf_max_us=113
# prof_can_max_us=2878
# prof_bal_max_us=53
# prof_adrv_max_us=0
# prof_loopgap_max_us=23167
# prof_ctlgap_max_us=10465
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=255
# standing_drive=ch1_ch2_velocity_response_v2
# standing_drive_limits=velocity_rad_s:2 turn_rad_s:1.5 accel:1.5 decel:2 turn_accel:3
# standing_drive_velocity_kp_low=1.0
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=3
# sample_size_bytes=236
# sample_count=1666
# checksum=0x298924B0
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=15:58:43
# run_start_uptime_ms=349973
# run_end_uptime_ms=383279
# run_duration_ms=33306
# end_reason=drive disarmed
# test_note=standing-drive-response-v2
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.8923
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x72A5CE52
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags
1,0,0,0,0,1,0,0,0,-2.802,0.005,-1.883,-0.122,0.9882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,97,0,3.930,3.540,3.944,3.554,-0.065,-0.050,0.061,0.041,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.31,0,0.0000,0.0000,0.0000,0
24,23,5002,5,0,1,0,0,0,-2.808,-0.034,-2.712,-0.183,0.9806,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,120,23,3.930,3.540,3.958,3.568,0.081,0.070,-0.099,0.046,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.31,5,0.0000,0.0000,0.0000,0
44,20,5004,4,0,1,0,0,0,-2.803,0.006,-2.570,-0.061,1.0023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,140,43,3.937,3.545,3.972,3.582,0.346,0.146,0.035,0.409,0.0027,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.31,5,0.0000,0.0000,0.0000,0
64,20,5004,4,0,1,0,0,0,-2.792,0.164,-2.862,0.366,0.9832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,160,63,3.946,3.554,3.986,3.596,0.361,0.327,0.128,0.581,0.0065,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.31,5,0.0000,0.0000,0.0000,0
85,21,5004,4,0,1,0,0,0,-2.770,0.440,-2.706,1.160,0.9986,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,181,84,3.957,3.563,4.000,3.610,0.435,0.440,0.231,0.810,0.0110,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
104,19,5002,4,0,1,0,0,0,-2.678,1.534,-1.738,5.737,1.0396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.119,0.008,-0.004,0.043,-0.005,200,103,3.970,3.573,4.014,3.624,0.484,0.437,0.283,1.092,0.0157,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
124,20,5004,4,0,1,0,0,0,-2.610,2.460,-4.399,5.737,0.9677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,0.008,0.109,0.043,-0.042,220,15,3.982,3.583,4.028,3.638,0.584,0.496,0.056,1.182,0.0205,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
144,20,5003,4,0,1,0,0,0,-2.511,3.265,-2.630,5.127,0.9845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,15,35,3.996,3.594,4.042,3.652,0.515,0.477,0.139,1.328,0.0257,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
164,20,5003,4,0,1,0,0,0,-2.399,3.868,-2.041,5.676,1.0076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,35,55,4.009,3.603,4.056,3.666,0.626,0.479,0.290,1.477,0.0305,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
185,21,5003,4,0,1,0,0,0,-2.247,4.822,-1.676,7.507,0.9939,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.948,6.121,-0.030,0.109,0.021,-0.042,56,76,4.022,3.613,4.070,3.680,0.543,0.454,0.188,1.519,0.0355,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.86,0.32,5,0.0000,0.0000,0.0000,0
