# profile_scope=live
# profile_run_start_uptime_ms=0
# prof_imu_max_us=1155
# prof_ctl_max_us=2973
# prof_disp_max_us=8720
# prof_ws_max_us=35
# prof_tel_max_us=294
# prof_crsf_max_us=507
# prof_can_max_us=2565
# prof_bal_max_us=108
# prof_adrv_max_us=83
# prof_loopgap_max_us=27792
# prof_ctlgap_max_us=23589
# stall_events=0
# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=511
# standing_drive=ch1_ch2_acceleration_arms_v3
# standing_drive_limits=velocity_rad_s:20 turn_rad_s:4.5 accel:12 decel:16 turn_accel:18
# standing_drive_acceleration=angle_k:8.8 rate_k:3.1 speed_k:3 speed_error_limit:8 accel_limit:100 handoff_rate:30
# standing_drive_learning=max_abs_velocity_error:1 velocity_p:0
# standing_drive_arms=gain:0.008333333 limit_fraction:0.1 tau_s:0.08 recovery_priority:1
# standing_drive_arm_error=measured_minus_projection_onto_zero_to_target_interval
# standing_drive_active_flag=16 includes_pd_handoff:1
# pilot_arm_units=planned_center_fraction_after_recovery_priority_before_output_filter
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=4
# sample_size_bytes=240
# sample_count=2381
# checksum=0x64EC16B9
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=18:42:41
# run_start_uptime_ms=338203
# run_end_uptime_ms=385808
# run_duration_ms=47605
# end_reason=bailout_angle_error
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.3265
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x58692019
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags,pilot_arm
1,0,0,0,0,1,0,0,0,-1.670,0.107,-1.913,0.122,0.9873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.834,-0.053,-0.095,-0.000,-0.010,97,1,3.927,3.536,3.941,3.550,-0.028,-0.024,-0.140,-0.066,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,0,0.0000,0.0000,0.0000,0,0.00000
24,23,5008,5,0,1,0,0,0,-1.665,0.153,-1.555,0.244,0.9810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.834,-0.053,-0.095,-0.000,-0.010,120,24,3.927,3.536,3.955,3.564,-0.038,0.013,0.206,-0.085,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,9,0.0000,0.0000,0.0000,0,0.00000
44,20,5016,4,0,1,0,0,0,-1.663,0.151,-1.658,0.061,0.9960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.834,-0.053,-0.095,-0.000,-0.010,140,44,3.933,3.541,3.969,3.578,0.102,0.195,0.101,0.293,0.0025,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
64,20,5016,4,0,1,0,0,0,-1.655,0.279,-1.931,0.549,0.9931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.834,-0.053,-0.095,-0.000,-0.010,160,64,3.943,3.550,3.983,3.592,0.440,0.390,0.181,0.512,0.0065,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
84,20,5016,4,0,1,0,0,0,-1.636,0.526,-1.536,1.038,0.9927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.834,-0.053,-0.095,-0.000,-0.010,180,84,3.955,3.559,3.997,3.606,0.637,0.485,0.188,0.662,0.0110,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
104,20,5016,4,0,1,0,0,0,-1.590,1.074,-1.771,2.625,1.0038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.230,32.835,-0.053,0.050,-0.000,-0.028,200,15,3.967,3.569,4.011,3.620,0.353,0.597,0.261,0.905,0.0158,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
124,20,5016,4,0,1,0,0,0,-1.499,2.202,-2.169,5.554,1.0261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,15,35,3.979,3.580,4.025,3.634,0.709,0.495,0.099,1.083,0.0206,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
144,20,5016,4,0,1,0,0,0,-1.380,3.302,-1.325,5.859,0.9718,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,35,55,3.993,3.590,4.039,3.648,0.657,0.572,0.118,1.250,0.0258,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
164,20,5016,4,0,1,0,0,0,-1.271,3.866,-1.203,5.432,1.0002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,55,75,4.007,3.600,4.053,3.662,0.589,0.524,0.232,1.388,0.0308,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
184,20,5016,4,0,1,0,0,0,-1.151,4.664,-2.160,6.958,0.9912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.231,32.835,0.100,0.050,-0.007,-0.028,75,95,4.020,3.610,4.067,3.676,0.654,0.460,0.216,1.528,0.0358,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,25.16,0.08,5,0.0000,0.0000,0.0000,0,0.00000
