# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=1023
# standing_drive=ch1_ch2_damped_acceleration_arms_v4
# standing_drive_limits=velocity_rad_s:20 turn_rad_s:4.5 accel:6 decel:8 turn_accel:18
# standing_drive_acceleration=angle_k:8.8 rate_k:1.5 speed_k:3 speed_error_limit:8 accel_limit:100 handoff_rate:30
# standing_drive_rate_filter=tau_s:0.006 fresh_sample_dt:1 stationary_filter_unchanged:1
# standing_drive_learning=max_abs_velocity_error:1 velocity_p:0
# standing_drive_arms=gain:0.008333333 limit_fraction:0.1 tau_s:0.08 recovery_priority:1
# standing_drive_arm_ordinary=scale:0.3 limit_fraction:0.12
# standing_drive_arm_emergency=headroom_rad_s:3 min_error_deg:2 outward_rate_dps:8 confirm_ms:60 severe_error_deg:8 severe_outward_rate_dps:20 requires_velocity_disturbance:1
# standing_drive_arm_error=measured_minus_projection_onto_zero_to_target_interval
# standing_drive_active_flag=16 includes_pd_handoff:1
# pilot_arm_units=planned_center_fraction_after_recovery_priority_before_output_filter
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=4
# sample_size_bytes=240
# sample_count=2981
# checksum=0xEAFD0F41
# checksum_valid=1
# build_date=Sep 19 2026
# build_time=22:16:44
# run_start_uptime_ms=45624
# run_end_uptime_ms=105235
# run_duration_ms=59611
# end_reason=drive disarmed
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=3.3265
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0xCB02414A
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags,pilot_arm
1,0,0,0,0,1,0,0,0,-3.046,-0.094,-3.082,-0.061,0.9950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.706,5.794,0.004,0.040,-0.039,0.004,97,1,3.918,3.536,3.932,3.550,-0.015,-0.039,0.072,0.019,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.39,0,0.0000,0.0000,0.0000,0,0.00000
24,23,5483,5,0,1,0,0,0,-3.043,-0.056,-2.705,0.122,0.9988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.706,5.794,0.004,0.040,-0.039,0.004,120,24,3.918,3.536,3.946,3.564,-0.022,0.024,-0.078,0.040,0.0001,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.39,5,0.0000,0.0000,0.0000,0,0.00000
44,20,5004,4,0,1,0,0,0,-3.043,-0.042,-2.952,0.244,0.9958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.706,5.794,0.004,0.040,-0.039,0.004,140,44,3.924,3.541,3.960,3.578,0.141,0.198,0.108,0.337,0.0026,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,5,0.0000,0.0000,0.0000,0,0.00000
64,20,5001,4,0,1,0,0,0,-3.035,0.043,-2.991,0.427,1.0019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.706,5.794,0.004,0.040,-0.039,0.004,160,64,3.934,3.550,3.974,3.592,0.328,0.374,0.151,0.489,0.0065,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,4,0.0000,0.0000,0.0000,0,0.00000
84,20,5001,4,0,1,0,0,0,-3.012,0.313,-2.625,0.916,0.9811,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.706,5.794,0.004,0.004,-0.039,0.004,180,15,3.946,3.560,3.988,3.606,0.461,0.433,0.175,0.690,0.0113,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,5,0.0000,0.0000,0.0000,0,0.00000
104,20,5002,4,0,1,0,0,0,-2.974,0.636,-2.155,1.648,1.0202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,15,35,3.958,3.569,4.002,3.620,0.489,0.482,0.243,0.959,0.0158,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,5,0.0000,0.0000,0.0000,0,0.00000
124,20,5003,4,0,1,0,0,0,-2.894,1.707,-4.276,4.761,1.0123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,35,55,3.971,3.580,4.016,3.634,0.662,0.513,0.317,1.086,0.0208,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,4,0.0000,0.0000,0.0000,0,0.00000
145,21,5006,4,0,1,0,0,0,-2.812,2.642,-3.213,5.005,0.9889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,56,76,3.984,3.590,4.030,3.648,0.657,0.442,0.116,1.334,0.0257,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,5,0.0000,0.0000,0.0000,0,0.00000
164,19,5001,4,0,1,0,0,0,-2.686,3.493,-2.061,5.676,1.0052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,75,95,3.998,3.600,4.044,3.662,0.576,0.516,0.215,1.472,0.0310,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,4,0.0000,0.0000,0.0000,0,0.00000
184,20,5003,4,0,1,0,0,0,-2.568,4.171,-2.574,6.226,1.0057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,95,115,4.011,3.610,4.058,3.676,0.567,0.430,0.208,1.557,0.0358,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,0.38,5,0.0000,0.0000,0.0000,0,0.00000
204,20,5185,4,0,1,0,0,0,-2.424,5.028,-2.602,7.446,1.0005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,115,135,4.024,3.619,4.072,3.690,0.605,0.486,0.120,1.662,0.0406,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
224,20,5003,4,0,1,0,0,0,-2.250,6.080,-2.010,9.583,1.0444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.794,-0.008,0.004,-0.024,0.004,135,155,4.038,3.629,4.086,3.704,0.559,0.515,0.124,1.683,0.0457,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
244,20,5001,4,0,1,0,0,0,-1.980,8.347,-2.897,15.198,1.0435,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.705,5.796,-0.008,-0.056,-0.024,-0.035,155,15,4.052,3.639,4.100,3.718,0.701,0.452,0.306,1.801,0.0508,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
264,20,5004,4,0,1,0,0,0,-1.619,11.286,-2.149,19.958,1.0484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.028,-0.056,-0.004,-0.035,15,35,4.065,3.649,4.114,3.732,0.654,0.547,0.182,1.826,0.0558,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
284,20,5001,4,0,1,0,0,0,-1.182,14.372,-1.587,22.644,1.0049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,15,15,4.079,3.661,4.128,3.746,0.716,0.565,0.171,1.711,0.0614,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
304,20,5013,4,0,1,0,0,0,-0.723,16.820,-0.965,22.949,0.9855,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,35,35,4.093,3.671,4.142,3.760,0.768,0.519,0.254,1.751,0.0664,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
324,20,5001,4,0,1,0,0,0,-0.198,18.537,-1.430,21.301,0.9683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,55,55,4.107,3.683,4.156,3.774,0.709,0.570,0.294,1.668,0.0720,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,4,0.0000,0.0000,0.0000,0,0.00000
344,20,5004,4,0,1,0,0,0,0.204,19.075,0.112,20.325,1.0003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,75,75,4.120,3.695,4.170,3.788,0.725,0.514,0.087,1.746,0.0774,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.93,5,0.0000,0.0000,0.0000,0,0.00000
364,20,5010,4,0,1,0,0,0,0.622,19.566,0.695,20.813,0.9867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,95,95,4.134,3.707,4.184,3.802,0.766,0.599,0.226,1.728,0.0829,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.97,5,0.0000,0.0000,0.0000,0,0.00000
384,20,5003,4,0,1,0,0,0,1.050,20.182,0.592,22.217,1.0160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.704,5.796,0.036,-0.011,-0.018,-0.026,115,115,4.148,3.718,4.198,3.816,0.715,0.559,0.217,1.630,0.0884,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,24.60,1.97,5,0.0000,0.0000,0.0000,0,0.00000
