# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=8191
# lowering=experimental_ch11_forward_catch_v2 state:4 active_pilot_flag:64 phase_shift:8 phase_mask:15
# lowering_phases=0:idle 1:stopping 2:preparing 3:descending 4:ground_hold 5:retracting 6:reserved 7:complete 8:fault 9:committing 10:catching
# lowering_prepare=travel_rad:1.3 speed_rad_s:0.25 confirm_ms:200
# lowering_launch=rear_accel_rad_s2:4 rear_speed_rad_s:-2 forward_drop_deg:1 forward_rate_dps:2 accel_pause_rate_dps:6 coast_min_arm_rad:1.8 timeout_ms:1800
# lowering_catch=travel_rad:2.4 speed_rad_s:1.5 first_load_nm:0.4 sustained_load_nm:0.2 confirm_ms:80 timeout_ms:2500 yield_rad:0.06 yield_rad_s:0.12 early_catch_drop_deg:0.5 first_load_delay_ms:100 arm_start_rate_dps:-1
# lowering_support=both_arms measured_forward_fall_and_deceleration required tracking_stall_not_required
# lowering_rate=roll_rate_uses_fast_tau_s:0.006 while_pilot_phase_nonzero:1 ordinary_balance_filter_unchanged:1
# lowering_limits=target_lead_rad:0.12 lower_rad_s:0.16 retract_rad_s:0.30 wheel_stop_accel_rad_s2:0.75 owner_timeout_ms:100 motor_feedback_ms:100 rate_filter_tau_s:0.006
# lowering_flat=angle_deg:5 rate_dps:5 wheel_rad_s:0.65 confirm_ms:600
# standing_drive=ch1_ch2_progressive_braking_v5
# standing_drive_limits=velocity_rad_s:20 turn_rad_s:4.5 accel:6 decel:8 turn_accel:18
# standing_drive_brake=fast_decel:20 start_reference_rad_s:4 full_reference_rad_s:8 low_speed_decel:8 arm_brake_limit_fraction:0.0666667 active_flag:32
# standing_drive_acceleration=angle_k:8.8 rate_k:1.5 speed_k:3 speed_error_limit:8 accel_limit:100 handoff_rate:30
# standing_drive_rate_filter=tau_s:0.006 fresh_sample_dt:1 stationary_filter_unchanged:1
# standing_drive_learning=max_abs_velocity_error:1 velocity_p:0
# standing_drive_arms=gain:0.008333333 limit_fraction:0.1 tau_s:0.08 recovery_priority:1
# standing_drive_arm_ordinary=scale:0.3 limit_fraction:0.12
# standing_drive_arm_emergency=headroom_rad_s:3 min_error_deg:2 outward_rate_dps:8 confirm_ms:60 severe_error_deg:8 severe_outward_rate_dps:20 requires_velocity_disturbance:1
# standing_drive_arm_error=measured_minus_projection_onto_zero_to_target_interval
# standing_drive_active_flag=16 includes_pd_handoff:1
# pilot_arm_units=planned_center_fraction_after_recovery_priority_before_output_filter
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=4
# sample_size_bytes=240
# sample_count=1984
# checksum=0xC35F297F
# checksum_valid=1
# build_date=Sep 20 2026
# build_time=00:54:46
# run_start_uptime_ms=123616
# run_end_uptime_ms=163376
# run_duration_ms=39760
# end_reason=lower_wrong_direction
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=2.5193
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x8B7ADA4A
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags,pilot_arm
1,0,0,0,0,1,0,0,0,-5.811,-0.031,-7.873,0.366,0.9945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.158,25.342,0.034,-0.147,0.046,0.018,97,0,3.930,3.528,3.944,3.542,-0.129,-0.003,-0.082,-0.167,0.0002,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.47,0,0.0000,0.0000,0.0000,0,0.00000
24,23,5478,5,0,1,0,0,0,-5.809,-0.031,-4.366,-0.122,0.9753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.158,25.342,0.034,-0.147,0.046,0.018,120,23,3.930,3.528,3.958,3.556,-0.056,0.010,0.053,-0.116,0.0001,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,5,0.0000,0.0000,0.0000,0,0.00000
45,21,5001,4,0,1,0,0,0,-5.807,0.023,-6.289,-0.122,0.9943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.158,25.342,0.034,-0.147,0.046,0.018,141,44,3.937,3.534,3.972,3.570,0.209,0.122,0.092,0.299,0.0028,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,5,0.0000,0.0000,0.0000,0,0.00000
64,19,5001,4,0,1,0,0,0,-5.790,0.227,-5.462,0.549,0.9799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.158,25.342,0.034,-0.063,0.046,-0.018,160,15,3.946,3.542,3.986,3.584,0.374,0.335,0.144,0.404,0.0066,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,5,0.0000,0.0000,0.0000,0,0.00000
84,20,5001,4,0,1,0,0,0,-5.785,0.204,-5.546,0.122,0.9879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,15,35,3.958,3.552,4.000,3.598,0.505,0.460,0.232,0.641,0.0113,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,10,0.0000,0.0000,0.0000,0,0.00000
104,20,5002,4,0,1,0,0,0,-5.762,0.558,-6.166,1.221,0.9935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,35,55,3.969,3.562,4.014,3.612,0.532,0.454,0.322,0.871,0.0158,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,4,0.0000,0.0000,0.0000,0,0.00000
124,20,5003,4,0,1,0,0,0,-5.696,1.272,-5.313,3.601,1.0284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,55,75,3.982,3.572,4.028,3.626,0.627,0.512,0.005,1.095,0.0207,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,4,0.0000,0.0000,0.0000,0,0.00000
144,20,5001,4,0,1,0,0,0,-5.602,2.494,-6.867,6.042,0.9904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,75,95,3.995,3.582,4.042,3.640,0.638,0.455,0.178,1.201,0.0257,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,5,0.0000,0.0000,0.0000,0,0.00000
164,20,5001,4,0,1,0,0,0,-5.483,3.540,-5.275,6.592,1.0065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,95,115,4.008,3.592,4.056,3.654,0.529,0.508,0.336,1.416,0.0306,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.48,5,0.0000,0.0000,0.0000,0,0.00000
184,20,5001,4,0,1,0,0,0,-5.348,4.446,-5.560,6.958,0.9803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,115,135,4.021,3.602,4.070,3.668,0.670,0.370,0.189,1.558,0.0355,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.47,5,0.0000,0.0000,0.0000,0,0.00000
204,20,5000,4,0,1,0,0,0,-5.212,5.067,-4.738,7.019,1.0022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.157,25.342,0.059,-0.063,0.020,-0.018,135,155,4.036,3.611,4.084,3.682,0.753,0.490,-0.016,1.467,0.0406,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.26,0.47,5,0.0000,0.0000,0.0000,0,0.00000
