# === BALANCE CONFIG ===
# transport_checksum=fnv1a32
# telemetry_features=8191
# lowering=experimental_ch11_forward_catch_v2 state:4 active_pilot_flag:64 phase_shift:8 phase_mask:15
# lowering_phases=0:idle 1:stopping 2:preparing 3:descending 4:ground_hold 5:retracting 6:reserved 7:complete 8:fault 9:committing 10:catching
# lowering_prepare=travel_rad:1.3 speed_rad_s:0.25 confirm_ms:200
# lowering_launch=rear_accel_rad_s2:4 rear_speed_rad_s:-2 forward_drop_deg:1 forward_rate_dps:2 accel_pause_rate_dps:6 coast_min_arm_rad:1.8 timeout_ms:1800
# lowering_catch=travel_rad:2.4 speed_rad_s:1.5 first_load_nm:0.4 sustained_load_nm:0.2 confirm_ms:80 timeout_ms:2500 yield_rad:0.06 yield_rad_s:0.12 early_catch_drop_deg:0.5 first_load_delay_ms:100 arm_start_rate_dps:-1
# lowering_support=both_arms measured_forward_fall_and_deceleration required tracking_stall_not_required
# lowering_rate=roll_rate_uses_fast_tau_s:0.006 while_pilot_phase_nonzero:1 ordinary_balance_filter_unchanged:1
# lowering_limits=target_lead_rad:0.12 lower_rad_s:0.16 retract_rad_s:0.30 wheel_stop_accel_rad_s2:0.75 owner_timeout_ms:100 motor_feedback_ms:100 rate_filter_tau_s:0.006
# lowering_flat=angle_deg:5 rate_dps:5 wheel_rad_s:0.65 confirm_ms:600
# standing_drive=ch1_ch2_progressive_braking_v5
# standing_drive_limits=velocity_rad_s:20 turn_rad_s:4.5 accel:6 decel:8 turn_accel:18
# standing_drive_brake=fast_decel:20 start_reference_rad_s:4 full_reference_rad_s:8 low_speed_decel:8 arm_brake_limit_fraction:0.0666667 active_flag:32
# standing_drive_acceleration=angle_k:8.8 rate_k:1.5 speed_k:3 speed_error_limit:8 accel_limit:100 handoff_rate:30
# standing_drive_rate_filter=tau_s:0.006 fresh_sample_dt:1 stationary_filter_unchanged:1
# standing_drive_learning=max_abs_velocity_error:1 velocity_p:0
# standing_drive_arms=gain:0.008333333 limit_fraction:0.1 tau_s:0.08 recovery_priority:1
# standing_drive_arm_ordinary=scale:0.3 limit_fraction:0.12
# standing_drive_arm_emergency=headroom_rad_s:3 min_error_deg:2 outward_rate_dps:8 confirm_ms:60 severe_error_deg:8 severe_outward_rate_dps:20 requires_velocity_disturbance:1
# standing_drive_arm_error=measured_minus_projection_onto_zero_to_target_interval
# standing_drive_active_flag=16 includes_pd_handoff:1
# pilot_arm_units=planned_center_fraction_after_recovery_priority_before_output_filter
# standing_drive_gates=deadband:0.06 neutral_calm_ms:400 stop_calm_ms:400 rc_fresh_ms:100
# standing_drive_flags=ready:1 moving_or_braking:2 turning:4 fresh_input:8
# startup_recoil=confirmed_unwind_v1
# startup_recoil_multiplier=2 enter_rad_s=0.35 exit_rad_s=0.15 confirm_ms=60 blend_ms=120
# startup_recoil_active_flag=0x01
# startup_recovery=wheel_velocity_learning_v1
# startup_recovery_speed=1.0
# startup_recovery_force_speed=4.0
# startup_recovery_confirm_ms=60
# startup_recovery_ki=1.0 boost_ms=800 integral_rate_dps=6 limit_deg=6
# startup_recovery_hold=settled_position calm_ms=400
# capture_trim_bounds=absolute
# wheel_feedback_velocity_range_rad_s=50
# wheel_feedback_torque_range_nm=5.5
# can_receive_hz=200
# front_hold_hz=50
# telemetry_schema=4
# sample_size_bytes=240
# sample_count=4789
# checksum=0x8CF30BCA
# checksum_valid=1
# build_date=Sep 20 2026
# build_time=00:54:46
# run_start_uptime_ms=27930
# run_end_uptime_ms=123940
# run_duration_ms=96010
# end_reason=bailout_angle_error
# test_note=none
# motor_mode=speed
# inner_kp=2.0000
# inner_kd=0.0800
# drift_vel_kp=0.0758
# drift_max_vel=1.52
# ramp_drift_kp=0.0455
# ramp_drift_max_vel=0.91
# vel_sp_kp=1.4520
# vel_sp_kp_low=0.4620
# vel_sp_knee=1.2121
# vel_sp_ki=0.2310
# sp_offset_max=8.00
# ramp_sp_offset_max=1.50
# sp_offset_rate=12.00
# vel_filter_alpha=0.3500
# stored_trim=1.5536
# glide_vel_err=1.21
# glide_ki_boost=4.00
# speed_acc_rad=100.00
# speed_current_limit=14.00
# sp_curve_0=0.00:84.00
# sp_curve_1=0.50:83.05
# sp_curve_2=1.00:82.10
# base_sp_fwd=84.00
# base_sp_tip=82.10
# base_sp_center=77.70
# base_sp_rate_max=4.00
# ramp_vel_slow=3.03
# comp_alpha=0.9960
# max_drive_speed=30.00
# capture_settle_ms=400
# arm_hold_max_ms=1000
# arm_return_speed=1.50
# arm_assist_thresh=2.12
# arm_assist_gain=0.26
# arm_range_pos=0.45
# arm_range_neg=0.30
# arm_tau_in=0.080
# arm_tau_out=0.650
# arm_emergency_cmd_frac=0.45
# yaw_sync_kp=2.00
# yaw_sync_max=1.50
# log_duration_ms=120000
# balance_loop_hz=200
# control_loop_hz=50
# pos_gate_err=8.00
# shed_vel_start=12.12
# shed_vel_full=21.21
# transport_fnv1a=0x3E826A31
t_ms,sample_dt_ms,inner_dt_max_us,inner_ticks,inner_sat_ticks,state,flags,diag_flags,marker,roll,roll_rate,accel_angle,gyro_raw,accel_norm,setpoint,angle_err,base_sp,raw_base_sp,capture_shift,run_curve_shift,motor_vel_raw,motor_vel,cmd_left,cmd_right,sp_offset,sp_offset_target,target_vel,filtered_vel,vel_err,vel_integral,vel_p_term,pos_gate,shed,bl_pos,br_pos,bl_vel,br_vel,bl_torque,br_torque,feedback_age_l_ms,feedback_age_r_ms,arm_l,arm_r,arm_l_tgt,arm_r_tgt,arm_l_vel,arm_r_vel,arm_l_torque,arm_r_torque,arm_tip_frac,arm_assist_frac,arm_assist_vel,arm_demand,arm_calm_ms,arm_stage,meas_drift,meas_vel,yaw_diff,yaw_corr,update_age_ms,bus_voltage,total_current,imu_age_ms,pilot_forward,pilot_steering,pilot_turn,pilot_flags,pilot_arm
2,0,0,0,0,1,0,0,0,-5.648,0.027,-4.337,0.061,0.9882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.640,1.960,-0.043,0.007,-0.110,0.016,98,1,3.934,3.533,3.948,3.547,0.061,-0.055,-0.131,0.029,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,0,0.0000,0.0000,0.0000,0,0.00000
24,22,5484,5,0,1,0,0,0,-5.646,-0.034,-5.746,-0.244,0.9879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.640,1.960,-0.043,0.178,-0.110,0.001,120,22,3.934,3.533,3.962,3.561,-0.096,0.005,-0.074,0.011,0.0000,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,5,0.0000,0.0000,0.0000,0,0.00000
45,21,5002,4,0,1,0,0,0,-5.640,0.119,-5.198,0.732,1.0053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,16,43,3.940,3.539,3.976,3.575,0.173,0.265,0.069,0.342,0.0025,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,4,0.0000,0.0000,0.0000,0,0.00000
65,20,5002,4,0,1,0,0,0,-5.622,0.312,-5.697,0.854,0.9892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,36,63,3.949,3.547,3.990,3.589,0.425,0.353,0.185,0.529,0.0062,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,5,0.0000,0.0000,0.0000,0,0.00000
85,20,5000,4,0,1,0,0,0,-5.595,0.679,-5.516,2.197,1.0113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,56,83,3.961,3.557,4.004,3.603,0.494,0.400,0.192,0.794,0.0108,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,4,0.0000,0.0000,0.0000,0,0.00000
104,19,5002,4,0,1,0,0,0,-5.521,1.407,-4.928,3.723,1.0065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,75,102,3.972,3.567,4.018,3.617,0.528,0.503,0.234,1.030,0.0154,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,5,0.0000,0.0000,0.0000,0,0.00000
125,21,5002,4,0,1,0,0,0,-5.434,2.519,-6.586,5.859,1.0049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,96,123,3.985,3.577,4.032,3.631,0.717,0.533,0.083,1.034,0.0204,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.80,5,0.0000,0.0000,0.0000,0,0.00000
145,20,5002,4,0,1,0,0,0,-5.328,3.431,-5.599,5.371,0.9734,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,116,143,3.998,3.587,4.046,3.645,0.538,0.450,0.207,1.260,0.0253,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.77,5,0.0000,0.0000,0.0000,0,0.00000
165,20,5002,4,0,1,0,0,0,-5.207,4.125,-4.908,6.042,1.0076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.960,-0.014,0.178,-0.049,0.001,136,163,4.012,3.597,4.060,3.659,0.573,0.497,0.248,1.391,0.0303,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.77,5,0.0000,0.0000,0.0000,0,0.00000
185,20,5001,4,0,1,0,0,0,-5.067,4.789,-4.371,6.104,0.9834,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.964,-0.014,-0.036,-0.049,-0.033,156,16,4.025,3.607,4.074,3.673,0.615,0.496,0.165,1.539,0.0352,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.77,5,0.0000,0.0000,0.0000,0,0.00000
205,20,5002,4,0,1,0,0,0,-4.898,5.651,-4.130,8.362,1.0171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.638,1.964,0.007,-0.036,-0.047,-0.033,16,36,4.040,3.617,4.088,3.687,0.653,0.482,0.110,1.760,0.0405,0.0000,0.0000,0.0000,0.0,3,0.000,0.000,0.000,0.000,0,23.02,0.77,5,0.0000,0.0000,0.0000,0,0.00000
