t_ms,state,roll,roll_rate,setpoint,angle_err,motor_vel,integral,bl_pos,br_pos,bl_vel,br_vel,arm_l,arm_r
18,1,3.89,0.12,83.00,0.00,0.00,0.000,144.30,143.74,0.02,0.00,3.94,3.56
39,1,3.85,-0.40,83.00,0.00,0.00,0.000,144.30,143.74,0.02,0.00,3.94,3.56
58,1,3.82,-0.62,83.00,0.00,0.00,0.000,144.30,143.74,0.02,0.00,3.94,3.56
78,1,3.86,0.00,83.00,0.00,0.00,0.000,144.30,143.74,0.02,0.00,3.95,3.57
99,1,3.88,0.26,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,3.96,3.58
118,1,4.09,2.82,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,3.98,3.59
139,1,4.26,4.25,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,3.99,3.60
158,1,4.43,5.27,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,4.00,3.61
179,1,4.56,5.65,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,4.02,3.62
198,1,4.69,5.82,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,4.03,3.63
219,1,4.90,7.03,83.00,0.00,0.00,0.000,144.30,143.74,0.03,0.00,4.04,3.64
238,1,5.24,9.50,83.00,0.00,0.00,0.000,144.30,143.75,0.03,0.06,4.06,3.65
259,1,5.68,12.61,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.07,3.66
278,1,6.15,15.27,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.08,3.67
299,1,6.63,17.53,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.10,3.68
317,1,7.16,19.72,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.11,3.70
339,1,7.68,21.38,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.12,3.71
358,1,8.18,22.20,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.14,3.72
379,1,8.68,22.88,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.06,4.15,3.73
398,1,9.14,22.97,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.17,3.74
418,1,9.62,23.24,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.18,3.75
438,1,10.17,24.31,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.19,3.77
458,1,10.74,25.30,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.21,3.78
478,1,11.30,25.96,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.22,3.79
499,1,11.84,26.22,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.24,3.80
518,1,12.38,26.50,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.25,3.82
539,1,12.91,26.48,83.00,0.00,0.00,0.000,144.29,143.75,0.03,0.01,4.26,3.83
558,1,13.43,26.36,83.00,0.00,0.00,0.000,144.29,143.75,0.03,-0.02,4.28,3.84
578,1,13.96,26.36,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.29,3.86
599,1,14.46,26.07,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.31,3.87
618,1,14.99,26.12,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.32,3.88
638,1,15.50,26.00,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.33,3.90
659,1,16.03,26.16,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.35,3.91
678,1,16.45,24.79,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.36,3.92
699,1,16.90,24.25,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,-0.02,4.38,3.94
717,1,17.43,24.76,83.00,0.00,0.00,0.000,144.29,143.75,-0.01,0.04,4.39,3.95
738,1,17.95,25.13,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.41,3.96
759,1,18.50,25.77,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.42,3.98
778,1,19.06,26.33,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.43,3.99
799,1,19.65,27.10,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.45,4.00
818,1,20.23,27.58,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.46,4.02
838,1,20.80,27.73,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.47,4.03
859,1,21.38,28.14,83.00,0.00,0.00,0.000,144.29,143.75,-0.02,0.04,4.49,4.04
878,1,21.95,28.18,83.00,0.00,0.00,0.000,144.29,143.76,-0.02,-0.01,4.50,4.06
899,1,22.52,28.23,83.00,0.00,0.00,0.000,144.29,143.76,0.01,-0.01,4.52,4.07
918,1,23.11,28.59,83.00,0.00,0.00,0.000,144.29,143.76,0.01,-0.01,4.53,4.09
939,1,23.71,28.91,83.00,0.00,0.00,0.000,144.29,143.76,0.01,-0.01,4.55,4.10
957,1,24.29,28.91,83.00,0.00,0.00,0.000,144.29,143.76,0.01,-0.01,4.56,4.11
978,1,24.87,28.99,83.00,0.00,0.00,0.000,144.29,143.76,0.01,-0.01,4.57,4.13
